Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Computational	MODULE 83	85/320	4.35328605450987e-81	3.7351194347694685e-78	0	0	16.758675078864353	3100.9994543395906	RPL5;EIF4A1;RPL32;RPL31;RPL34;RPLP0;HNRNPR;HMGB1;YBX1;RPL9;COX7C;BZW1;RPL6;RPL7;PSMD8;RPS15;EEF1B2;RPS17;HINT1;RPS16;SNRPD2;RPS19;C1QBP;ARHGDIA;TMED2;RPLP2;RPL38;RPS11;RPS13;CCT3;RPL21;HSBP1;RPS8;RPL23;RPS5;ATPIF1;EEF1G;PSMA3;PSMA4;PSMA1;DAD1;NCL;CANX;RPL27;SNRPE;RPL26;UQCRC2;SNRPF;SRSF6;FKBP4;RPL28;SNRPB;KHDRBS1;RAB5C;RPL10;UQCRB;RPL12;RPL11;PSMB7;PSMB4;RPS15A;PSMB3;PCBP1;RPS3;EIF4H;RPL13;SNRPB2;CCT8;RPS2;RPL18;RPS27A;RPL19;BTF3;NPM1;SSB;RPL23A;LSM5;EIF3M;UQCRQ;ARPC3;EIF3I;NDUFAB1;EIF3F;RPS21;RSL24D1
MSigDB_Computational	MORF RAN	73/268	4.0478262131372954e-70	1.736517445435899e-67	0	0	17.185366542680914	2745.9255815325932	RPL5;EIF4A1;RPL30;HSP90AB1;COX4I1;CLTA;YBX1;ATP5G3;COX7C;RPL6;RPL7;PSMD8;FBL;PTBP1;HINT1;PSMD7;SNRPD2;C1QBP;TMED2;RPLP2;UQCRFS1;RPS13;CCT3;HSP90AA1;RPL21;RPS5;RPS6;ILF2;TUFM;EEF1G;PSMA4;KARS;HNRNPUL1;NCL;CANX;SNRPE;UQCRC2;SLC25A5;SNRPB;SRSF9;KHDRBS1;SET;PCNA;UQCRB;HDAC1;RPL11;ATP5J;PSMB6;PSMB7;PSMB4;PSMB3;EIF4H;RPL13;SNRPB2;RPL18;RPS27A;CCT7;BTF3;NPM1;UBE2I;CBX3;NONO;RPL23A;HNRNPAB;LSM2;EIF3M;EIF3K;NDUFAB1;POLE3;TCEA1;UBA2;UBA1;TARDBP
MSigDB_Computational	MODULE 114	77/338	1.5990120185523862e-67	4.573174373059823e-65	0	0	14.372911727922649	2210.608660444125	EIF4A1;RPL32;RPL31;RPL34;RPLP0;ATP5G3;RPL9;COX7C;RPL6;RPL7;PSMD8;EEF1B2;HINT1;RPS16;SNRPD2;RPS19;ARHGDIA;RPLP2;UQCRFS1;RPL38;RPS11;RPS13;CCT3;RPL21;GPX4;HSBP1;RPL23;RPS5;ATPIF1;EEF1G;PSMA6;PSMA4;DAD1;NCL;CANX;RPL27;SNRPE;RPL26;UQCRC2;SLC25A5;RPL28;SNRPB;SF3B5;KHDRBS1;PCNA;RPL10;UQCRB;RPL12;RPL11;ATP5J;PSMB7;ATP5B;PSMB4;RPS15A;PCBP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RPL18;RPS27A;RPL19;BTF3;NPM1;RPL23A;LSM5;LSM3;EIF3M;EIF3K;UQCRQ;ARPC3;EIF3I;NDUFAB1;EIF3F;RPS21;RSL24D1
MSigDB_Computational	MORF UBE2I	67/238	2.7985703943750883e-65	6.002933495934564e-63	0	0	17.761047636720303	2639.982980196212	RPL5;EIF4A1;RPL30;HSP90AB1;RPL31;RPL34;COX4I1;YBX1;RPL9;COX7C;RPL6;RPL7;PSMD8;FBL;PTBP1;HINT1;RPS19;RPLP2;UQCRFS1;RPS11;RPS13;HSP90AA1;RPL21;RPS5;RPL22;RPS6;ILF2;TUFM;EEF1G;KARS;HNRNPUL1;NCL;CANX;RPL27;SNRPE;SNRPB;SRSF9;KHDRBS1;SET;RPL11;ATP5A1;OAZ1;PSMB7;PSMB3;EIF4H;RPL13;SNRPB2;RPL18;RPS27A;CCT7;RPL19;BTF3;NPM1;UBE2I;CBX3;NONO;TBCB;HNRNPAB;EIF3M;EIF3K;ARPC3;EIF3I;POLE3;UBA2;UBA1;TARDBP;LSM14A
MSigDB_Computational	MORF NPM1	59/162	5.116832861923146e-65	8.780485191060119e-63	0	0	22.97776219963391	3401.524409914884	RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;RPL31;RPL34;COX4I1;RPLP0;YBX1;RPL9;COX7C;RPL6;RPL7;EEF1B2;RPS17;HINT1;RPS16;RPS19;UQCRFS1;RPLP2;RPL38;RPS11;RPS13;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;NCL;RPL27;SNRPE;RPL28;SNRPB;RPL12;RPL11;ATP5A1;OAZ1;RPS15A;RPS3;RPL13;RPS2;RPL18;RPS27A;CCT7;RPL19;BTF3;NPM1;UBE2I;CBX3;NONO;RPL23A;EIF3M;ARPC3;UBA2;EIF3F
MSigDB_Computational	MODULE 151	72/318	8.795303155961977e-63	1.2577283513025628e-60	0	0	14.284863996190705	2041.1448320252869	RPL32;RPL31;RPL34;RPLP0;ATP5G3;RPL9;COX7C;RPL6;RPL7;PSMD8;EEF1B2;HINT1;RPS16;SNRPD2;RPS19;UQCRFS1;RPL38;RPS11;RPS13;CCT3;RPL21;GPX4;HSBP1;RPL23;RPS5;ATPIF1;EEF1G;PSMA6;PSMA4;DAD1;NCL;CANX;RPL27;SNRPE;RPL26;UQCRC2;SLC25A5;RPL28;SNRPB;SF3B5;PCNA;RPL10;UQCRB;RPL12;RPL11;ATP5J;ATP5B;PSMB4;RPS15A;PCBP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RPL18;RPS27A;RPL19;BTF3;NPM1;RPL23A;LSM5;LSM3;EIF3M;EIF3K;UQCRQ;ARPC3;EIF3I;NDUFAB1;EIF3F;RPS21;RSL24D1
MSigDB_Computational	MODULE 32	65/241	6.233813282528946e-62	7.640873994871194e-60	0	0	17.01637498854667	2398.122619959776	EIF4A1;RPL32;RPL31;RPLP0;HNRNPR;HMGB1;YBX1;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;RPS16;SNRPD2;RPS19;RPLP2;RPL38;RPS11;RPS13;RAB2A;RPL21;RPS8;RPL22;ACTL6A;RPS6;ILF2;TUFM;EEF1G;KARS;PSMA1;HNRNPUL1;NCL;SUCLG1;SNRPE;RPL26;SNRPF;SRSF6;SRSF9;SLBP;KHDRBS1;RAB5C;RPL12;RPN1;RPL11;MRPL12;RPS15A;PCBP1;RPS3;EIF4H;SNRPB2;RPS2;RPL18;RPL19;SF3A3;NPM1;SSB;RPA1;LSM1;RPL23A;RPA3;EIF3I;EIF3F
MSigDB_Computational	MORF BUB3	63/276	5.509753488122489e-55	5.9092106160113695e-53	0	0	14.401316691811822	1799.2380090945212	MCM7;HNRNPR;ATP5G3;LMNB2;PSMD8;FBL;CCT3;NUDC;ACTL6A;NDUFC1;BAZ1B;SMC1A;ILF2;DDOST;TUFM;KARS;HNRNPUL1;MSH2;DKC1;NCL;HAT1;UQCRC1;MCM3;SNRPE;MCM5;MCM6;THOP1;SRSF9;MCM2;SLBP;KHDRBS1;SET;PCNA;HDAC1;ATP5A1;SRSF1;AK2;ATP5J;TYMS;PSMB7;RBBP4;USP1;EIF4H;CCT7;DUT;RRM1;SSB;NAA10;CBX3;NONO;RPA2;EIF2S2;HSPE1;HNRNPAB;LSM2;NASP;EIF3K;EIF3I;POLE3;TCEA1;UBA2;CALM3;TARDBP
MSigDB_Computational	MORF ACTG1	50/138	6.831892157236899e-55	6.513070523232511e-53	0	0	22.85923284414575	2851.0167430909933	RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;RPL31;RPL34;COX4I1;RPLP0;YBX1;RPL9;COX7C;RPL6;RPL7;EEF1B2;RPS17;HINT1;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;NCL;RPL27;RPL28;SNRPB;RPL10;RPL12;RPL11;OAZ1;RPS15A;RPS3;RPL13;RPL18;RPS27A;RPL19;BTF3;NPM1;UBE2I;RPL23A;ARPC3
MSigDB_Computational	MORF ANP32B	56/197	1.1537059450845127e-54	9.89879700882512e-53	0	0	17.9346346618841	2227.4209288162037	RPL5;EIF4A1;RPL30;HSP90AB1;MCM7;COX4I1;YBX1;COX7C;RPL6;RPL7;PSMD8;FBL;PTBP1;HINT1;SNRPD2;RPLP2;UQCRFS1;HSP90AA1;RPL21;RPS6;DDOST;TUFM;EEF1G;KARS;HNRNPUL1;NCL;CANX;SNRPE;SNRPB;SRSF9;KHDRBS1;SET;PCNA;UQCRB;HDAC1;ATP5A1;PSMB7;PSMB4;RBBP4;EIF4H;RPL18;RPS27A;CCT7;BTF3;NPM1;UBE2I;CBX3;NONO;HNRNPAB;EIF3M;EIF3K;POLE3;TCEA1;UBA2;CALM3;TARDBP
