Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Oncogenic_Signatures	RB P107 DN.V1 UP	18/140	9.154991344802948e-12	1.7302933641677573e-09	0	0	8.111762054979721	206.17440013418812	RFC5;SLBP;PRIM2;RFC3;RRM1;PCNA;RRM2;LIG1;MCM7;RPA1;RPA2;POLD1;RPA3;MCM5;MCM6;ASF1B;MCM2;MAD2L1
MSigDB_Oncogenic_Signatures	GCNP SHH UP LATE.V1 UP	16/183	3.8585398198325286e-08	3.6463201297417398e-06	0	0	5.516195204357794	94.16361402939957	IVNS1ABP;YWHAE;NOP56;NPM1;RRM1;RRM2;LIG1;IDH2;SRSF1;CDCA7;CCND2;LUC7L3;MCM5;MCM6;TARDBP;THOP1
MSigDB_Oncogenic_Signatures	CSR LATE UP.V1 UP	15/172	1.0674440635982526e-07	6.724897600668991e-06	0	0	5.502164184579269	88.32529850515452	GINS2;NUDC;RRM2;PSMD14;ACTL6A;HMGB1;KIF22;ILF2;LMNB2;DRAP1;POLD1;HAT1;POLE3;MCM3;LYAR
MSigDB_Oncogenic_Signatures	E2F1 UP.V1 UP	13/189	1.0625025876802878e-05	0.0005020324726789358	0	0	4.339625790729891	49.698689533159225	IVNS1ABP;NOP56;SLBP;PRIM2;RRM1;PARP1;HMGB3;TYMS;UCK2;NASP;PSME3;TFAM;THOP1
MSigDB_Oncogenic_Signatures	RB DN.V1 UP	10/137	6.745142818585104e-05	0.002549663985425169	0	0	4.605217711667319	44.228984326331855	SLBP;RFC3;PCNA;AHCY;RRM2;MCM7;HAT1;RPA1;MCM6;BAZ1B
MSigDB_Oncogenic_Signatures	SIRNA EIF4GI UP	6/95	0.004037399753182821	0.12717809222525886	0	0	3.9847252199900383	21.96442073255714	EIF3K;NONO;ATP5A1;UQCRC2;SLC25A5;CCT4
MSigDB_Oncogenic_Signatures	CSR EARLY UP.V1 UP	8/164	0.004721167370365237	0.1274715189998614	0	0	3.077633299992306	16.4828781587577	EIF4A1;NOP16;DKC1;NCL;POLE3;EIF4H;ILF2;SMARCA4
MSigDB_Oncogenic_Signatures	CAMP UP.V1 UP	9/200	0.004748006666663284	0.1121716574999201	0	0	2.8391167192429023	15.189360751806932	IVNS1ABP;ATP5B;NDUFB5;RPN1;ATP5A1;RUVBL1;SLC25A5;ILF2;MAD2L1
MSigDB_Oncogenic_Signatures	RPS14 DN.V1 DN	8/187	0.010120200698559659	0.21252421466975285	0	0	2.699100862025338	12.397568875172613	GINS2;MSH2;PES1;POLD1;RRS1;MCM5;MRPL12;BYSL
MSigDB_Oncogenic_Signatures	MTOR UP.V1 UP	7/170	0.01894165188721975	0.3579972206684533	0	0	2.597884579699388	10.304228557139274	HELLS;PCNA;RRM2;CCDC86;MCM5;MCM6;HSPE1
MSigDB_Oncogenic_Signatures	SNF5 DN.V1 UP	7/177	0.023031193716602796	0.3957177829489025	0	0	2.4951433816321806	9.408950483400409	PSMD8;PITPNB;HAT1;ACTL6A;RCC1;MCM5;LSM2
MSigDB_Oncogenic_Signatures	VEGF A UP.V1 DN	7/193	0.03457745680032456	0.5445949446051118	0	0	2.2882921168336567	7.699080900204043	NUDT21;RRM2;RRS1;CCDC86;TFAM;KIF22;MAD2L1
MSigDB_Oncogenic_Signatures	PRC2 EDD UP.V1 UP	7/193	0.03457745680032456	0.5027030257893339	0	0	2.2882921168336567	7.699080900204043	HELLS;POLD1;IDH2;HP1BP3;MCM5;ASF1B;MCM2
MSigDB_Oncogenic_Signatures	CAMP UP.V1 DN	7/200	0.04065671911067818	0.5488657079941555	0	0	2.20820189274448	7.071967871956872	HINT1;HSP90AA1;CCND2;PES1;CDCA7L;BZW1;RPL7
