Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Microbe_Perturbations_from_GEO_down	murine norovirus type 1 mouse macrophage RAW264.7 cells GDS3549 microbe:177	92/420	1.1242185312900231e-79	3.5075618176248725e-77	0	0	13.820039056632115	2512.305294514224	YWHAE;EIF4A1;HSP90AB1;RPL32;MCM7;COX4I1;YBX1;ATP5G3;RPL6;RPS15;GCSH;EEF1B2;FBL;HINT1;SNRPD2;RPS19;C1QBP;ARHGDIA;RPLP2;UQCRFS1;GOLGA7;NUDC;RPL21;GPX4;RPS8;RPL22;SARS;NDUFC1;PSMA6;PSMA4;NCL;NHP2;RPL27;SNRPE;MCM5;SNRPF;MCM6;SLC25A5;RPL28;PPID;SNRPB;SRSF9;VCP;NDUFB8;SET;AHCY;PCNA;NDUFB10;UQCRB;PSMD14;NDUFB6;NDUFB11;NDUFB5;RPL11;POMP;ATP5A1;SRSF1;ATP5J;ATP5H;MRPL12;OAZ1;PSMB7;ATP5B;PSMB4;RBBP4;PCBP1;G3BP1;RRS1;CCT8;RBBP7;CCT7;POLR2L;BTF3;IVNS1ABP;NOP56;RANBP1;NPM1;RRM2;RCC2;NDUFA3;RPA1;HSPE1;HNRNPAB;MYBBP1A;EIF3K;UBA2;RPL22L1;EIF3F;RPS21;TOMM5;NOP10;TOMM6
Microbe_Perturbations_from_GEO_down	Chlamydia trachomatis human HeLa cells GSE56168 microbe:265	83/450	6.023673926828801e-65	9.396931325852931e-63	0	0	11.636873466526465	1720.7716362875863	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;KDM1A;RPL31;RPL34;COX4I1;RPLP0;NUCKS1;YBX1;ATP5G3;RPL9;COX7C;RPL6;RPS15;EEF1B2;TRMT112;FBL;RPS17;HINT1;RPS16;SNRPD2;RPS19;C1QBP;RPLP2;RPL38;RPS11;RPS13;RPL21;SSR4;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;PSMA6;EBNA1BP2;KARS;PSMA1;NHP2;RPL27;SLC25A5;RPL28;ASF1B;NDUFB8;PSMD14;NDUFB11;RPL12;ATP5J;OAZ1;HSD17B10;PSMB7;ATP5B;RPS15A;PSMB3;RPS3;EIF4H;RPL13;SNRPB2;RPS2;RPL18;CCT7;RPL19;POLR2L;BTF3;NPM1;NOP16;NAA10;RCC2;NONO;RPL23A;EIF3K;PSMC4;UQCRQ;NDUFAB1;CALM3;EIF3F;RPS21;NOP10
Microbe_Perturbations_from_GEO_down	Trypanosoma cruzi human fibroblast GSE13791 microbe:243	80/438	3.8856640392192384e-62	4.0410906007880085e-60	0	0	11.523558474857035	1629.4655301274918	RPL5;RPL30;RPL32;RPL31;COX4I1;RPLP0;YBX1;RPL9;COX7C;BZW1;RPL6;RPL7;PSMD8;RPS15;EEF1B2;TRMT112;FBL;RPS17;HINT1;RPS16;SNRPD2;TMED2;RPLP2;UQCRFS1;RPL38;RPS11;RPS13;CCT3;RPL21;SSR4;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;SND1;EEF1G;PSMA1;DAD1;UQCRC1;NHP2;RPL27;SLC25A5;SRSF9;SF3B5;UQCRB;RPL12;RPL11;ATP5A1;ATP5J;UQCR10;ATP5H;OAZ1;PSMB6;ATP5B;PSMB4;PSMB3;RPS3;EIF4H;RPL13;RBBP7;RPL18;RPL19;POLR2L;BTF3;NPM1;CBX3;RPL23A;EIF2S2;PSMC5;UQCRQ;ARPC3;OSTC;EIF3I;RPL22L1;EIF3F;RPS21;RSL24D1;NOP10
Microbe_Perturbations_from_GEO_down	Trypanosoma cruzi human endothelial cells GSE13791 microbe:244	74/398	6.916030793984013e-58	5.3945040193075315e-56	0	0	11.730577176101328	1543.9327409321268	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;RPL31;COX4I1;RPLP0;NUCKS1;YBX1;COX7C;BZW1;RPL6;RPL7;RPS15;EEF1B2;TRMT112;FBL;RPS17;HINT1;RPS16;SNRPD2;TMED2;RPL38;RPS11;RPS13;CCT3;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;DAD1;UQCRC1;NHP2;RPL27;SLC25A5;RPL28;SRSF9;SF3B5;SET;RPL10;RPL12;RPL11;ATP5A1;TYMS;OAZ1;ATP5B;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;CCT7;RPL19;POLR2L;BTF3;NPM1;RRM2;NONO;RPL23A;HNRNPAB;UQCRQ;OSTC;EIF3I;RPL22L1;EIF3F;RPS21;NOP10
Microbe_Perturbations_from_GEO_down	H1N1 influenza virus (seasonal strain, BN/59) human primary lung bronchial epithelial cells GDS4855 microbe:120	63/313	2.5318190504401876e-51	1.5798550874746765e-49	0	0	12.698924622811706	1479.4615671038323	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;COX4I1;RPLP0;HMGB1;YBX1;RPL9;COX7C;RPL6;RPL7;EEF1B2;TRMT112;RPS17;HINT1;RPS16;SNRPD2;UQCRFS1;RPS13;CCT3;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;NHP2;RPL27;RPL26;SLC25A5;SF3B5;SET;RPL12;RPL11;ATP5A1;OAZ1;PSMB6;ATP5B;RPS15A;RPS3;RPL13;RPS2;RPL18;CCT7;RPL19;POLR2L;BTF3;NPM1;RPL23A;HSPE1;EIF3K;UQCRQ;NDUFAB1;RPL22L1;EIF3F;RPS21;TOMM6
Microbe_Perturbations_from_GEO_down	Plasmodium berghei ANKA mouse brain (C57/B6 mice) GDS3145 microbe:193	59/293	5.05881189450182e-48	2.6305821851409466e-46	0	0	12.704428246896567	1383.549749868148	RPL5;EIF4A1;RPL34;COX4I1;RPLP0;ATP5G3;RPL9;RPL7;RPS15;EEF1B2;HINT1;RPS19;BSG;RPLP2;UQCRFS1;RPL38;RPS11;SKP1A;GOLGA7;GPX4;RPS8;RPS5;EEF1G;PSMA3;RPL37A;UQCRC1;RPL27;RPL26;RPL28;NDUFB8;RPL10;NDUFB10;PSMD14;RPL12;RPL11;ATP5A1;ATP5H;OAZ1;PSMB6;ATP5B;PSMB4;RPS15A;RBBP4;PSMB3;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;RANBP1;DRAP1;PSMC5;EIF3K;OSTC;EIF3I;RPL22L1;RPS21;GSTM5
Microbe_Perturbations_from_GEO_down	Streptococcus pneumoniae G54 human pharyngeal epithelial cells GDS3041 microbe:19	58/291	6.301665051946796e-47	2.8087421374391445e-45	0	0	12.574934686222859	1337.7301717650168	RPL5;HSP90AB1;MCM7;RPLP0;HMGB3;NUCKS1;ATP5G3;BZW1;RPL6;EEF1B2;TRMT112;RPS16;BSG;TMED2;RPS11;RPS13;SSR4;PARP1;RPS8;RPL23;RPS5;RPL22;ACTL6A;RPS6;NDUFC2;EEF1G;NCL;MCM3;RPL27;RPL26;SNRPF;RPL28;SNRPB;MCM2;RPL12;RPN1;ATP5A1;SRSF1;CDCA7;UQCR10;OAZ1;RPS3;EIF4H;RPL13;RPS2;RANBP1;RRM1;CBX3;ALYREF;NONO;EIF2S2;HSPE1;EIF3M;UQCRQ;NDUFAB1;POLE3;UBA2;RPS21
Microbe_Perturbations_from_GEO_down	Plasmodium falciparum human hematopoietic stem cells GDS4557 microbe:212	54/257	5.786493292364117e-45	2.256732384022005e-43	0	0	13.256576120978535	1350.3254850760768	RPL5;RPL30;RPL32;RPL31;RPL34;COX4I1;RPLP0;YBX1;RPL6;RPS15;EEF1B2;FBL;RPS17;RPS16;SNRPD2;RPS19;RPLP2;RPL38;RPS11;RPS13;HSP90AA1;RPL21;SSR4;GPX4;RPL23;RPS5;RPL22;RPS6;EEF1G;RPL27;RPL26;SLC25A5;RPL28;NDUFB11;RPL12;RPL11;ATP5A1;ATP5J;ATP5H;OAZ1;RPS3;RPL13;RPS2;RPL18;RPL19;POLR2L;NDUFA3;RPL23A;EIF3K;UQCRQ;RPA3;RPL22L1;EIF3F;RPS21
Microbe_Perturbations_from_GEO_down	Chlamydia trachomatis human HeLa cells GSE56168 microbe:278	67/495	6.172570785773378e-43	2.139824539068104e-41	0	0	8.53965522735239	829.9780034336189	YWHAE;RPL30;HSP90AB1;KDM1A;RPLP0;HNRNPR;YBX1;ATP5G3;RPL6;TRMT112;SNRPD2;C1QBP;RPLP2;UQCRFS1;RPL38;GOLGA7;CCT3;HSP90AA1;SSR4;PARP1;HSBP1;RPS8;DYNLT3;RPL22;RPS6;NDUFC2;ILF2;DDOST;PSMA4;DAD1;NCL;HAT1;RPL37A;RPL27;SNRPE;SRSF6;SLC25A5;KPNB1;ASF1B;SRSF9;SET;PCNA;PSMD14;HDAC1;POMP;ATP5A1;SRSF1;OAZ1;ATP5B;MAT2A;PSMB3;PCBP1;RBBP7;BTF3;DUT;SSB;RCC2;RPL23A;HSPE1;PSMC5;NDUFAB1;UBA2;CALM3;RPS21;TOMM5;NOP10;TOMM6
Microbe_Perturbations_from_GEO_down	H1N1 influenza virus (pandemic strain, KY/136) human primary lung bronchial epithelial cells GDS4855 microbe:121	54/306	1.0478966892213311e-40	3.269437670370553e-39	0	0	11.133791055854518	1024.9391581114437	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;HMGB1;YBX1;RPL9;COX7C;RPL6;RPL7;EEF1B2;TRMT112;RPS17;HINT1;RPS16;SNRPD2;RUVBL1;RPS11;RPS13;CCT3;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;ATPIF1;RPS6;EEF1G;RPL27;RPL26;SLC25A5;NDUFB5;RPL12;RPL11;ATP5A1;ATP5J;OAZ1;ATP5B;RPS3;RPL13;RPS2;RPL19;BTF3;NPM1;RPL23A;HSPE1;UQCRQ;NDUFAB1;RPS21
Microbe_Perturbations_from_GEO_down	Staphylococcus aureus human bronchial epithelial BEAS-2B cells GDS2606 microbe:135	58/374	1.8762293241555222e-40	5.321668628513845e-39	0	0	9.78424062484185	895.0049931453633	YWHAE;RPL32;COX4I1;HMGB3;NUCKS1;COX7C;RPL6;TRMT112;PSMD7;RPS19;BSG;RPLP2;RPS11;RPS13;SSR4;GPX4;HSBP1;NDUFC2;PSMA5;PSMA6;PSMA3;KARS;DAD1;TFAM;SNRPF;RPL28;SRSF9;SF3B5;RAB5C;PCNA;RPL10;NDUFB5;HDAC1;SSNA1;RPL11;UQCR10;TYMS;MRPL20;PSMB7;PSMB4;RPS15A;PSMB3;SNRPB2;RPS27A;CCT7;POLR2L;MCTS1;DUT;TAF15;RPA1;NPM3;EIF2S2;LSM3;EIF3K;UQCRQ;RPA3;NDUFAB1;TOMM6
Microbe_Perturbations_from_GEO_down	Chlamydia trachomatis human HeLa cells GSE56168 microbe:271	54/316	6.166377778034121e-40	1.6032582222888715e-38	0	0	10.781455895859123	973.3961136264439	RPL5;RPL30;HSP90AB1;RPLP0;HNRNPR;HMGB1;YBX1;ATP5G3;COX7C;RPL6;TRMT112;SNRPD2;BSG;UQCRFS1;RPL38;GOLGA7;CCT3;HSP90AA1;RPL21;NDUFC2;ILF2;RAD23B;DAD1;CANX;RPL37A;NHP2;MCM3;RPL27;SNRPE;SNRPF;SRSF6;SLC25A5;SNRPB;SET;PSMD14;RPN1;ATP5A1;OAZ1;PSMB4;MAT2A;PSMB3;PCBP1;RRS1;RPL18;BTF3;DUT;RCC2;HSPE1;NDUFAB1;UBA2;RPS21;TOMM5;TOMM6;MAD2L1
Microbe_Perturbations_from_GEO_down	Lactobacillus acidophilus NCFM mouse dendritic cells GDS3813 microbe:21	50/282	8.657741858183707e-38	2.07785804596409e-36	0	0	11.186433093943664	954.6477347541002	EIF4A1;HSP90AB1;RPL32;COX4I1;ATP5G3;RPL6;GCSH;RPS15;EEF1B2;FBL;RPS17;HINT1;SNRPD2;C1QBP;RPS11;RPS8;RPS5;EEF1G;UQCRC1;NHP2;RPL27;SNRPE;SLC25A5;SNRPB;SRSF9;SET;UQCRB;NDUFB6;NDUFB11;NDUFB5;RPN1;RPL11;ATP5A1;ATP5J;ATP5H;OAZ1;ATP5B;RPL13;RPS2;RBBP7;RPL18;RPS27A;POLR2L;IVNS1ABP;RANBP1;NPM1;EIF3K;EIF3I;TOMM5;TOMM6
Microbe_Perturbations_from_GEO_down	H1N1 influenza virus (pandemic strain, KY/180) human primary lung bronchial epithelial cells GDS4855 microbe:122	51/314	1.4258309518941943e-36	3.1775661213642045e-35	0	0	10.247342723382024	845.7983358262891	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;HMGB1;YBX1;RPL9;COX7C;RPL6;RPL7;EEF1B2;TRMT112;RPS17;RPS16;SNRPD2;RUVBL1;RPS11;RPS13;CCT3;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;ATPIF1;RPS6;EEF1G;RPL27;RPL26;SLC25A5;NDUFB5;RPL12;RPL11;ATP5J;OAZ1;ATP5B;RPS3;RPL13;RPS2;RPL19;NPM1;RPL23A;HSPE1;UQCRQ;NDUFAB1;RPS21
