Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mouse_Gene_Atlas	embryonic stem line Bruce4 p13	52/876	1.4363601415149323e-16	1.3789057358543349e-14	0	0	3.745156504328536	136.6204976158747	KDM1A;BCCIP;C1QBP;RUVBL1;RCC1;RFC5;HELLS;DDX18;NUDC;PARP1;ACTL6A;KIF22;ILF2;RAD23B;KARS;MSH2;DKC1;NCL;HAT1;NHP2;MCM3;MCM5;MCM6;SET;PSMD11;DDX27;NOP2;MAK16;ADH5;PES1;BRIX1;ABCF2;SF3A3;NOP58;API5;HSPA4;RCC2;RPA1;RPA2;EIF2S2;LSM3;BYSL;NUDT21;UCK2;RAD51;MYBBP1A;NASP;PSMC4;NDUFAB1;UBA2;RSL24D1;NOP10
Mouse_Gene_Atlas	embryonic stem line V26 2 p16	43/728	9.758016496569792e-14	4.6838479183535e-12	0	0	3.7265573543176074	111.64058588831543	SET;DDX27;MCM7;HDAC1;SRSF1;NOP2;TYMS;FBL;C1QBP;PES1;NUP62;RUVBL1;RCC1;BRIX1;BCAS2;RFC5;SMARCE1;NOP56;HELLS;DDX18;HSP90AA1;NOP58;PARP1;HSPA4;RCC2;ACTL6A;RPA2;UCHL5;BYSL;RAD51;MYBBP1A;MSH2;NASP;DKC1;NCL;HAT1;RPL37A;NHP2;MCM3;UBA2;RSL24D1;KPNB1;MCM2
Mouse_Gene_Atlas	mega erythrocyte progenitor	33/562	1.0621575632566234e-10	3.398904202421195e-09	0	0	3.7046600132469663	85.07954977881481	PRIM2;MCM7;RPL31;NUCKS1;TYMS;PMF1;ORC4;PSMB4;POLD1;RRS1;BCAS2;CCT4;ABCF1;CCT3;HSP90AA1;SSB;RPL21;NOP16;GLRX3;ACTL6A;CD3EAP;UCHL5;TUFM;BYSL;POLE4;MSH2;NCL;UBA2;MCM6;SLC25A5;RPS21;NOP10;MCM2
Mouse_Gene_Atlas	heart	21/568	0.0003086568400755726	0.007407764161813744	0	0	2.332607633180788	18.855121674382037	IVNS1ABP;NDUFB8;NDUFB10;NDUFB6;NDUFA5;MRPS36;NDUFB11;NDUFB5;NDUFA3;ATP5A1;IDH2;ATP5J;NDUFC1;ATP5H;ATP5G3;TUFM;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2
Mouse_Gene_Atlas	nih 3T3	12/252	0.000728160667249721	0.013980684811194645	0	0	3.0043563166591563	21.706440851272177	SF3A3;TRMT112;EBNA1BP2;PSMD11;CBX5;LSM6;RPL37A;POLE3;RRS1;TCEA1;H13;YBX1
Mouse_Gene_Atlas	adipose brown	15/456	0.006417418871557047	0.10267870194491276	0	0	2.075377718744812	10.478041024096813	NDUFB8;UQCRB;GPX4;NDUFB6;MRPS36;NDUFB5;NDUFC1;UQCR10;TUFM;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;SUCLG1;UQCRC2
Mouse_Gene_Atlas	bone marrow	14/413	0.0064646785303031145	0.08865844841558558	0	0	2.138694327113297	10.782017842312033	SLBP;PRIM2;RRM1;RRM2;GCA;LIG1;MCM7;ATPIF1;HMGB3;SMC1A;PSME3;FAM53B;FKBP4;ASF1B
Mouse_Gene_Atlas	stem cells  HSC	8/186	0.009817979517008156	0.11781575420409787	0	0	2.7136121569824634	12.546494161304535	RPL21;NCL;CDCA7L;NUCKS1;MCM6;SMC1A;UCHL5;CCT4
Mouse_Gene_Atlas	B-cells GL7 negative KLH	7/212	0.05261788035261458	0.5612573904278889	0	0	2.0832093327778107	6.134425035535432	BTF3;CCT3;PSMA6;PSMA1;UQCRQ;COX7C;SF1
Mouse_Gene_Atlas	B-cells GL7 positive Alum	5/142	0.07581296282344216	0.7278044431050448	0	0	2.2215310792197984	5.730408289538982	DDX18;MYG1;PSMA1;UQCRQ;EIF4H
