Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NCI-60_Cancer_Cell_Lines	HCT116	27/574	5.293195816984879e-07	4.922672109795937e-05	0	0	2.967717824992581	42.88848893801934	SF3B5;RPL5;SET;PSMD13;COX4I1;MAK16;OLA1;AK2;RPL7;RUVBL1;BRIX1;CCT7;ABCF2;RFC5;EIF5B;DDX18;UBE2I;TAF12;HSBP1;RPL23;NDUFC1;NPM3;BYSL;LSM6;RPL37A;MCM5;ASF1B
NCI-60_Cancer_Cell_Lines	JURKAT	17/374	0.00010713981732753778	0.004982001505730507	0	0	2.8677946659019216	26.215588966163928	SLBP;EIF4A1;LIG1;TXNRD3;HDAC1;IDH2;BAZ1B;TYMS;SMARCA4;EIF3M;RBBP4;POLE3;ANP32E;USP1;MCM3;MCM5;MCM6
NCI-60_Cancer_Cell_Lines	DU145	9/143	0.00046932357255363027	0.01454903074916254	0	0	3.9707926143257377	30.433020654836003	PSMB6;PSMA6;VCP;PSMD11;PSME3;ANP32E;ABCF2;ILF2;LMNB2
NCI-60_Cancer_Cell_Lines	HEK293	20/546	0.0004809821350796732	0.011182834640602405	0	0	2.311043320507043	17.655632427993126	BTF3;SMARCE1;GCA;RPS8;ATP5A1;RPA2;UBE2D1;ATP5J;HNRNPR;MRPL12;SMC1A;SMARCA4;MYBBP1A;C1QBP;UBA2;RPL27;RBBP7;LSM14A;MAD2L1;SNRPB
NCI-60_Cancer_Cell_Lines	HT1080	15/380	0.001156890136863786	0.02151815654566642	0	0	2.490453262493774	16.84049424818123	DDX18;PSMD14;RPL31;HSPA4;MAK16;AK2;EIF3M;EIF3I;RPL37A;TFAM;ABCF2;RPL28;RPS21;RSL24D1;NOP10
NCI-60_Cancer_Cell_Lines	OVCAR4	10/212	0.002123231161788889	0.03291008300772777	0	0	2.97601333253973	18.316815123179207	RAB2A;IVNS1ABP;NOP16;HSPA4;UQCRQ;NDUFA3;ATP5J;UQCRFS1;SNRPE;RPL28
NCI-60_Cancer_Cell_Lines	SW620	12/315	0.004650744463578046	0.06178846215896546	0	0	2.403485053327325	12.908464407398546	NOP56;NUDT21;RRM1;PCNA;KARS;MSH2;DKC1;API5;NOP2;AK2;TFAM;HMGB3
NCI-60_Cancer_Cell_Lines	HT29	15/456	0.006417418871557047	0.07460249438185068	0	0	2.075377718744812	10.478041024096813	RANBP1;EIF5B;RFC3;PSMD11;RPL21;API5;CBX3;HSPA4;RPL23;POMP;ACTL6A;CD3EAP;HMGB1;HSPE1;TFAM
NCI-60_Cancer_Cell_Lines	U20S	15/458	0.006670190058433223	0.06892529727047664	0	0	2.066314933946799	10.352458759679667	PRIM2;HSPA4;PITPNB;BCCIP;CD3EAP;MRPL12;MAGOHB;LSM5;PSMC5;EBNA1BP2;CCND2;PES1;ARHGDIA;PSMD3;FKBP4
NCI-60_Cancer_Cell_Lines	GM133	12/336	0.007643209327099222	0.07108184674202278	0	0	2.253267237494367	10.982284125768233	PRIM2;EIF5B;EIF3M;ACTL6A;UBE2D1;NUCKS1;RPS27A;PFDN4;RPL9;RAD23B;RPL7;MAD2L1
NCI-60_Cancer_Cell_Lines	HELA	7/162	0.014925098810264369	0.1261849263049624	0	0	2.7261751762277524	11.462778749427555	RRM1;CBX5;TXNRD3;UQCR10;HSD17B10;UCHL5;POLR2L
NCI-60_Cancer_Cell_Lines	RS11846	11/360	0.02922346131691868	0.22648182520611976	0	0	1.9277953031896249	6.810483289196265	EIF4A1;DUT;RFC3;CBX5;NDUFA5;API5;AK2;CCT8;ABCF2;SF1;RPL7
NCI-60_Cancer_Cell_Lines	ALVA31	15/560	0.034226379156286735	0.2448502508872821	0	0	1.6899504281207751	5.703174760932274	NPM1;HSP90AA1;CBX5;NOP16;HSPE1;COX7C;SMARCA4;MAT2A;G3BP1;TFAM;RPL13;BRIX1;RPS11;RPS21;KPNB1
NCI-60_Cancer_Cell_Lines	K562	16/639	0.04903419412002681	0.32572714665446384	0	0	1.5797554341118567	4.763337644191818	SF3A3;RANBP1;RBM28;SSB;NDUFA5;ATP5G3;BAZ1B;UCHL5;LSM2;HAT1;TFAM;BRIX1;CCT8;ABCF2;KPNB1;ABCF1
NCI-60_Cancer_Cell_Lines	HEK 293 T-rex    	18/773	0.0676136855871156	0.4192048506401168	0	0	1.4691418987026663	3.9577872767721822	SF3A3;NOP56;SSB;RPL10;NAA10;GLRX3;NONO;AK2;HNRNPR;MRPL20;PTBP1;C1QBP;TFAM;RBBP7;LSM14A;THOP1;GSTM5;SNRPB
NCI-60_Cancer_Cell_Lines	HEK 293T	13/529	0.07967676875659455	0.4631212183977058	0	0	1.550452314646407	3.922298945175005	RFC5;KHDRBS1;RBM28;NDUFB8;RPL10;RPL31;RPA2;PMF1;RBBP4;USP1;LUC7L3;RPS2;TARDBP
NCI-60_Cancer_Cell_Lines	CCRT CEM	41/2130	0.11000411031807876	0.6017871917400779	0	0	1.21443698997349	2.6805509231721567	RPL5;PRIM2;SET;MCM7;HP1BP3;CLTA;UBE2D1;HNRNPR;NUCKS1;TYMS;COX7C;RPL7;PTBP1;RBBP4;RPL13;RPLP2;CCT8;MBD3;RAB2A;SMARCE1;NOP56;RANBP1;UBE2I;CBX5;API5;BUD31;RPS6;IDH2;RPA1;KIF22;SMC1A;RAD23B;SMARCA4;RAD51;HNRNPUL1;RPL37A;CALM3;MCM5;RPL26;PFDN4;ASF1B
NCI-60_Cancer_Cell_Lines	LN18	9/383	0.15650012564152102	0.8085839824811919	0	0	1.4825674774114372	2.7497156263648725	YWHAE;NUDT21;PSMD7;KARS;BUD31;COX4I1;TMED2;TBCB;DDOST
