Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NCI-Nature_2016	Validated targets of C-MYC transcriptional activation Homo sapiens 61d3b115-6196-11e5-8ac5-06603eb7f303	13/79	3.2199368089301824e-10	6.729667930664081e-08	0	0	10.382142714531009	226.91719006247104	EIF4A1;DDX18;HSP90AA1;NPM1;TAF12;HSPA4;ACTL6A;RPL11;CDCA7;CCND2;NCL;RUVBL1;RCC1
NCI-Nature_2016	ATR signaling pathway Homo sapiens 8991cbac-618b-11e5-8ac5-06603eb7f303	7/39	2.3406164926831403e-06	0.00024459442348538814	0	0	11.324112270484509	146.818205021718	RFC5;RFC3;RAD51;MCM7;RPA1;RPA2;MCM2
NCI-Nature_2016	E2F transcription factor network Homo sapiens bb4d0fd3-6191-11e5-8ac5-06603eb7f303	8/72	1.808749090941669e-05	0.001260095200022696	0	0	7.010164738871364	76.5530316761028	RANBP1;RRM1;CBX5;RRM2;RBBP4;HDAC1;MCM3;TYMS
NCI-Nature_2016	Regulation of Telomerase Homo sapiens 4dfe97ca-6195-11e5-8ac5-06603eb7f303	7/67	9.057810509506408e-05	0.0047327059912170965	0	0	6.591647441028298	61.363610601412525	YWHAE;HSP90AA1;RBBP4;DKC1;HDAC1;NCL;RBBP7
NCI-Nature_2016	Fanconi anemia pathway Homo sapiens 6befb873-6192-11e5-8ac5-06603eb7f303	5/47	0.000861728442350005	0.036020248890230214	0	0	6.711859856366201	47.362711383382575	RFC5;RFC3;USP1;RPA1;RPA2
NCI-Nature_2016	Aurora B signaling Homo sapiens 304a75af-618c-11e5-8ac5-06603eb7f303	4/39	0.0032902884508177674	0.11461171437015225	0	0	6.4709212974197206	36.9928337330906	NPM1;PSMA3;CBX5;NCL
NCI-Nature_2016	Signaling events mediated by HDAC Class I Homo sapiens 97e84126-6195-11e5-8ac5-06603eb7f303	5/66	0.003933316361926329	0.11743758852037182	0	0	4.779657776503202	26.47104651062245	MBD3;UBE2I;RBBP4;HDAC1;RBBP7
NCI-Nature_2016	C-MYC pathway Homo sapiens e3162de9-618e-11e5-8ac5-06603eb7f303	3/23	0.005522055254778593	0.14426369353109073	0	0	8.22932382389247	42.78429701735879	TAF12;ACTL6A;RUVBL1
NCI-Nature_2016	C-MYB transcription factor network Homo sapiens 61020228-618e-11e5-8ac5-06603eb7f303	5/82	0.009792304218012568	0.22739906461829185	0	0	3.8470416249903834	17.797024258208737	UBE2I;MAT2A;CLTA;SND1;PPID
NCI-Nature_2016	BARD1 signaling events Homo sapiens 75b04491-618c-11e5-8ac5-06603eb7f303	3/29	0.010624941858346896	0.22206128483945012	0	0	6.5267051017078215	29.6609444338663	NPM1;PCNA;RAD51
NCI-Nature_2016	Sumoylation by RanBP2 regulates transcriptional repression Homo sapiens f70a59a5-6195-11e5-8ac5-06603eb7f303	2/11	0.012531972455833349	0.23810747666083365	0	0	11.471178663607686	50.237706954990514	UBE2I;HDAC1
NCI-Nature_2016	p53 pathway Homo sapiens a0de862d-6194-11e5-8ac5-06603eb7f303	4/57	0.01266015856107627	0.2204977616054117	0	0	4.427472466655598	19.34493480667642	RPL5;RPL23;RPL11;UBE2D1
NCI-Nature_2016	Signaling events mediated by HDAC Class II Homo sapiens a1da5607-6195-11e5-8ac5-06603eb7f303	3/34	0.016420805221799516	0.2639960224120076	0	0	5.566895527927259	22.875521267807283	YWHAE;HSP90AA1;UBE2I
NCI-Nature_2016	Validated nuclear estrogen receptor alpha network Homo sapiens 58949883-6196-11e5-8ac5-06603eb7f303	4/64	0.018693825180119028	0.2790721044746341	0	0	3.943217665615142	15.692279234711124	PCNA;SET;HDAC1;ATP5J
