Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NIH_Funded_PIs_2017_Human_AutoRIF	Gautier Jean (Columbia University Health Sciences)	12/66	4.678034749782115e-10	5.87467603877638e-06	0	0	11.471178663607686	246.4350195981008	ORC4;PCNA;SSB;RAD51;MCM7;MSH2;MCM3;RPA1;RCC1;MCM5;MCM6;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Vindigni Alessandro (Saint Louis University)	11/64	4.696523081513211e-09	2.9489468428821446e-05	0	0	10.843848580441643	207.94644823614516	BTF3;ORC4;PCNA;SSB;RAD51;LIG1;PARP1;MSH2;MCM3;RPA1;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Greene Eric C (Columbia University Health Sciences)	7/22	3.2703083857925985e-08	0.0001368951090292782	0	0	20.07456266131345	346.0010759717704	SSB;PCNA;RAD51;MSH2;RPA1;SF1;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Brow David A (University Of Wisconsin-Madison)	6/14	4.080671164035706e-08	0.00012811267119490098	0	0	27.0392068499324	460.05640202098124	RRM1;RRM2;LSM1;SNRPF;LSM2;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Spies Maria (University Of Iowa)	8/37	9.438228524947448e-08	0.0002370505476325801	0	0	13.641401654019955	220.66211868237926	PCNA;SSB;RAD51;PARP1;MSH2;RPA1;RPA2;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Burgers Peter M (Washington University)	9/51	9.555690428921623e-08	0.00020000060067732955	0	0	11.133791055854518	179.96152062141513	RFC5;RFC3;PCNA;RAD51;LIG1;MSH2;RPA1;RPA2;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Griffith Jack D (Univ Of North Carolina Chapel Hill)	10/73	2.2310414313760055e-07	0.00040024883278885537	0	0	8.642668856142777	132.367893910511	PCNA;SSB;RAD51;MCM7;MSH2;MCM3;MCM5;HMGB1;MCM6;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Li Joachim J (University Of California)	5/10	2.2884817729569731e-07	0.0003592344263099208	0	0	31.54574132492113	482.3409159149185	MCM7;MCM3;MCM5;MCM6;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Bruck Irina (Florida State University)	5/14	1.7255824613777634e-06	0.002407762727775773	0	0	22.532672374943672	299.0073435264788	MCM7;MCM3;MCM5;MCM6;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Pestova Tatyana V (Suny Downstate Medical Center)	7/40	2.798850434041558e-06	0.0035147963750693885	0	0	11.041009463722396	141.17367900709093	RPS15;EIF5B;RPS5;RPS3;DENR;YBX1;RPS2
NIH_Funded_PIs_2017_Human_AutoRIF	Shima Naoko (University Of Minnesota)	5/16	3.667975618304055e-06	0.004187494346787483	0	0	19.716088328075713	246.76401125253247	PCNA;RAD51;MCM7;MCM5;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Reinberg Danny (New York University School Of Medicine)	12/147	4.058147557607644e-06	0.0042468514190364005	0	0	5.150325114272838	63.940173592073705	DRAP1;PCNA;KDM1A;NASP;RBBP4;CBX3;HDAC1;HAT1;MCM5;RBBP7;ASF1B;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Galletto Roberto (Washington University)	4/8	4.1227557775890866e-06	0.003982582081151057	0	0	31.54574132492113	391.13529148727	SSB;PCNA;RAD51;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Price Carolyn M (University Of Cincinnati)	6/30	6.515021902158331e-06	0.005843974646236023	0	0	12.618296529968454	150.6801260011143	PCNA;RAD51;KARS;RPA3;RPA1;RPA2
NIH_Funded_PIs_2017_Human_AutoRIF	Sung Patrick (Yale University)	9/89	1.178568956541902e-05	0.009866979304168804	0	0	6.3800375713323625	72.40465076414897	PCNA;SSB;RAD51;MSH2;USP1;RPA1;RPA2;NUCKS1;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Freudenthal Bret D (University Of Kansas Medical Center)	4/10	1.2061260828000335e-05	0.009466582092376764	0	0	25.236593059936908	285.81733314476037	VCP;PCNA;RAD51;PARP1
NIH_Funded_PIs_2017_Human_AutoRIF	Glazer Peter M (Yale University)	8/69	1.316629814460738e-05	0.009726021888234088	0	0	7.3149545101266416	82.20436274226066	RAD51;KDM1A;PARP1;MSH2;POLD1;IDH2;RPA1;RAD23B
NIH_Funded_PIs_2017_Human_AutoRIF	Black Ben E (University Of Pennsylvania)	6/35	1.6661057269806236e-05	0.01162386428856815	0	0	10.815682739972964	118.99886213609206	PARP1;HMGB3;RCC1;HMGB1;MAD2L1;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Wilkinson Keith D (Emory University)	7/53	1.9400905791464445e-05	0.012822977627853184	0	0	8.332837331111243	90.41287497044571	VCP;SSB;PSMD14;SARS;UBA2;UBA1;UCHL5
NIH_Funded_PIs_2017_Human_AutoRIF	Query Charles C (Albert Einstein College Of Medicine)	4/12	2.772501968427149e-05	0.017408539859754067	0	0	21.030494216614088	220.6766627706699	NHP2;SNRPF;NOP10;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Zou Yue (East Tennessee State University)	7/56	2.8028069738020527e-05	0.016760785703336268	0	0	7.886435331230284	82.6680130859909	PCNA;SSB;RAD51;HDAC1;RPA1;RPA2;RAD23B
NIH_Funded_PIs_2017_Human_AutoRIF	Feigon Juli (University Of California Los Angeles)	5/24	3.2161468582951614e-05	0.01835835102112302	0	0	13.144058885383807	135.97189077028582	RRM1;DKC1;NHP2;RAD23B;NOP10
NIH_Funded_PIs_2017_Human_AutoRIF	Sharma Sudha (Howard University)	6/40	3.686155374582549e-05	0.02012640834522072	0	0	9.463722397476339	96.60890965915598	PCNA;RAD51;PARP1;MSH2;MYBBP1A;RPA1
NIH_Funded_PIs_2017_Human_AutoRIF	Reiter Nicholas J (Vanderbilt University)	3/5	3.8523386250875546e-05	0.020157361855770637	0	0	37.854889589905355	384.76637473805215	RRM1;SSB;RRM2
NIH_Funded_PIs_2017_Human_AutoRIF	Jin Jian (Icahn School Of Medicine At Mount Sinai)	13/214	3.947698532371197e-05	0.019830079267807	0	0	3.832660160971727	38.862379544400454	PCNA;CBX5;SSB;PARP1;KDM1A;RPL11;SARS;HMGB1;RPL6;SMARCA4;RAD51;SNRPF;RPS11
NIH_Funded_PIs_2017_Human_AutoRIF	Meier U Thomas (Albert Einstein College Of Medicine)	4/13	3.954786845691231e-05	0.01910162046468864	0	0	19.41276389225916	196.80657626979374	DKC1;RUVBL1;NHP2;NOP10
NIH_Funded_PIs_2017_Human_AutoRIF	Lynch Kristen W (University Of Pennsylvania)	6/41	4.260993595670441e-05	0.019818354657196075	0	0	9.232899899976918	92.91457807307388	IVNS1ABP;PTBP1;NPM1;RRM2;NONO;SRSF9
NIH_Funded_PIs_2017_Human_AutoRIF	Tomkinson Alan E (University Of New Mexico Health Scis Ctr)	7/61	4.927686400133659e-05	0.02210067350459946	0	0	7.240006205719606	71.8067860988807	PCNA;SSB;LIG1;PARP1;MSH2;RPA1;HMGB1
NIH_Funded_PIs_2017_Human_AutoRIF	Lu Hua (Tulane University Of Louisiana)	14/251	5.11101566025769e-05	0.02213246022810899	0	0	3.5190468410270586	34.77355750404614	RPL5;NPM1;PCNA;RPL23;RPL22;RPL11;SARS;HMGB1;RAD51;MSH2;NCL;TFAM;RPS2;MAD2L1
NIH_Funded_PIs_2017_Human_AutoRIF	Chazin Walter J (Vanderbilt University)	9/107	5.1836757003998796e-05	0.0216988664818739	0	0	5.30676022288393	52.36398454614393	PCNA;SSB;RAD51;RPA1;UBE2D1;CALM3;HMGB1;PRPF19;RAD23B
NIH_Funded_PIs_2017_Human_AutoRIF	Fregoso Oliver I (University Of California Los Angeles)	4/14	5.4676922852906984e-05	0.022149445070542124	0	0	18.026137899954936	176.909757967416	RPL5;RRM1;PARP1;SRSF1
NIH_Funded_PIs_2017_Human_AutoRIF	Shen Xuetong (University Of Tx Md Anderson Can Ctr)	4/15	7.363057652817642e-05	0.028895399376276224	0	0	16.824395373291274	160.10852032038096	PCNA;RAD51;MSH2;ASF1B
NIH_Funded_PIs_2017_Human_AutoRIF	Williams Noreen (State University Of New York At Buffalo)	3/6	7.614125579274303e-05	0.028975208795311118	0	0	31.54574132492113	299.1457512283733	RRM1;RRM2;RRS1
NIH_Funded_PIs_2017_Human_AutoRIF	Lohman Timothy M (Washington University)	3/6	7.614125579274303e-05	0.028122996771919616	0	0	31.54574132492113	299.1457512283733	SSB;RAD51;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Walter Johannes (Harvard Medical School)	7/66	8.221754072495963e-05	0.02949965361211552	0	0	6.691520887104484	62.941394909630915	PCNA;RAD51;MCM7;MCM3;MCM5;MCM6;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Kolupaeva Victoria (New York University School Of Medicine)	5/30	9.974532827916447e-05	0.034794495348048536	0	0	10.515247108307047	96.87581848144218	RPS15;EIF5B;RPS5;RPS3;RPS2
NIH_Funded_PIs_2017_Human_AutoRIF	Van Houten Bennett (University Of Pittsburgh At Pittsburgh)	8/93	0.00011546584178734832	0.039189730842311365	0	0	5.427224313964927	49.206123612325904	PCNA;SSB;RAD51;LIG1;PARP1;HMGB1;RAD23B;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Jacob Samson T (Ohio State University)	8/94	0.00012449486491009282	0.04114227667213015	0	0	5.369487885092959	48.27838694469269	MBD3;VCP;PARP1;HDAC1;CBX3;TFAM;YBX1;SMARCA4
NIH_Funded_PIs_2017_Human_AutoRIF	Chakrabarti Debopam (University Of Central Florida)	4/17	0.00012520497836341615	0.04031600303302	0	0	14.845054741139359	133.39110538953784	PCNA;MCM7;MCM6;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Ha Taekjip (Johns Hopkins University)	7/73	0.0001565060271702178	0.04913506723008988	0	0	6.049868199299944	53.01146212799029	PCNA;SSB;RAD51;RPA3;RPA1;RPA2;SF1
NIH_Funded_PIs_2017_Human_AutoRIF	Li Ziyin (University Of Texas Hlth Sci Ctr Houston)	5/33	0.0001597816483905745	0.048939949768020366	0	0	9.559315553006405	83.56469144763544	RPN1;MCM3;MCM6;MCM2;ASF1B
NIH_Funded_PIs_2017_Human_AutoRIF	Shechter David (Albert Einstein College Of Medicine)	5/36	0.00024412808383179825	0.07299429706570766	0	0	8.762705923589206	72.88658899985727	RPA1;MCM3;MCM5;BAZ1B;MCM2
NIH_Funded_PIs_2017_Human_AutoRIF	Eoff Robert L (Univ Of Arkansas For Med Scis)	4/20	0.00024549199357433405	0.07169508035596481	0	0	12.618296529968454	104.8863876844586	NPM1;SSB;PCNA;SARS
NIH_Funded_PIs_2017_Human_AutoRIF	Cooper Thomas A (Baylor College Of Medicine)	6/56	0.0002521256197124316	0.07195894391701628	0	0	6.7598017124831005	56.0088988535545	SF3B4;RRM1;RRM2;BUD31;TMED2;SNRPF
NIH_Funded_PIs_2017_Human_AutoRIF	Bianco Piero R (State University Of New York At Buffalo)	3/9	0.00030866439376415794	0.08613794348645101	0	0	21.030494216614088	169.99486804686342	SSB;RAD51;MSH2
NIH_Funded_PIs_2017_Human_AutoRIF	Barash Yoseph (University Of Pennsylvania)	5/38	0.00031673622406905267	0.08646898917085137	0	0	8.301510874979247	66.88893600534213	KHDRBS1;PTBP1;NPM1;NCL;SRSF9
NIH_Funded_PIs_2017_Human_AutoRIF	Perrotti Danilo (University Of Maryland Baltimore)	8/110	0.00036838891061582947	0.09843038169177844	0	0	4.5884714654430745	36.27815935996926	NPM1;CCND2;SSB;PARP1;HDAC1;PCBP1;IDH2;RCC1
