Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NIH_Funded_PIs_2017_Human_GeneRIF	Glazer Peter M (Yale University)	6/17	1.6155347047999745e-07	0.0009187545866197453	0	0	22.267582111709036	348.2300166082905	RRM2;RAD51;KDM1A;MSH2;IDH2;RPA1
NIH_Funded_PIs_2017_Human_GeneRIF	Li Guo-Min (University Of Southern California)	5/17	5.129001865142585e-06	0.01458431680353294	0	0	18.5563184264242	226.02708268529915	PCNA;MSH2;POLD1;RPA1;HMGB1
NIH_Funded_PIs_2017_Human_GeneRIF	Chatfield Kathryn C (University Of Colorado Denver)	3/5	3.8523386250875546e-05	0.07302749920290975	0	0	37.854889589905355	384.76637473805215	NDUFB10;SMC1A;HSD17B10
NIH_Funded_PIs_2017_Human_GeneRIF	Mccauley Jacob L (University Of Miami School Of Medicine)	9/108	5.577385537970511e-05	0.07929647888609574	0	0	5.257623554153524	51.49424468958602	RFC5;PCNA;RAD51;PARP1;POLD1;RPA3;RPA1;RPA2;RAD23B
NIH_Funded_PIs_2017_Human_GeneRIF	Zou Yue (East Tennessee State University)	4/15	7.363057652817642e-05	0.08374741774314784	0	0	16.824395373291274	160.10852032038096	PCNA;RPA1;RPA2;RAD23B
NIH_Funded_PIs_2017_Human_GeneRIF	Zhang Zhiguo (Columbia University Health Sciences)	5/31	0.00011739425060216258	0.11127018386241644	0	0	10.176045588684238	92.09293400319343	RBBP4;RPA3;HAT1;RPA1;RPA2
NIH_Funded_PIs_2017_Human_GeneRIF	Vindigni Alessandro (Saint Louis University)	4/17	0.00012520497836341615	0.10172010170753537	0	0	14.845054741139359	133.39110538953784	RAD51;LIG1;RPA1;LMNB2
NIH_Funded_PIs_2017_Human_GeneRIF	Hauser Stephen L (University Of California)	9/126	0.00018319615351932727	0.1302295656330518	0	0	4.506534474988734	38.77851780990629	RFC5;PCNA;RAD51;PARP1;POLD1;RPA3;RPA1;RPA2;RAD23B
NIH_Funded_PIs_2017_Human_GeneRIF	Zhang Yanbin (University Of Miami School Of Medicine)	4/19	0.00019886496855205715	0.12566056401728326	0	0	13.282417399966796	113.20450956066657	PCNA;MSH2;POLD1;RPA1
NIH_Funded_PIs_2017_Human_GeneRIF	Sun Hong (Louisiana State Univ Hsc Shreveport)	10/163	0.0002823174016072377	0.16055390629403607	0	0	3.8706431073522873	31.632747894774297	DDX18;SLBP;NPM1;PCNA;KDM1A;HDAC1;NONO;C1QBP;OLA1;HMGB3
NIH_Funded_PIs_2017_Human_GeneRIF	Walter Johannes (Harvard Medical School)	4/21	0.00029948804641607486	0.15483531999711073	0	0	12.017425266636625	97.502611422619	VCP;PCNA;RAD51;MCM2
NIH_Funded_PIs_2017_Human_GeneRIF	Kadyrov Farid (Southern Illinois University Carbondale)	3/9	0.00030866439376415794	0.14628120061139718	0	0	21.030494216614088	169.99486804686342	PCNA;PARP1;MSH2
NIH_Funded_PIs_2017_Human_GeneRIF	Tomida Junya (University Of Tx Md Anderson Can Ctr)	3/9	0.00030866439376415794	0.13502880056436664	0	0	21.030494216614088	169.99486804686342	RAD51;RPA1;MAD2L1
NIH_Funded_PIs_2017_Human_GeneRIF	Hafler David A (Yale University)	9/137	0.00034257066097696787	0.13915709635542975	0	0	4.144695940500586	33.070664076571624	RFC5;PCNA;RAD51;PARP1;POLD1;RPA3;RPA1;RPA2;RAD23B
NIH_Funded_PIs_2017_Human_GeneRIF	Knudsen Karen E (Thomas Jefferson University)	4/23	0.00043217117542673967	0.16385049831012452	0	0	10.97243176518996	85.00001436059274	SMARCE1;KHDRBS1;PARP1;SMARCA4
NIH_Funded_PIs_2017_Human_GeneRIF	Spies Maria (University Of Iowa)	3/10	0.0004357809620391815	0.15489289569480158	0	0	18.927444794952677	146.46758652671463	RAD51;MSH2;RPA1
NIH_Funded_PIs_2017_Human_GeneRIF	Loeb Lawrence A (University Of Washington)	3/10	0.0004357809620391815	0.145781548889225	0	0	18.927444794952677	146.46758652671463	POLD1;RPA1;TYMS
NIH_Funded_PIs_2017_Human_GeneRIF	Moore Melissa J (Univ Of Massachusetts Med Sch Worcester)	3/10	0.0004357809620391815	0.13768257395093475	0	0	18.927444794952677	146.46758652671463	EIF4A1;EIF4H;TARDBP
NIH_Funded_PIs_2017_Human_GeneRIF	Chazin Walter J (Vanderbilt University)	5/41	0.00045489412640339736	0.1361569945713748	0	0	7.694083249980764	59.209401056497384	PRIM2;RAD51;RPA1;RPA2;CALM3
NIH_Funded_PIs_2017_Human_GeneRIF	Zhang Yanping (Univ Of North Carolina Chapel Hill)	6/63	0.00048092482263753446	0.13675097331698294	0	0	6.0087126333183125	45.90536033628683	RPL5;SLBP;NPM1;C1QBP;RPL23;RPL11
NIH_Funded_PIs_2017_Human_GeneRIF	Shorter James (University Of Pennsylvania)	3/11	0.0005921810742381012	0.16036827472343246	0	0	17.20676799541153	127.87550503934219	TAF15;HSPA4;TARDBP
