Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NURSA_Human_Endogenous_Complexome	BL5941 (WNK1)	104/559	5.6949516635140805e-83	1.0228133187671288e-79	0	0	11.737950260435774	2222.8741264373634	EIF4A1;RPL31;HNRNPR;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;PSMD7;RPS16;SNRPD2;ARHGDIA;PSMD3;RUVBL1;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPL22;RPS6;ILF2;SND1;EBNA1BP2;KARS;DKC1;PSME3;NCL;NHP2;RPL27;SNRPE;RPL26;RPL28;KPNB1;KHDRBS1;VCP;SET;RAB5C;PSMD14;NOP2;PCBP1;G3BP1;HSPA4;NONO;SMARCA4;UBA1;YWHAE;HSP90AB1;MCM7;RPLP0;YBX1;PRPF19;PTBP1;RPLP2;CCT3;RFC5;NUDC;HSP90AA1;RFC3;PARP1;ACTL6A;SMC1A;PSMA5;EEF1G;PSMA6;PSMA4;MCM3;MCM5;MCM6;MCM2;AHCY;PCNA;RPL10;RPL12;RPL11;HSD17B10;PSMB6;PSMB4;RBBP4;PSMB3;POLD1;RPS3;RPL13;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;SMARCE1;NOP56;NPM1;NOP58;RRM2;RPL23A;HNRNPAB;PSMC5;TARDBP
NURSA_Human_Endogenous_Complexome	BL409 (UPF1)	100/581	4.9739388704148034e-76	4.4665971056324945e-73	0	0	10.85911921684032	1882.8871684528024	EIF4A1;HNRNPR;RPL7;PSMD7;RPS16;RPS19;ARHGDIA;PSMD3;RUVBL1;RPL21;RPS8;RPL22;RPS6;SND1;KARS;MSH2;DKC1;PSME3;NCL;NHP2;RPL27;FKBP4;KPNB1;VCP;SET;PSMD11;PSMD13;PCBP1;API5;HSPA4;NONO;EIF2S2;SMARCA4;LSM2;NASP;CALM3;UBA1;YWHAE;HSP90AB1;MCM7;RPLP0;HP1BP3;HMGB1;YBX1;PRPF19;TRMT112;PTBP1;RPLP2;CCT3;NUDC;HSP90AA1;PARP1;GLRX3;ACTL6A;SMC1A;RAD23B;PSMA5;EEF1G;PSMA6;PSMA1;MCM3;MCM5;MCM6;MCM2;AHCY;PCNA;HDAC1;RPL11;PSMB6;RBBP4;MAT2A;PSMB3;POLD1;RPS3;EIF4H;RPL13;CCT8;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;SMARCE1;NOP56;DUT;NPM1;SSB;RRM2;RPA1;RPL23A;HSPE1;HNRNPAB;NUDT21;PSMC5;EIF3K;PSMC4;RPA3;EIF3F;TARDBP
NURSA_Human_Endogenous_Complexome	BL2840 (UIMC1)	117/896	5.749862644340138e-76	3.4422511030782966e-73	0	0	8.238508337088781	1427.299252113342	RPL5;EIF4A1;RPL31;HNRNPR;RPL9;RPL6;RPL7;FBL;RPS17;PSMD7;RPS16;RPS19;RUVBL1;RPS11;RPS13;DDX18;RPL21;LIG1;RPS8;RPL22;RPS6;CD3EAP;ILF2;SND1;EBNA1BP2;KARS;HNRNPUL1;MSH2;DKC1;PSME3;NCL;HAT1;NHP2;RPL27;SNRPE;RPL26;RPL28;KPNB1;SNRPB;KHDRBS1;PSMD11;PSMD14;PSMD13;RPN1;NOP2;ATP5B;PCBP1;API5;HSPA4;NONO;TBCB;SMARCA4;UBA1;YWHAE;RBM28;HSP90AB1;MCM7;RPLP0;PRPF19;LMNB2;PTBP1;RPLP2;BCAS2;CCT3;RFC5;HELLS;NUDC;HSP90AA1;RFC3;PARP1;GLRX3;ACTL6A;KIF22;SMC1A;UCHL5;PSMA5;EEF1G;MCM3;MCM5;SLC25A5;SF3B4;RPL10;HDAC1;RPL12;RPL11;ATP5A1;RBBP4;POLD1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;SMARCE1;NOP56;NPM1;NOP58;RRM1;RRM2;RPA1;RPA2;RPL23A;HNRNPAB;BYSL;PSMC5;EIF3M;MYBBP1A;EIF3K;EIF3F;TARDBP
NURSA_Human_Endogenous_Complexome	BL117 (ATR)	88/447	1.1075921100441727e-71	4.973088574098336e-69	0	0	12.420694570886175	2029.3098868461648	YWHAE;RPL5;RBM28;HSP90AB1;RPL31;RPLP0;HP1BP3;HNRNPR;YBX1;PRPF19;RPL9;RPL6;RPL7;TRMT112;PTBP1;RPS17;RPS16;SNRPD2;RPS19;RUVBL1;RPLP2;RPS11;RPS13;RAB2A;RFC5;HSP90AA1;RFC3;RPL21;PARP1;RPS8;RPS5;ACTL6A;RPS6;KIF22;ILF2;PSMA5;PSMA6;EBNA1BP2;PSMA3;PSMA4;HNRNPUL1;PSMA1;DKC1;PSME3;NCL;RPL37A;RPL27;SNRPF;RPL28;KPNB1;SET;RPL10;HDAC1;RPL12;RPL11;NOP2;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;PSMB3;PCBP1;G3BP1;RPS3;RPL13;SNRPB2;RPS2;RPL18;RPS27A;LYAR;RPL19;SMARCE1;NOP56;NPM1;NOP58;NONO;RPA1;RPA2;RPL23A;HNRNPAB;LSM3;SMARCA4;NUDT21;LSM6;MYBBP1A;RPA3;TARDBP
NURSA_Human_Endogenous_Complexome	BL1739 (CARM1)	95/636	5.235057964260403e-66	1.8804328207623368e-63	0	0	9.424042219709145	1416.5771512593876	RPL5;RBM28;EIF4A1;HSP90AB1;MCM7;RPLP0;HNRNPR;YBX1;PRPF19;RPL9;BZW1;RPL6;RPL7;FBL;PTBP1;SNRPD2;PSMD3;RUVBL1;CCT3;RFC5;EIF5B;DDX18;HSP90AA1;RFC3;PARP1;RPS8;ACTL6A;RPS6;CD3EAP;SMC1A;DYNLL2;ILF2;SND1;EEF1G;PSMA6;EBNA1BP2;PSMA3;KARS;MSH2;DKC1;PSME3;NCL;NHP2;MCM3;SNRPE;MCM5;SNRPF;MCM6;KPNB1;SF1;SNRPB;SF3B4;PRIM2;VCP;SET;HDAC1;ATP5A1;NOP2;MAT2A;PSMB3;PCBP1;POLD1;G3BP1;RPL13;SNRPB2;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;ABCF1;SF3A3;SMARCE1;NOP56;NPM1;NOP58;RRM2;API5;HSPA4;RCC2;NONO;RPA1;HNRNPAB;SMARCA4;LSM2;NUDT21;PSMC5;MYBBP1A;EIF3I;UBA1;TARDBP;NOP10
NURSA_Human_Endogenous_Complexome	BL5549 (DEK)	77/368	1.7768618922614355e-64	5.318739930835896e-62	0	0	13.201206967494173	1937.8130535301307	YWHAE;RPL5;RBM28;RPL30;HSP90AB1;RPL32;MCM7;RPL31;RPL34;RPLP0;HP1BP3;HNRNPR;YBX1;PRPF19;RPL6;RPL7;FBL;RPS17;RPS16;RPS19;RUVBL1;RPLP2;RPS13;BCAS2;RFC5;HSP90AA1;RFC3;RPL21;PARP1;RPS8;RPL23;RPL22;ACTL6A;RPS6;BAZ1B;ILF2;EBNA1BP2;HNRNPUL1;DKC1;NCL;RPL37A;NHP2;RPL27;SNRPE;RPL28;AHCY;PCNA;RPL10;HDAC1;RPL12;RPL11;NOP2;RPS15A;RBBP4;PSMB3;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;LYAR;RPL19;CCT4;NOP56;NPM1;NOP58;CBX3;HSPA4;RPA1;RPA2;RPL23A;HNRNPAB;SMARCA4;MYBBP1A;RPA3;NOP10
NURSA_Human_Endogenous_Complexome	BL3800 (PALB2)	91/593	4.0846718415525075e-64	1.0480100896326146e-61	0	0	9.681829546603117	1413.1424574692335	YWHAE;RPL5;RBM28;EIF4A1;HSP90AB1;RPL31;RPLP0;HNRNPR;BZW1;RPL6;LMNB2;RPL7;FBL;PTBP1;RPS17;RPS19;RUVBL1;RPLP2;RPS13;BCAS2;RFC5;HELLS;DDX18;NUDC;HSP90AA1;RFC3;RPL21;SSR4;PARP1;RPS8;RPS5;RPL22;ACTL6A;RPS6;CD3EAP;SMC1A;DYNLL2;ILF2;SND1;UCHL5;TUFM;EEF1G;EBNA1BP2;MSH2;NCL;NHP2;RPL27;RPL26;SLC25A5;KPNB1;KHDRBS1;VCP;SET;PSMD11;RPL10;HDAC1;RPL11;ATP5A1;RPN1;NOP2;ATP5B;RBBP4;PCBP1;G3BP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RBBP7;RPL18;RPS27A;RPL19;MBD3;SMARCE1;NOP56;NPM1;NOP58;TAF15;RRM2;API5;CBX3;NONO;RPL23A;HNRNPAB;SMARCA4;RAD51;MYBBP1A;UBA1;EIF3F;TARDBP
NURSA_Human_Endogenous_Complexome	BL285 (RFC5)	76/361	8.019053356512517e-64	1.8002774785370607e-61	0	0	13.282417399966796	1929.717756228521	RPL5;HSP90AB1;RPL31;RPL34;RPLP0;HNRNPR;PRPF19;RPL9;RPL6;RPL7;TRMT112;PTBP1;RPS17;RPS16;RPS19;RUVBL1;RPLP2;RPS11;RPS13;BCAS2;RFC5;EIF5B;HSP90AA1;RFC3;RPL21;PARP1;RPS8;RPL22;ACTL6A;RPS6;CD3EAP;SMC1A;ILF2;RAD23B;EEF1G;EBNA1BP2;KARS;NCL;NHP2;RPL27;RPL26;RPL28;KHDRBS1;VCP;SET;PCNA;RPL10;HDAC1;RPL12;RPL11;RBBP4;PCBP1;G3BP1;RPS3;RPL13;SNRPB2;RPS2;RPL18;RPS27A;RPL19;SMARCE1;NPM1;NONO;RPA1;RPA2;RPL23A;EIF2S2;HNRNPAB;SMARCA4;BYSL;POLE4;NUDT21;MYBBP1A;RPA3;POLE3;TARDBP
NURSA_Human_Endogenous_Complexome	BL3007 (RMI1)	84/482	1.2560121861691845e-63	2.5064420959553948e-61	0	0	10.995196146445538	1592.4883442300088	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPL31;RPL34;RPLP0;HNRNPR;YBX1;PRPF19;RPL9;RPL7;RPS15;PTBP1;RPS17;RPS16;SNRPD2;RPS19;RUVBL1;RPLP2;RPL38;RPS11;RPS13;BCAS2;CCT3;HELLS;HSP90AA1;RFC3;RPL21;PARP1;RPS8;RPL23;RPS5;RPL22;ACTL6A;RPS6;SMC1A;DYNLL2;ILF2;EBNA1BP2;HNRNPUL1;NCL;RPL27;SNRPE;SNRPF;KPNB1;SF1;SF3B4;RPL10;PSMD14;HDAC1;RPL11;RPS15A;RBBP4;PCBP1;G3BP1;RPS3;RPL13;SNRPB2;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;SMARCE1;NPM1;TAF15;RRM2;API5;NONO;RPA2;RPL23A;SMARCA4;BYSL;LSM2;NUDT21;CALM3;EIF3F;TARDBP
NURSA_Human_Endogenous_Complexome	BL938 (SP1)	83/468	1.756786224017417e-63	3.1551880583352804e-61	0	0	11.189301410121601	1616.8470574039395	RPL30;HSP90AB1;RPL31;RPLP0;HNRNPR;PRPF19;RPL9;RPL6;RPL7;RPS15;PTBP1;RPS17;RPS16;SNRPD2;RPS19;RUVBL1;RPLP2;RPS13;BCAS2;CCT3;RFC5;HELLS;EIF5B;HSP90AA1;RFC3;RPL21;PARP1;RPS8;RPS5;RPL22;ACTL6A;CD3EAP;BAZ1B;SMC1A;ILF2;EEF1G;EBNA1BP2;MSH2;DKC1;NCL;RPL37A;NHP2;RPL27;SNRPE;KPNB1;SF1;SET;HDAC1;RPL12;RPL11;NOP2;RPS15A;PSMB3;PCBP1;POLD1;G3BP1;RPS3;RPL13;SNRPB2;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;ABCF1;POLR2L;SF3A3;MBD3;SMARCE1;NOP56;NPM1;NOP58;HSPA4;NONO;RPA1;RPL23A;HNRNPAB;SMARCA4;TARDBP;NOP10;MAD2L1
