Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
OMIM_Disease	anemia	4/61	0.0159266886369682	1.0	0	0	4.137146403268346	17.12678924874442	RPL5;RPS17;RPS19;RPL11
OMIM_Disease	alopecia	1/11	0.1612061780406288	1.0	0	0	5.735589331803843	10.467858470489997	RBM28
OMIM_Disease	dementia	1/12	0.17450835725876654	1.0	0	0	5.257623554153524	9.178667959443157	VCP
OMIM_Disease	encephalopathy	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	GCSH
OMIM_Disease	corneal dystrophy	1/14	0.20048512941488955	1.0	0	0	4.506534474988734	7.242069411865003	TACSTD2
OMIM_Disease	myocardial infarction	1/16	0.2256469557111145	1.0	0	0	3.943217665615142	5.8705979652933165	PSMA6
OMIM_Disease	lateral sclerosis	1/19	0.26191720835230675	1.0	0	0	3.320604349991698	4.448702718958836	TARDBP
OMIM_Disease	blood	1/36	0.43767604978190794	1.0	0	0	1.752541184717841	1.4480831661828433	BSG
OMIM_Disease	colorectal cancer	1/40	0.4725524621978995	1.0	0	0	1.5772870662460567	1.1823446484308693	MSH2
OMIM_Disease	myopathy	1/44	0.5052721663453871	1.0	0	0	1.4338973329509608	0.9788615595445136	VCP
OMIM_Disease	leukemia	1/78	0.7131006047157911	1.0	0	0	0.8088651621774651	0.27350381617603736	NPM1
OMIM_Disease	mental retardation	1/114	0.8390355582410199	1.0	0	0	0.5534340583319497	0.09712889020936563	HSD17B10
