Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ProteomicsDB_2020	Hematopoietic JURKAT BTO:0000661 Low coverage proteome bortezomib R3	36/176	1.1821955645311481e-29	1.0793445504169384e-26	0	0	12.905075996558649	859.5760668966564	PCNA;RPL32;MCM7;RPL10;POMP;RPL11;YBX1;PRPF19;TYMS;FBL;PSMB7;HINT1;RBBP4;PCBP1;G3BP1;RCC1;CCT8;CCT7;RPS27A;CCT4;CCT3;RANBP1;NUDC;TAF15;RPS5;ALYREF;ACTL6A;LSM1;LSM5;MAGOHB;NPM3;LSM3;PSMA5;RAD51;HAT1;SNRPF
ProteomicsDB_2020	Hematopoietic JURKAT BTO:0000661 Low coverage proteome untreated R3	36/176	1.1821955645311481e-29	5.396722752084692e-27	0	0	12.905075996558649	859.5760668966564	PCNA;RPL32;MCM7;RPL10;POMP;RPL11;YBX1;PRPF19;TYMS;FBL;PSMB7;HINT1;RBBP4;PCBP1;G3BP1;RCC1;CCT8;CCT7;RPS27A;CCT4;CCT3;RANBP1;NUDC;TAF15;RPS5;ALYREF;ACTL6A;LSM1;LSM5;MAGOHB;NPM3;LSM3;PSMA5;RAD51;HAT1;SNRPF
ProteomicsDB_2020	Hematopoietic K-562 BTO:0000664 K562 R2	47/384	4.721755274666165e-28	1.4369875219234026e-25	0	0	7.722134595162987	485.8782685458714	KHDRBS1;RPL30;SET;HSP90AB1;PSMD14;RPL31;RPL12;MRPL12;TYMS;RPL6;TRMT112;RBBP4;MAT2A;RUVBL1;RPS3;RPL13;CCT8;RBBP7;RPL18;RPS11;ABCF2;RPS13;RPL19;CCT4;CCT3;SMARCE1;RANBP1;DUT;ALYREF;RPS5;RPL22;ACTL6A;RPS6;SARS;LSM3;TUFM;BYSL;LSM2;PSMA5;EEF1G;RPA3;EIF3I;HAT1;POLE3;MCM6;EIF3F;SNRPB
ProteomicsDB_2020	Bone U2-OS BTO:0001938 NUC BioRep2 heavy	41/292	6.769339650377886e-27	1.5451017751987524e-24	0	0	8.858735577546346	533.8043197655065	KHDRBS1;DDX27;NDUFB10;UQCRB;COX4I1;HP1BP3;SRSF1;HNRNPR;MRPL12;PRPF19;FBL;SNRPD2;BSG;NUP62;RCC1;UQCRFS1;LYAR;BCAS2;NOP56;SMARCE1;NPM1;NOP58;TAF15;PARP1;API5;CBX3;ALYREF;NONO;RPL23A;MAGOHB;ILF2;HNRNPAB;NUDT21;EBNA1BP2;NCL;UQCRC1;TFAM;UQCRC2;SNRPF;TARDBP;SLC25A5
ProteomicsDB_2020	Bone U2-OS BTO:0001938 NUC BioRep2 light	41/292	6.769339650377886e-27	1.2360814201590019e-24	0	0	8.858735577546346	533.8043197655065	KHDRBS1;DDX27;NDUFB10;UQCRB;COX4I1;HP1BP3;SRSF1;HNRNPR;MRPL12;PRPF19;FBL;SNRPD2;BSG;NUP62;RCC1;UQCRFS1;LYAR;BCAS2;NOP56;SMARCE1;NPM1;NOP58;TAF15;PARP1;API5;CBX3;ALYREF;NONO;RPL23A;MAGOHB;ILF2;HNRNPAB;NUDT21;EBNA1BP2;NCL;UQCRC1;TFAM;UQCRC2;SNRPF;TARDBP;SLC25A5
ProteomicsDB_2020	Bone U2-OS BTO:0001938 NUC BioRep2 medium	41/292	6.769339650377886e-27	1.0300678501325015e-24	0	0	8.858735577546346	533.8043197655065	KHDRBS1;DDX27;NDUFB10;UQCRB;COX4I1;HP1BP3;SRSF1;HNRNPR;MRPL12;PRPF19;FBL;SNRPD2;BSG;NUP62;RCC1;UQCRFS1;LYAR;BCAS2;NOP56;SMARCE1;NPM1;NOP58;TAF15;PARP1;API5;CBX3;ALYREF;NONO;RPL23A;MAGOHB;ILF2;HNRNPAB;NUDT21;EBNA1BP2;NCL;UQCRC1;TFAM;UQCRC2;SNRPF;TARDBP;SLC25A5
ProteomicsDB_2020	Hematopoietic K-562 BTO:0000664 K562 NCI60	41/309	6.465579199486173e-26	8.432962584472677e-24	0	0	8.371361775545415	485.5450088520297	RPL5;KHDRBS1;SET;PSMD11;RPL32;POMP;SRSF1;TYMS;RPL6;TRMT112;PSMB7;FBL;SNRPD2;RBBP4;NUP62;USP1;EIF4H;RPL13;BRIX1;CCT8;RPS2;RPS11;CCT7;RPL18;RPS27A;CCT3;MBD3;RANBP1;DUT;SSB;CBX3;UCHL5;LSM3;PSMA5;PSMC5;RAD51;EIF3I;HAT1;SNRPE;RPL26;RSL24D1
ProteomicsDB_2020	Bone U2-OS BTO:0001938 CYTO BioRep3 heavy	32/169	2.4359046495117147e-25	2.7799761812552444e-23	0	0	11.946316241390251	677.0492194860085	EIF4A1;VCP;HSP90AB1;AHCY;RPL10;RPL31;RPL34;TYMS;RPL7;RPS15;RPS15A;RPS19;ARHGDIA;RPL13;RPL38;CCT8;RPS11;CCT7;RPL18;RPS13;RPL19;CCT3;DUT;RPL21;RPL22;RPL23A;EEF1G;ARPC3;RPL27;RPL22L1;FKBP4;RPS21
ProteomicsDB_2020	Bone U2-OS BTO:0001938 CYTO BioRep3 light	32/169	2.4359046495117147e-25	2.4710899388935503e-23	0	0	11.946316241390251	677.0492194860085	EIF4A1;VCP;HSP90AB1;AHCY;RPL10;RPL31;RPL34;TYMS;RPL7;RPS15;RPS15A;RPS19;ARHGDIA;RPL13;RPL38;CCT8;RPS11;CCT7;RPL18;RPS13;RPL19;CCT3;DUT;RPL21;RPL22;RPL23A;EEF1G;ARPC3;RPL27;RPL22L1;FKBP4;RPS21
ProteomicsDB_2020	Bone U2-OS BTO:0001938 CYTO BioRep3 medium	32/169	2.4359046495117147e-25	2.2239809450041952e-23	0	0	11.946316241390251	677.0492194860085	EIF4A1;VCP;HSP90AB1;AHCY;RPL10;RPL31;RPL34;TYMS;RPL7;RPS15;RPS15A;RPS19;ARHGDIA;RPL13;RPL38;CCT8;RPS11;CCT7;RPL18;RPS13;RPL19;CCT3;DUT;RPL21;RPL22;RPL23A;EEF1G;ARPC3;RPL27;RPL22L1;FKBP4;RPS21
