Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	Estradiol G1E-ER-GATA-1 cells 1 uM 48 hrs GSE74371 down	122/495	7.720612423890084e-115	1.0052237375904892e-111	0	0	15.549819966223753	4085.767941175348	EIF4A1;RPL30;RPL32;RPL31;NUCKS1;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;RPS16;CCND2;RPS19;RPS11;DDX18;RPL21;LIG1;RPS8;RPL23;RPS5;RPL22;RPS6;EBNA1BP2;KARS;DKC1;NCL;UQCRC1;RPL26;UQCRC2;SRSF6;FKBP4;KPNB1;SF1;SNRPB;KHDRBS1;VCP;SET;RPN1;CDCA7;ATP5B;G3BP1;BTF3;IVNS1ABP;CBX5;CBX3;HSPA4;RCC2;NONO;EIF2S2;UCK2;NASP;ANP32E;UBA2;RPS21;YWHAE;HSP90AB1;MCM7;RPLP0;HMGB3;HMGB1;YBX1;PRPF19;PTBP1;C1QBP;RPLP2;CCT3;HELLS;HSP90AA1;PARP1;BAZ1B;SMC1A;RAD23B;EEF1G;PSMA6;PSMA3;CANX;RPL37A;MCM3;MCM5;MCM6;SLC25A5;MCM2;PCNA;DDX27;RPL10;RPL11;ATP5A1;SRSF1;RPS15A;RBBP4;MAT2A;USP1;RPS3;EIF4H;RPL13;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;NOP56;RANBP1;NPM1;NOP58;RRM1;SSB;RRM2;RPA1;RPL23A;HSPE1;HNRNPAB;MYBBP1A;EIF3I;TCEA1;TARDBP
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	Alkbh1 Embryonic stem cells Knockout GSE71943 down	121/498	5.56943080806006e-113	3.625699456047098e-110	0	0	15.329456627772922	3962.278583160985	EIF4A1;RPL30;RPL32;RPL31;RPL34;BCCIP;RPL9;RPL6;RPL7;RPS15;GCSH;EEF1B2;FBL;RPS17;PSMD7;RPS16;RPS19;RUVBL1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EBNA1BP2;DKC1;NCL;HAT1;NHP2;RPL27;SNRPE;RPL26;FKBP4;PPID;SNRPB;SET;PSMD14;MRPL12;OAZ1;ADH5;MRPL20;PCBP1;G3BP1;BRIX1;LYAR;BTF3;NOP16;CBX3;HSPA4;ALYREF;LSM3;LSM6;OSTC;ANP32E;RPS21;RSL24D1;CLTA;HMGB1;YBX1;ATP5G3;COX7C;HINT1;C1QBP;BCAS2;CCT3;EIF5B;NUDC;GLRX3;BUD31;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;RPL37A;PCNA;RPL10;RPL11;POMP;SRSF1;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;RPS3;RPL13;SNRPB2;CCT8;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;SMARCE1;NOP56;RANBP1;DUT;NPM1;NOP58;SSB;RPL23A;HSPE1;NPM3;HNRNPAB;NUDT21;PSMC5;EIF3M;EIF3K;PSMC4;RPL22L1;EIF3F
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	Irf4 CD8+ T cells knockout GSE49929 up	118/498	1.6451612289154727e-108	7.139999733493149e-106	0	0	14.94938745518351	3710.159185003528	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;PSMD7;SNRPD2;RPS19;RPL38;RPS11;RPS13;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EBNA1BP2;KARS;DKC1;PSME3;NCL;NHP2;RPL26;SNRPF;SRSF6;FKBP4;RPL28;PPID;KPNB1;SNRPB;SET;RPN1;NOP2;ATP5J;MRPL12;OAZ1;ATP5B;PCBP1;G3BP1;LYAR;BTF3;HSPA4;RCC2;ALYREF;EIF2S2;LSM3;NASP;UQCRQ;ARPC3;RPS21;NOP10;YWHAE;HSP90AB1;RPLP0;HMGB1;YBX1;ATP5G3;PRPF19;COX7C;TRMT112;HINT1;C1QBP;RPLP2;CCT3;EIF5B;NUDC;HSP90AA1;EEF1G;PSMA6;PSMA3;PSMA4;PSMA1;RPL37A;LUC7L3;SLC25A5;PCNA;DDX27;RPL11;POMP;SRSF1;UQCR10;PSMB7;PSMB4;RPS15A;MAT2A;RPS3;CCT8;RBBP7;RPS27A;CCT7;RPL19;CCT4;ABCF1;POLR2L;NOP56;RANBP1;DUT;NPM1;NOP58;SSB;RPL23A;HSPE1;HNRNPAB;MYBBP1A;PSMC4;TARDBP;TOMM5
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	Cyclophosphamide B16F10 tumors in C57BL-6 mice GSE71491 down	110/495	3.276005607499539e-97	1.0663398252411004e-94	0	0	14.020329477742727	3114.8142887170293	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;NUCKS1;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;RPS17;RPS16;RPS19;ARHGDIA;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPS6;SARS;SND1;HNRNPUL1;NCL;RPL27;RPL26;SRSF6;FKBP4;RPL28;KPNB1;SF1;SNRPB;KHDRBS1;VCP;SET;RPN1;OAZ1;ATP5B;PCBP1;G3BP1;BTF3;CBX5;CBX3;HSPA4;RCC2;ALYREF;NONO;IDH2;EIF2S2;ANP32E;RPS21;YWHAE;HSP90AB1;MCM7;RPLP0;HMGB1;YBX1;ATP5G3;PTBP1;HINT1;TMED2;RPLP2;CCT3;HSP90AA1;PARP1;RAD23B;EEF1G;PSMA3;CANX;RPL37A;MCM3;MCM5;MCM6;SLC25A5;MCM2;PCNA;RPL10;RPL12;RPL11;ATP5A1;SRSF1;RPS15A;RBBP4;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;RANBP1;NPM1;NOP58;RRM1;SSB;TAF15;RRM2;RPA1;RPL23A;HSPE1;HNRNPAB;MYBBP1A;TARDBP
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	5-Azacytidine JJN3 24hr-10nM GSE56623 up	110/497	5.293583693503624e-97	1.3784491937883435e-94	0	0	13.963909640810163	3095.578955281741	EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL6;RPL7;PSMD8;RPS15;RPS17;RPS16;RPS19;ARHGDIA;BSG;PSMD3;RPL38;RPS11;RPS13;RPS8;RPL23;ILF2;KARS;HNRNPUL1;PSME3;NCL;RPL27;SNRPE;RPL26;SRSF6;FKBP4;KPNB1;SF1;SNRPB;KHDRBS1;VCP;SET;UQCRB;AK2;OAZ1;ATP5B;PCBP1;API5;CBX3;HSPA4;RCC2;ALYREF;NONO;UCK2;UBA1;YWHAE;HSP90AB1;MCM7;RPLP0;HMGB1;YBX1;PRPF19;COX7C;PTBP1;HINT1;C1QBP;RPLP2;CCT3;HSP90AA1;PARP1;KIF22;BAZ1B;SMC1A;PSMA5;PSMA6;PSMA4;RPL37A;MCM3;MCM5;MCM6;MCM2;SF3B4;PCNA;DDX27;RPL12;RPL11;ATP5A1;SRSF1;TYMS;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;ABCF2;RPL19;CCT4;ABCF1;NOP56;NPM1;RPL23A;HSPE1;PSMC5;MYBBP1A;PSMC4;EIF3I;TOMM6
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	LNC277 A673 knockdown GSE60949 down	110/498	6.723255529234274e-97	1.4589464498438371e-94	0	0	13.935869661611747	3086.031186986258	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL9;BZW1;RPL6;RPL7;RPS15;FBL;RPS17;RPS16;SNRPD2;RPS19;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;TUFM;KARS;NCL;RPL27;RPL26;SRSF6;RPL28;SET;NDUFB10;UQCRB;ATP5H;MRPL12;OAZ1;MRPL20;ATP5B;IVNS1ABP;CBX5;ALYREF;NONO;SMARCA4;NASP;UQCRQ;UBA1;RPS21;YWHAE;HSP90AB1;MCM7;COX4I1;RPLP0;HMGB1;YBX1;COX7C;LMNB2;PTBP1;HINT1;C1QBP;NUP62;RPLP2;HSP90AA1;PARP1;KIF22;SMC1A;EEF1G;PSMA4;DAD1;RPL37A;MCM3;MCM5;AHCY;PCNA;RPL10;HDAC1;RPL12;RPL11;ATP5A1;SRSF1;TYMS;PSMB6;PSMB4;RPS15A;MAT2A;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;POLR2L;NOP56;RANBP1;GINS2;DUT;NPM1;RRM2;RPL23A;HSPE1;HNRNPAB;MYBBP1A;PSMC4;NDUFAB1;TOMM6
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	Doxycycline T-ALL cells 600 mg-kg 3 days GSE54447 down	108/498	4.5624610499807567e-94	8.486177552964206e-92	0	0	13.682490213218806	2940.7110775508763	EIF4A1;RPL30;RPL32;RPL31;RPL9;BZW1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;RPS16;RPS19;PSMD3;RUVBL1;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;KARS;MSH2;DKC1;NCL;RPL26;FKBP4;RPL28;PPID;KPNB1;SNRPB;SET;NOP2;CDCA7;ATP5B;PCBP1;G3BP1;LYAR;BTF3;CBX5;HSPA4;RCC2;IDH2;EIF2S2;UCK2;ANP32E;RPS21;YWHAE;HSP90AB1;MCM7;RPLP0;HMGB1;YBX1;PRPF19;LMNB2;PTBP1;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;HSP90AA1;PARP1;GLRX3;BAZ1B;RAD23B;EEF1G;CANX;MCM3;MCM5;MCM6;SLC25A5;MCM2;PCNA;RPL10;RPL11;ATP5A1;SRSF1;RPS15A;MAT2A;POLD1;RPS3;EIF4H;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;ABCF2;RPL19;CCT4;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;RPL23A;HSPE1;MYBBP1A;EIF3I;TARDBP
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	UTX Bone marrow Knockout GSE56690 down	107/498	1.1593251613284382e-92	1.886801700062034e-90	0	0	13.555800489022335	2869.627276430552	RPL5;EIF4A1;RPL30;RPL32;RPL31;NUCKS1;RPL9;BZW1;RPL6;RPL7;PSMD8;RPS15;EEF1B2;FBL;RPS17;RPS16;RPS19;ARHGDIA;PSMD3;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;HNRNPUL1;PSME3;NCL;UQCRC1;RPL27;SNRPE;RPL26;RPL28;KPNB1;SF1;VCP;SET;RPN1;ATP5H;OAZ1;ATP5B;PCBP1;BTF3;CBX3;RCC2;NONO;H13;EIF2S2;ARPC3;ANP32E;UBA1;RPS21;YWHAE;HSP90AB1;MCM7;COX4I1;RPLP0;HMGB1;YBX1;ATP5G3;PTBP1;HINT1;TMED2;RPLP2;CCT3;NUDC;HSP90AA1;EEF1G;PSMA4;CANX;RPL37A;SLC25A5;PCNA;RPL10;RPL12;RPL11;ATP5A1;RPS15A;RBBP4;PSMB3;RPS3;EIF4H;RPL13;CCT8;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;SMARCE1;RANBP1;DUT;NPM1;NOP58;RRM1;SSB;RPL23A;HNRNPAB;EIF3M;MYBBP1A;EIF3K;EIF3I;EIF3F
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	FBXL10 Female - Whole embryo Ablation GSE76552 down	106/496	1.8330240611391475e-91	2.6517748084479664e-89	0	0	13.483260405006616	2817.047839486427	EIF4A1;RPL30;NUCKS1;BZW1;RPL6;RPL7;RPS17;PSMD7;RCC1;DENR;DDX18;RPL21;RPS6;ILF2;EBNA1BP2;DKC1;PSME3;NCL;HAT1;NHP2;SNRPE;UQCRC2;SRSF6;FKBP4;PPID;KPNB1;SNRPB;SLBP;VCP;SET;PSMD14;PSMD13;MRPL12;OAZ1;MRPL20;LYAR;BTF3;IVNS1ABP;CBX5;API5;CBX3;HSPA4;ALYREF;NONO;EIF2S2;LSM3;NASP;ANP32E;UBA2;CALM3;YWHAE;HMGB3;HMGB1;YBX1;ATP5G3;PRPF19;HINT1;SKP1A;CCT3;NUDC;HSP90AA1;GLRX3;BUD31;ACTL6A;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;MCM5;MCM6;SLC25A5;PCNA;POMP;ATP5A1;SRSF1;TYMS;PSMB6;PSMB7;RBBP4;MAT2A;PSMB3;EIF4H;SNRPB2;CCT8;RBBP7;RPS27A;CCT7;CCT4;SF3A3;SMARCE1;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;SSB;RRM2;HSPE1;HNRNPAB;PSMC5;EIF3M;TCEA1;TARDBP;MAD2L1
RNA-Seq_Disease_Gene_and_Drug_Signatures_from_GEO	Panobinostat + 5-Azacytidine JJN3 24hr-10nM GSE56623 down	106/497	2.3051053700203745e-91	3.0012471917665273e-89	0	0	13.456131108417065	2808.296137681387	EIF4A1;RPL30;RPL34;NUCKS1;RPL6;PSMD8;RPS15;EEF1B2;FBL;RPS17;CCND2;ARHGDIA;RUVBL1;RCC1;DDX18;RPL21;RPS8;RPS5;ILF2;TUFM;EBNA1BP2;KARS;DKC1;PSME3;NCL;NHP2;CCDC86;RPL27;SNRPE;UQCRC2;FKBP4;KPNB1;SNRPB;SET;PSMD11;RPN1;AK2;MRPL12;MRPL20;ATP5B;BRIX1;LYAR;BTF3;NOP16;RCC2;ALYREF;EIF2S2;UCK2;NASP;SRPRB;UBA2;RPS21;YWHAE;HSP90AB1;MCM7;HMGB1;YBX1;ATP5G3;PRPF19;LMNB2;PTBP1;HINT1;C1QBP;RPLP2;CCT3;NUDC;PARP1;DDOST;PSMA5;CANX;MCM3;MCM5;MCM6;SLC25A5;MCM2;AHCY;PCNA;RPL10;ATP5A1;SRSF1;TYMS;PSMB6;PSMB3;PES1;CCT8;RPS27A;CCT7;ABCF2;RPL19;SF3A3;NOP56;RANBP1;DUT;NPM1;NOP58;RRM1;HSPE1;NPM3;HNRNPAB;MYBBP1A;EIF3I;NDUFAB1;POLE3;TOMM5;TOMM6;MAD2L1
