Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Rare_Diseases_AutoRIF_Gene_Lists	Diamond-Blackfan anemia	36/275	1.212830124571194e-22	4.517792214027697e-19	0	0	8.259248637797535	416.7940251151733	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPL18;RPS27A;RPS13;RPL19;RPL21;GPX4;RPL23;RPL22;RPS6;RPL23A;DKC1;RPL27;RPL26;RPS21
Rare_Diseases_AutoRIF_Gene_Lists	Pure red cell aplasia	21/125	6.615604548581632e-16	1.232156347173329e-12	0	0	10.599369085173505	370.4684095308218	RPL5;RPL10;RPL31;RPL22;RPS6;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;DKC1;RPLP2;RPL13;RPL27;RPL26;RPS2;RPS27A
Rare_Diseases_AutoRIF_Gene_Lists	Xeroderma pigmentosum	10/101	4.665604900772984e-06	0.0057931260851264545	0	0	6.246681450479432	76.6798454831305	RRM1;PCNA;SSB;RAD51;LIG1;MSH2;PARP1;RPA1;HMGB1;RAD23B
Rare_Diseases_AutoRIF_Gene_Lists	Cockayne syndrome	9/104	4.140186401096028e-05	0.03855548586020677	0	0	5.459839844697889	55.10171189246858	VCP;RRM1;PSMC5;PCNA;RAD51;MSH2;PARP1;RPA1;RAD23B
Rare_Diseases_AutoRIF_Gene_Lists	5q- syndrome	11/163	6.027011282092511e-05	0.0449012340515892	0	0	4.257707418087516	41.370755899442955	RPL5;RPS17;NPM1;PCNA;RPS19;RPL23;RPL22;RPS6;G3BP1;RPL11;RPL26
Rare_Diseases_AutoRIF_Gene_Lists	Werner's syndrome	10/138	7.171745202471677e-05	0.04452458479867833	0	0	4.571846568829152	43.628109708606225	VCP;PCNA;SSB;RAD51;MSH2;PARP1;NCL;POLD1;RPA1;SMC1A
Rare_Diseases_AutoRIF_Gene_Lists	Mitochondrial complex III deficiency	4/15	7.363057652817642e-05	0.03918198536677959	0	0	16.824395373291274	160.10852032038096	UQCRB;UQCRQ;UQCRFS1;UQCRC2
Rare_Diseases_AutoRIF_Gene_Lists	Atypical lipodystrophy	6/47	9.395376168118531e-05	0.04374722028280191	0	0	8.054231827639441	74.6845382406118	PSMB4;PSMA3;PCNA;POLD1;POMP;HMGB1
Rare_Diseases_AutoRIF_Gene_Lists	Hoyeraal Hreidarsson syndrome	5/31	0.00011739425060216258	0.04858817594367285	0	0	10.176045588684238	92.09293400319343	PCNA;PARP1;DKC1;NHP2;NOP10
Rare_Diseases_AutoRIF_Gene_Lists	Burn-Mckeown syndrome	3/7	0.00013168215549205306	0.049051602920789764	0	0	27.0392068499324	241.5985430915206	SF3B4;SNRPF;SNRPB
Rare_Diseases_AutoRIF_Gene_Lists	Hoyeraal syndrome	5/32	0.00013734124937943745	0.046508741267127666	0	0	9.858044164037857	87.66799938714148	PCNA;PARP1;DKC1;NHP2;NOP10
Rare_Diseases_AutoRIF_Gene_Lists	Aplastic anemia	8/100	0.0001917556683988914	0.05952415539882255	0	0	5.047318611987381	43.201456437862646	RPL5;RPS17;PCNA;RAD51;RPS19;DKC1;RPL11;USP1
Rare_Diseases_AutoRIF_Gene_Lists	Bloom syndrome	8/103	0.00023518134068967046	0.06738849954377095	0	0	4.900309332026584	40.94283754317756	PCNA;SSB;RAD51;LIG1;MSH2;PARP1;RPA1;SARS
