Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Rare_Diseases_GeneRIF_Gene_Lists	Congenital aplastic anemia	15/156	2.8990561892926926e-08	6.505482088772801e-05	0	0	6.066488716330987	105.2917708802412	HSP90AA1;NPM1;PCNA;LIG1;PARP1;RPA1;RPA2;RAD23B;SMARCA4;RAD51;MSH2;DKC1;POLD1;RPA3;USP1
Rare_Diseases_GeneRIF_Gene_Lists	Diamond-Blackfan anemia	9/48	5.4920199083615366e-08	6.162046337181643e-05	0	0	11.829652996845427	197.76085920045455	RPL5;RPS17;RPS16;RPS15A;RPS19;RPL31;RPL11;RPL27;RPL26
Rare_Diseases_GeneRIF_Gene_Lists	Fanconi anemia	14/153	1.57015870896824e-07	0.00011744787143082434	0	0	5.7730768437764155	90.44632699313152	HSP90AA1;NPM1;PCNA;LIG1;PARP1;RPA1;RPA2;RAD23B;SMARCA4;RAD51;MSH2;POLD1;RPA3;USP1
Rare_Diseases_GeneRIF_Gene_Lists	Pure red cell aplasia	9/55	1.8891407228912338e-07	0.00010598079455419825	0	0	10.324060797246917	159.83683639021982	RPL5;RPS17;RPS16;RPS15A;RPS19;RPL31;RPL11;RPL27;RPL26
Rare_Diseases_GeneRIF_Gene_Lists	Aplastic anemia	13/134	2.211891725922472e-07	9.926970065940054e-05	0	0	6.120815480954847	93.79689143600216	RPL5;NPM1;PARP1;RPL11;RPA1;RPA2;RPS17;RAD51;RPS19;DKC1;NHP2;USP1;NOP10
Rare_Diseases_GeneRIF_Gene_Lists	5q- syndrome	7/31	4.4611331102282935e-07	0.0001668463783225381	0	0	14.246463824157932	208.3216647933953	RPL5;RPS17;NPM1;PCNA;RPS19;RPL11;RPL22
Rare_Diseases_GeneRIF_Gene_Lists	Mitochondrial complex III deficiency	4/7	2.08746313102095e-06	0.0006691810380015734	0	0	36.05227579990987	471.5479420338439	UQCRB;UQCRQ;UQCRFS1;UQCRC2
Rare_Diseases_GeneRIF_Gene_Lists	Xeroderma pigmentosum	11/120	3.33609206216104e-06	0.0009357738234361717	0	0	5.7833859095688736	72.93260528393925	RRM1;PCNA;RRM2;RAD51;MSH2;PARP1;RPA1;CD3EAP;HMGB1;TYMS;RAD23B
Rare_Diseases_GeneRIF_Gene_Lists	Coenzyme Q cytochrome c reductase deficiency of	7/46	7.407109169762799e-06	0.0018468392196608577	0	0	9.600877794541217	113.4158445236482	UQCRB;NDUFB11;UQCRQ;COX4I1;C1QBP;UQCRFS1;UQCRC2
Rare_Diseases_GeneRIF_Gene_Lists	Meier-Gorlin syndrome	4/12	2.772501968427149e-05	0.006221494417150523	0	0	21.030494216614088	220.6766627706699	ORC4;MCM7;MCM5;MCM2
Rare_Diseases_GeneRIF_Gene_Lists	Werner's syndrome	10/137	6.745142818585104e-05	0.013760091349913609	0	0	4.605217711667319	44.228984326331855	VCP;PCNA;RAD51;MSH2;PARP1;HDAC1;NCL;POLD1;RPA1;PRPF19
Rare_Diseases_GeneRIF_Gene_Lists	Endometrial stromal sarcoma	6/47	9.395376168118531e-05	0.017569353434381655	0	0	8.054231827639441	74.6845382406118	YWHAE;CCND2;MEAF6;MSH2;RPS6;SMARCA4
Rare_Diseases_GeneRIF_Gene_Lists	Dyskeratosis congenita autosomal recessive	3/8	0.00020821847630148984	0.035941712370811014	0	0	23.659305993690854	200.55810716115468	DKC1;NHP2;NOP10
Rare_Diseases_GeneRIF_Gene_Lists	Gata1 Gene	12/237	0.00042270589252201116	0.06775371591567092	0	0	3.1945054506249253	24.817582271420978	SET;CCND2;RPS19;KDM1A;GPX4;HSPA4;HDAC1;IDH2;HMGB3;RPL27;YBX1;SMARCA4
Rare_Diseases_GeneRIF_Gene_Lists	Dyskeratosis congenita X-linked	3/10	0.0004357809620391815	0.06519283192106155	0	0	18.927444794952677	146.46758652671463	DKC1;RUVBL1;NOP10
Rare_Diseases_GeneRIF_Gene_Lists	Nerve sheath neoplasm	13/294	0.0008820524879080847	0.12370786142910888	0	0	2.7897594368977883	19.6211006496207	SMARCE1;VCP;HSP90AA1;PCNA;PARP1;KDM1A;LIG1;IDH2;RAD23B;RAD51;MSH2;BSG;KPNB1
Rare_Diseases_GeneRIF_Gene_Lists	Ataxia-telangiectasia	8/131	0.0011691698605757288	0.15433042159599622	0	0	3.852914970982734	26.012806329865306	PCNA;RRM2;RAD51;MSH2;PARP1;RPA1;RPA2;SMC1A
Rare_Diseases_GeneRIF_Gene_Lists	Spinal shock	5/51	0.001253360265044032	0.15625224637548932	0	0	6.185439475474732	41.33065579521409	HSP90AA1;VCP;HSPA4;FKBP4;HSPE1
Rare_Diseases_GeneRIF_Gene_Lists	Borjeson-Forssman-Lehmann syndrome	3/14	0.0012610897120060695	0.14894133230219056	0	0	13.5196034249662	90.25388572764645	SMARCE1;RBBP4;SMARCA4
Rare_Diseases_GeneRIF_Gene_Lists	Glycine N-methyltransferase deficiency	2/5	0.0024264097918535394	0.2722431786459671	0	0	25.236593059936908	151.95817201388263	AHCY;MAT2A
Rare_Diseases_GeneRIF_Gene_Lists	Cockayne syndrome	5/60	0.002595776641129568	0.2773772753664167	0	0	5.257623554153524	31.303204644944426	VCP;PCNA;PARP1;POLD1;TCEA1
Rare_Diseases_GeneRIF_Gene_Lists	Turcot syndrome	3/18	0.0026974632863467412	0.2751412552073676	0	0	10.515247108307047	62.202349854637696	MSH2;POLD1;SMARCA4
Rare_Diseases_GeneRIF_Gene_Lists	Rabies	4/37	0.0027082505043193685	0.26423104920402884	0	0	6.820700827009977	40.32024842985869	HSPA4;NCL;HMGB1;RPL9
Rare_Diseases_GeneRIF_Gene_Lists	Bloom syndrome	7/118	0.002768927392625766	0.2588947112105092	0	0	3.7427150724482714	22.04195412316885	HSP90AA1;RAD51;MSH2;PARP1;POLD1;RPA1;KPNB1
Rare_Diseases_GeneRIF_Gene_Lists	Rothmund Thomson syndrome	3/19	0.003165952491289155	0.2841758956181145	0	0	9.961813049975095	57.33323583143786	PARP1;MCM7;MCM2
Rare_Diseases_GeneRIF_Gene_Lists	Dyskeratosis congenita autosomal dominant	2/6	0.0036015505938098366	0.31084152048112595	0	0	21.030494216614088	118.32577930075266	DKC1;NOP10
Rare_Diseases_GeneRIF_Gene_Lists	Liver cancer	13/349	0.003965383854052672	0.32956745809237764	0	0	2.3501125342348126	12.996480983734982	SF3B4;HSP90AA1;SET;MCM7;RPA1;AK2;TACSTD2;HMGB1;YBX1;TYMS;MSH2;MAT2A;WLS
