Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2015	Translation	52/146	1.2397344963742748e-56	1.7219912154638678e-53	0	0	22.470939025971216	2892.6810139033532	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;RPLP0;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;EIF5B;RPL21;SSR4;RPS8;RPL23;RPS5;RPL22;RPS6;DDOST;EEF1G;RPL37A;RPL27;RPL26;RPL28;RPL10;RPL12;RPN1;RPL11;RPS15A;RPS3;EIF4H;RPL13;RPS2;RPL18;RPS27A;RPL19;RPL23A;EIF2S2;EIF3K;EIF3I;SRPRB;EIF3F;RPS21
Reactome_2015	GTP hydrolysis and joining of the 60S ribosomal subunit	46/105	3.447652272218725e-55	2.3943945030559043e-52	0	0	27.640078113264238	3466.189805822283	RPL5;EIF4A1;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;EIF4H;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;EIF5B;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EIF2S2;EIF3K;EIF3I;RPL37A;RPL27;RPL26;EIF3F;RPL28;RPS21
Reactome_2015	3' -UTR-mediated translational regulation	45/104	1.10576194810287e-53	5.119677819716288e-51	0	0	27.299199223489445	3328.7681314302645	RPL5;EIF4A1;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;EIF4H;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EIF2S2;EIF3K;EIF3I;RPL37A;RPL27;RPL26;EIF3F;RPL28;RPS21
Reactome_2015	L13a-mediated translational silencing of Ceruloplasmin expression	45/104	1.10576194810287e-53	3.8397583647872166e-51	0	0	27.299199223489445	3328.7681314302645	RPL5;EIF4A1;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;EIF4H;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EIF2S2;EIF3K;EIF3I;RPL37A;RPL27;RPL26;EIF3F;RPL28;RPS21
Reactome_2015	Cap-dependent Translation Initiation	46/112	1.4606577470395503e-53	4.057707221275871e-51	0	0	25.912573231185217	3152.475023550127	RPL5;EIF4A1;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;EIF4H;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;EIF5B;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EIF2S2;EIF3K;EIF3I;RPL37A;RPL27;RPL26;EIF3F;RPL28;RPS21
Reactome_2015	Eukaryotic Translation Initiation	46/112	1.4606577470395503e-53	3.381422684396559e-51	0	0	25.912573231185217	3152.475023550127	RPL5;EIF4A1;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;EIF4H;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;EIF5B;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EIF2S2;EIF3K;EIF3I;RPL37A;RPL27;RPL26;EIF3F;RPL28;RPS21
Reactome_2015	Formation of a pool of free 40S subunits	42/94	7.214054805589047e-51	1.431474589280455e-48	0	0	28.189811396738037	3254.677468052489	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EIF3K;EIF3I;RPL37A;RPL27;RPL26;EIF3F;RPL28;RPS21
Reactome_2015	Eukaryotic Translation Elongation	41/89	2.2777265184488824e-50	3.9547026676568715e-48	0	0	29.06461560273633	3322.2621845638264	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;EEF1G;RPL37A;RPL27;RPL26;RPL28;RPS21
Reactome_2015	SRP-dependent cotranslational protein targeting to membrane	43/107	1.4124198327085456e-49	2.1798346084801888e-47	0	0	25.354521064889887	2851.91114159324	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPN1;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;SSR4;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;DDOST;RPL37A;SRPRB;RPL27;RPL26;RPL28;RPS21
Reactome_2015	Viral mRNA Translation	39/84	4.181724924694167e-48	5.808415920400198e-46	0	0	29.29247408742677	3195.614439683537	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL26;RPL28;RPS21
