Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SILAC_Phosphoproteomics	down 10min EGF vs ctrl HeLa (Human) [17081983]	69/1102	2.73199886790051e-23	2.2948790490364285e-21	0	0	3.950374140507365	205.2394115199908	HSP90AB1;KDM1A;RPL31;RPLP0;HP1BP3;BCCIP;NUCKS1;YBX1;LMNB2;EEF1B2;PTBP1;BSG;RCC1;RPLP2;DENR;WLS;EIF5B;NUDC;HSP90AA1;LIG1;ACTL6A;CD3EAP;BAZ1B;RAD23B;SND1;PSMA5;EBNA1BP2;PSMA3;DKC1;NCL;CANX;MCM3;CCDC86;SF1;MCM2;KHDRBS1;SET;PCNA;MEAF6;HDAC1;NOP2;MAK16;UQCR10;PCBP1;G3BP1;RPS3;BRIX1;RPS27A;ABCF1;SF3A3;NOP56;RANBP1;NPM1;NOP58;SSB;NAA10;TAF12;CBX3;RCC2;NONO;RPL23A;EIF2S2;SMARCA4;BYSL;MYBBP1A;NASP;TCEA1;LSM14A;NOP10
SILAC_Phosphoproteomics	down 20min EGF vs ctrl HeLa (Human) [17081983]	63/1103	3.413086560678529e-19	1.4334963554849824e-17	0	0	3.603593297316468	153.23019143773087	HSP90AB1;KDM1A;RPL31;CDCA7L;RPLP0;HP1BP3;BCCIP;NUCKS1;YBX1;LMNB2;EEF1B2;PTBP1;BSG;RCC1;DENR;EIF5B;NUDC;HSP90AA1;LIG1;ACTL6A;CD3EAP;BAZ1B;RAD23B;SND1;PSMA3;DKC1;NCL;CANX;MCM3;CCDC86;LUC7L3;MCM2;KHDRBS1;SET;HDAC1;NOP2;MAK16;TACSTD2;UQCR10;PCBP1;G3BP1;RPS3;BRIX1;ABCF1;SF3A3;NOP56;RANBP1;NPM1;NOP58;SSB;NAA10;CBX3;RCC2;NONO;RPL23A;NPM3;EIF2S2;SMARCA4;BYSL;MYBBP1A;NASP;TCEA1;LSM14A
SILAC_Phosphoproteomics	down 0min EGF vs ctrl HeLa (Human) [17081983]	66/1243	1.8170457726758056e-18	5.0877281634922556e-17	0	0	3.349990229195165	136.8448218423272	HSP90AB1;KDM1A;RPLP0;HP1BP3;BCCIP;NUCKS1;YBX1;LMNB2;EEF1B2;PTBP1;BSG;RCC1;RPLP2;WLS;EIF5B;HSP90AA1;LIG1;ACTL6A;RPS6;CD3EAP;BAZ1B;RAD23B;SND1;PSMA5;EBNA1BP2;PSMA3;DKC1;NCL;CANX;MCM3;CCDC86;SF1;MCM2;KHDRBS1;PCNA;MEAF6;HDAC1;NOP2;MAK16;UQCR10;PCBP1;G3BP1;RPS3;BRIX1;RPS27A;ABCF1;SF3A3;NOP56;RANBP1;DUT;NPM1;NOP58;SSB;CBX3;RCC2;NONO;RPL23A;EIF2S2;SMARCA4;BYSL;MYBBP1A;NASP;POLE3;UBA1;LSM14A;NOP10
SILAC_Phosphoproteomics	down 1min EGF vs ctrl HeLa (Human) [17081983]	65/1209	1.851913820702396e-18	3.8890190234750305e-17	0	0	3.39201519622808	138.49703901444857	HSP90AB1;KDM1A;RPL31;CDCA7L;RPLP0;HP1BP3;BCCIP;NUCKS1;YBX1;LMNB2;EEF1B2;PTBP1;BSG;RCC1;DENR;WLS;EIF5B;NUDC;HSP90AA1;LIG1;ACTL6A;RPS6;CD3EAP;BAZ1B;RAD23B;SND1;PSMA3;DKC1;NCL;CANX;MCM3;CCDC86;MCM2;SLBP;KHDRBS1;SET;HDAC1;NOP2;MAK16;UQCR10;PCBP1;G3BP1;RPS3;BRIX1;ABCF1;SF3A3;MBD3;NOP56;RANBP1;NPM1;NOP58;SSB;CBX3;RCC2;NONO;RPL23A;NPM3;EIF2S2;SMARCA4;BYSL;MYBBP1A;NASP;POLE3;TCEA1;LSM14A
SILAC_Phosphoproteomics	up 0min EGF vs ctrl HeLa (Human) [17081983]	49/876	1.216257457903333e-14	2.0433125292776e-13	0	0	3.529089782924967	113.07349350799863	HSP90AB1;RPL31;RPLP0;BCCIP;NUCKS1;YBX1;EEF1B2;RCC1;DENR;EIF5B;NUDC;HSP90AA1;LIG1;CD3EAP;BAZ1B;RAD23B;PSMA3;HNRNPUL1;DKC1;NCL;CANX;HAT1;MCM3;CCDC86;LUC7L3;SF1;MCM2;SLBP;SET;NOP2;MAK16;PCBP1;G3BP1;RPS3;ABCF1;NOP56;NPM1;NOP58;SSB;NAA10;TAF12;CBX3;RCC2;RPL23A;EIF2S2;MYBBP1A;NASP;TCEA1;LSM14A
SILAC_Phosphoproteomics	down 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	51/958	2.299694681304316e-14	3.2195725538260425e-13	0	0	3.3587323748872184	105.47566642437671	HSP90AB1;KDM1A;RPL31;NUCKS1;YBX1;EEF1B2;RPS17;RPLP2;EIF5B;HSP90AA1;LIG1;RPS6;CD3EAP;BAZ1B;PSMA3;DKC1;NCL;CANX;MCM3;CCDC86;MCM6;SF1;MCM2;SET;HDAC1;SRSF1;NOP2;MAK16;PMF1;PCBP1;G3BP1;RBBP7;ABCF1;NOP56;RANBP1;NPM1;NOP58;CBX5;RRM2;API5;CBX3;RPL23A;EIF2S2;SMARCA4;BYSL;UCK2;MYBBP1A;NASP;TCEA1;UBA1;LSM14A
SILAC_Phosphoproteomics	up 20min EGF vs ctrl HeLa (Human) [17081983]	50/948	6.129366065565806e-14	7.355239278678967e-13	0	0	3.327609844400964	101.236206965337	HSP90AB1;NUCKS1;YBX1;LMNB2;EEF1B2;BSG;RPS13;WLS;EIF5B;HSP90AA1;LIG1;RPS6;CD3EAP;BAZ1B;RAD23B;DKC1;NCL;CANX;HAT1;MCM3;CCDC86;SF1;MCM2;SLBP;KHDRBS1;HDAC1;PCBP1;G3BP1;RPS3;RPL13;ABCF1;SF3A3;MBD3;IVNS1ABP;NOP56;DUT;NPM1;NOP58;SSB;CBX5;CBX3;RCC2;RPL23A;EIF2S2;BYSL;MYBBP1A;NASP;POLE3;TCEA1;LSM14A
SILAC_Phosphoproteomics	up 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	54/1098	9.054847101452376e-14	9.507589456524997e-13	0	0	3.1028598024512597	93.1878505339875	YWHAE;RPL30;HSP90AB1;KDM1A;PITPNB;HP1BP3;NUCKS1;YBX1;RPL6;RPL7;FBL;RPS17;ARHGDIA;BSG;RPLP2;HELLS;EIF5B;NUDC;HSP90AA1;DKC1;NCL;MCM3;MCM6;MCM2;SET;PSMD11;DDX27;NOP2;MYG1;PCBP1;G3BP1;RPS3;EIF4H;RPL13;CCT8;RPS2;ABCF1;MBD3;IVNS1ABP;NOP56;GINS2;NPM1;SSB;CBX5;CBX3;HSPA4;NPM3;EIF2S2;HNRNPAB;SMARCA4;MYBBP1A;NASP;UBA2;UBA1
SILAC_Phosphoproteomics	up 10min EGF vs ctrl HeLa (Human) [17081983]	51/1038	5.100637365092646e-13	4.7605948740864695e-12	0	0	3.09987053481884	87.7394817670549	HSP90AB1;KDM1A;RPLP0;NUCKS1;YBX1;LMNB2;EEF1B2;PTBP1;DENR;EIF5B;NUDC;HSP90AA1;LIG1;RPS6;CD3EAP;BAZ1B;RAD23B;HNRNPUL1;DKC1;NCL;CANX;MCM3;CCDC86;LUC7L3;SF1;MCM2;SLBP;KHDRBS1;SET;HDAC1;NOP2;PCBP1;G3BP1;RPS3;ABCF1;NOP56;DUT;NPM1;NOP58;SSB;CBX3;RCC2;NONO;RPL23A;EIF2S2;MYBBP1A;NASP;POLE3;TCEA1;UBA1;LSM14A
SILAC_Phosphoproteomics	down metaphase anaphase telophase 60min noscapine release vs ctrl HeLa (Human) [19691289]	33/517	1.1732511283002642e-11	9.85530947772222e-11	0	0	4.027115913819721	101.35710068684368	RPL30;SET;DDX27;HDAC1;RPL34;HP1BP3;PMF1;LMNB2;PES1;RPL13;SURF6;RPLP2;RPL18;RPS13;RPL19;NPM1;CBX5;PARP1;RPS5;KIF22;BAZ1B;SMC1A;SMARCA4;EBNA1BP2;MYBBP1A;DKC1;NCL;CANX;CCDC86;RPL26;SLC25A5;RPL28;MCM2
