Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TF_Perturbations_Followed_by_Expression	EZH2 SHRNA PROE HUMAN GSE59089 RNASEQ DOWN	83/251	3.9276282742212795e-88	7.690296160925266e-85	0	0	20.86292055751756	4198.859967545276	YWHAE;RPL5;EIF4A1;RPL30;HSP90AB1;RPL32;MCM7;RPL31;RPL34;RPLP0;HNRNPR;NUCKS1;HMGB1;YBX1;RPL9;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;RPS19;C1QBP;RPLP2;RPL38;RPS11;RPS13;CCT3;NUDC;HSP90AA1;RPL21;PARP1;RPS8;RPL23;RPS5;RPS6;SMC1A;ILF2;TUFM;EEF1G;KARS;NCL;RPL37A;RPL27;SNRPE;RPL26;FKBP4;RPL28;SNRPB;SET;RPL12;RPL11;SRSF1;AK2;TYMS;RPS15A;RPS3;EIF4H;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;RANBP1;NPM1;TAF15;CBX3;NONO;RPL23A;HSPE1;HNRNPAB;EIF3M;NASP;EIF3I;CALM3;RPS21;RSL24D1;GSTM5;TOMM6
TF_Perturbations_Followed_by_Expression	GATA3 OE MOUSE GSE12999 CREEDSID GENE 2531 DOWN	97/514	1.2928310401751928e-77	1.2656815883315138e-74	0	0	11.906369293841829	2107.9300250371093	RPL5;EIF4A1;RPL32;RPL34;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS17;SNRPD2;RPS19;ARHGDIA;BSG;RPL38;RPS11;GOLGA7;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;HNRNPUL1;NCL;NHP2;RPL27;SNRPE;RPL26;UQCRC2;RPL28;PPID;SNRPB;VCP;SET;UQCRB;PSMD14;NDUFB11;OAZ1;PCBP1;BTF3;NONO;EIF2S2;ARPC3;UBA2;RPS21;YWHAE;HSP90AB1;COX4I1;RPLP0;HINT1;C1QBP;RPLP2;HSP90AA1;GPX4;GLRX3;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;RPL37A;SLC25A5;AHCY;PCNA;RPL10;NDUFB6;HDAC1;RPL12;RPL11;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;RANBP1;NPM1;RPL23A;HSPE1;HNRNPAB;EIF3K;EIF3I;RPL22L1;EIF3F;TOMM6
TF_Perturbations_Followed_by_Expression	CDX2 KO MOUSE GSE12999 CREEDSID GENE 773 UP	96/507	6.602406055350057e-77	4.309170352125137e-74	0	0	11.946316241390251	2095.5226613298705	YWHAE;RPL5;EIF4A1;HSP90AB1;RPL32;RPL34;COX4I1;RPLP0;HMGB1;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS17;HINT1;SNRPD2;C1QBP;BSG;RPLP2;RPL38;RPS11;GOLGA7;RPS13;HSP90AA1;RPL21;GPX4;GLRX3;RPS8;RPL23;RPS5;RPL22;PSMA5;EEF1G;PSMA6;PSMA3;PSMA4;HNRNPUL1;NCL;RPL37A;NHP2;RPL27;SNRPE;RPL26;UQCRC2;SLC25A5;RPL28;PPID;SNRPB;VCP;SET;AHCY;PCNA;RPL10;UQCRB;PSMD14;NDUFB6;NDUFB11;HDAC1;RPL12;RPL11;OAZ1;TMEM165;PSMB6;PSMB7;PSMB4;RPS15A;RBBP4;PCBP1;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;CCT4;POLR2L;BTF3;RANBP1;NPM1;NONO;RPL23A;HSPE1;EIF2S2;HNRNPAB;EIF3K;ARPC3;EIF3I;UBA2;RPL22L1;EIF3F;RPS21;TOMM6
TF_Perturbations_Followed_by_Expression	MYC OE U2OS HUMAN GSE59819 RNASEQ DOWN	87/383	1.3616312827844209e-76	6.665185129229741e-74	0	0	14.331485614977225	2503.535457975672	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;HMGB1;YBX1;PRPF19;COX7C;RPL6;LMNB2;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;RPS19;PSMD3;RCC1;RPLP2;RPL38;RPS11;RPS13;CCT3;EIF5B;DDX18;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;SND1;PSMA5;EEF1G;PSMA6;PSMA4;KARS;PSMA1;DKC1;NCL;RPL37A;NHP2;RPL27;RPL26;FKBP4;SLC25A5;RPL28;THOP1;KPNB1;AHCY;PSMD14;RPL12;RPL11;AK2;MRPL12;TYMS;OAZ1;RPS15A;PES1;RPS3;EIF4H;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;NPM1;RRM2;HSPA4;HSPE1;DRAP1;EIF3M;UQCRQ;EIF3I;RPS21;RSL24D1;TOMM5
TF_Perturbations_Followed_by_Expression	MYC OE U2OS HUMAN GSE66789 RNASEQ DOWN	87/383	1.3616312827844209e-76	5.332148103383792e-74	0	0	14.331485614977225	2503.535457975672	RPL5;RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;HMGB1;YBX1;PRPF19;COX7C;RPL6;LMNB2;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;RPS16;RPS19;PSMD3;RCC1;RPLP2;RPL38;RPS11;RPS13;CCT3;EIF5B;DDX18;HSP90AA1;RPL21;GPX4;RPS8;RPL23;RPS5;RPL22;RPS6;ILF2;SND1;PSMA5;EEF1G;PSMA6;PSMA4;KARS;PSMA1;DKC1;NCL;RPL37A;NHP2;RPL27;RPL26;FKBP4;SLC25A5;RPL28;THOP1;KPNB1;AHCY;PSMD14;RPL12;RPL11;AK2;MRPL12;TYMS;OAZ1;RPS15A;PES1;RPS3;EIF4H;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;NPM1;RRM2;HSPA4;HSPE1;DRAP1;EIF3M;UQCRQ;EIF3I;RPS21;RSL24D1;TOMM5
TF_Perturbations_Followed_by_Expression	RELA KD HUMAN GSE1676 CREEDSID GENE 1787 UP	88/433	5.751201737534593e-73	1.876808833682122e-70	0	0	12.822287466942539	2132.850359575257	EIF4A1;HSP90AB1;RPL32;COX4I1;CLTA;HMGB1;YBX1;PSMD8;RPS15;PTBP1;PSMD7;C1QBP;BSG;PSMD3;RUVBL1;TMED2;UQCRFS1;CCT3;NUDC;HSP90AA1;SSR4;PARP1;GPX4;HSBP1;DYNLT3;RPS6;NDUFC2;ILF2;DDOST;TUFM;PSMA3;PSMA4;KARS;DKC1;DAD1;UQCRC1;SUCLG1;SNRPE;UQCRC2;SNRPF;FKBP4;SLC25A5;SF1;SNRPB;SRSF9;MCM2;VCP;NDUFB8;AHCY;PCNA;PSMD11;PSMD14;NDUFB6;NDUFB11;SRSF1;AK2;UQCR10;OAZ1;HSD17B10;PSMB7;PSMB3;PCBP1;EIF4H;RPL13;CCT8;CCT7;CCT4;MBD3;NOP56;RANBP1;GINS2;UBE2I;CBX3;TBCB;HSPE1;EIF2S2;HNRNPAB;LSM3;PSMC5;EIF3K;PSMC4;UQCRQ;RPA3;EIF3I;NDUFAB1;POLE3;SRPRB;UBA1
TF_Perturbations_Followed_by_Expression	MYCN OE MOUSE GSE6077 CREEDSID GENE 40 UP	69/217	1.8775362440892947e-71	5.251737094181199e-69	0	0	20.061347017691787	3267.0622053999728	HSP90AB1;MCM7;RPL34;RPLP0;HMGB1;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;CCND2;SNRPD2;C1QBP;RPLP2;UQCRFS1;RPL38;RPS11;RPS13;HSP90AA1;RPL21;RPS8;RPS5;RPL22;EEF1G;PSMA4;NCL;RPL37A;NHP2;RPL27;SNRPE;UQCRC2;RPL26;RPL28;SNRPB;NDUFB8;SET;AHCY;PCNA;RPL10;RPL12;RPL11;MRPL12;RPS15A;RPS3;RPL13;RPS2;RBBP7;RPL18;RPS27A;RPL19;POLR2L;NOP56;RANBP1;NPM1;NOP58;RCC2;ALYREF;IDH2;RPL23A;HSPE1;NUDT21;MYBBP1A;EIF3I;RPL22L1;EIF3F;RPS21;NOP10
TF_Perturbations_Followed_by_Expression	MYC KD HUMAN GSE22139 CREEDSID GENE 712 DOWN	78/316	2.1584767182556523e-71	5.282871767930709e-69	0	0	15.573214071796512	2533.9821168610833	EIF4A1;RBM28;HSP90AB1;RPL32;MCM7;RPL34;CDCA7L;RPLP0;YBX1;COX7C;RPS15;EEF1B2;TRMT112;FBL;RPS17;RPS16;CCND2;SNRPD2;RPS19;C1QBP;RUVBL1;RPS13;CCT3;DDX18;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;EEF1G;EBNA1BP2;KARS;DKC1;NCL;NHP2;CCDC86;RPL27;SNRPF;SNRPB;SF3B5;AHCY;RPL12;RPL11;SRSF1;MAK16;MAT2A;RRS1;RPS3;EIF4H;RPL13;RPS2;RPL18;CCT7;LYAR;RPL19;NOP56;RANBP1;NPM1;DUT;NOP58;SSB;NOP16;RCC2;RPL23A;HSPE1;HNRNPAB;BYSL;UCK2;EIF3I;NDUFAB1;POLE3;RPL22L1;RPS21;RSL24D1;TOMM5;NOP10;TOMM6
TF_Perturbations_Followed_by_Expression	MYC KNOCKIN MOUSE GSE39443 CREEDSID GENE 1847 UP	78/323	1.4028546484640515e-70	3.0519882241029034e-68	0	0	15.2357140764325	2450.5495386351613	EIF4A1;HSP90AB1;RPL32;RPL31;RPL34;YBX1;PRPF19;RPL9;RPS15;EEF1B2;HINT1;RPS16;CCND2;SNRPD2;RPS19;C1QBP;NUP62;RPLP2;RPL38;RPS11;RPS13;CCT3;NUDC;SSR4;RPS8;RPL23;RPS5;RPS6;TUFM;PSMA5;EEF1G;PSMA4;PSME3;HAT1;NHP2;CCDC86;RPL27;RPL26;SNRPF;FKBP4;SLC25A5;RPL28;PPID;SNRPB;SRSF9;SF3B5;NDUFB8;RPL12;POMP;MAK16;CDCA7;UQCR10;MRPL12;PSMB6;PSMB4;PSMB3;G3BP1;RPS3;EIF4H;CCT8;RPS2;RPL18;RPS27A;CCT4;POLR2L;BTF3;IVNS1ABP;RANBP1;NPM1;NOP58;NAA10;ALYREF;HSPE1;NPM3;HNRNPAB;EIF3I;NDUFAB1;RPS21
TF_Perturbations_Followed_by_Expression	AIRE KO MOUSE GSE2515 CREEDSID GENE 60 DOWN	70/239	1.2101454703307158e-69	2.369464830907541e-67	0	0	18.478676926732046	2932.3374625755328	YWHAE;HSP90AB1;MCM7;RPL34;COX4I1;RPLP0;YBX1;RPL9;COX7C;RPL6;RPL7;RPS15;EEF1B2;FBL;RPS17;HINT1;SNRPD2;RCC1;RPLP2;RPS11;RPS13;HSP90AA1;RPL21;RPL23;RPS5;BUD31;RPL22;EEF1G;RPL37A;RPL27;SNRPE;UQCRC2;RPL26;MCM6;RPL28;SNRPB;MCM2;VCP;SET;PCNA;RPL10;NDUFB10;UQCRB;HDAC1;RPL11;CDCA7;PSMB6;RPS15A;RPS3;EIF4H;RPL13;RPS2;RBBP7;RPL18;RPS27A;CCT7;RPL19;RRM2;CBX3;NDUFA3;RPL23A;HSPE1;HNRNPAB;EIF3K;EIF3I;ANP32E;RPL22L1;EIF3F;RPS21;TOMM6
