Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TRANSFAC_and_JASPAR_PWMs	NRF1 (mouse)	60/1676	1.6784045502242014e-09	5.471598833730896e-07	0	0	2.258644963598172	45.63687501541477	RPL5;RPL30;KDM1A;COX4I1;HNRNPR;COX7C;RPS15;GCSH;RPS17;HINT1;RPS16;RPS19;PSMD3;NUP62;RPL38;DDX18;RPL21;SSR4;RPS8;ATPIF1;RAD23B;PSMA5;PSMA3;PSMA4;KARS;UQCRC1;NHP2;RPL27;ASF1B;SRSF9;KHDRBS1;RAB5C;PSMD14;HDAC1;POMP;SRSF1;ATP5J;PSMB6;RPS3;EIF4H;SNRPB2;RPS2;BTF3;SMARCE1;NPM1;CBX5;NDUFA5;TAF12;RPL23A;EIF2S2;SMARCA4;EIF3K;PSMC4;ARPC3;NDUFAB1;EIF3F;TARDBP;RPS21;TOMM5;GSTM5
TRANSFAC_and_JASPAR_PWMs	NR1H2 (human)	23/479	2.6839957569840226e-06	0.0004374913083883956	0	0	3.0294448871531783	38.86233677592842	CCT3;CBX5;RPL11;RPN1;RPLP0;IDH2;RPA2;NDUFC1;KIF22;TYMS;RPL9;PSMD8;ATP5B;HNRNPUL1;ARPC3;RPS3;LUC7L3;SNRPE;MCM5;MCM6;BCAS2;ASF1B;RPL19
TRANSFAC_and_JASPAR_PWMs	NR1H3 (human)	45/1385	3.482490922425636e-06	0.0003784306802369191	0	0	2.0499037684064274	25.762704196903478	SET;DDX27;MRPS36;RPL11;ATP5A1;RPN1;RPLP0;SRSF1;NOP2;BCCIP;TYMS;RPL9;RPL6;PSMD8;RPS15;GCSH;ATP5B;RPS19;RBBP4;RPS3;RPL13;TMED2;LYAR;BCAS2;RPL19;CCT3;RFC5;NUDC;NOP58;NAA10;RPA2;NDUFC1;KIF22;SMARCA4;LSM2;ARPC3;ANP32E;LUC7L3;UBA1;MCM5;MCM6;TARDBP;RPS21;KPNB1;SRSF9
TRANSFAC_and_JASPAR_PWMs	NR1I2 (human)	43/1387	1.8557718145543946e-05	0.0015124540288618314	0	0	1.955972425337576	21.309585659769265	RAB5C;UQCRB;MCM7;MRPS36;COX4I1;SRSF1;NOP2;BCCIP;TACSTD2;TYMS;OAZ1;PSMD8;RPS15;RBBP4;RPS3;SURF6;TMED2;RPS11;RPL19;SF3A3;MBD3;RFC5;HSP90AA1;NOP58;GPX4;NAA10;API5;RPA2;KIF22;LSM5;ILF2;SMARCA4;LSM2;RAD51;HNRNPUL1;CANX;LUC7L3;MCM5;MCM6;TARDBP;ASF1B;SF1;SRSF9
TRANSFAC_and_JASPAR_PWMs	HIF1A (human)	47/1586	2.306444757371545e-05	0.0015038019818062473	0	0	1.869671932246272	19.962895168216683	PRIM2;KHDRBS1;RBM28;AHCY;RPL10;MEAF6;RPL31;RPN1;SRSF1;OLA1;HNRNPR;RPS15;EEF1B2;PSMB7;ATP5B;RPS15A;RBBP4;BSG;RUVBL1;RPS3;RPL13;SURF6;TMED2;RPS11;RPS13;CCT4;SF3A3;MBD3;NOP58;CBX5;ATPIF1;RPS6;IDH2;SMARCA4;PSMA5;EIF3M;RAD51;KARS;HNRNPUL1;UQCRC1;NHP2;TCEA1;SNRPE;MCM6;TARDBP;KPNB1;MCM2
TRANSFAC_and_JASPAR_PWMs	CRX (human)	41/1362	5.74692510670047e-05	0.003122495974640589	0	0	1.8992296539232991	18.544573122994322	SET;AHCY;DDX27;RPL10;KDM1A;RPLP0;NOP2;AK2;TYMS;RPL6;LMNB2;ATP5B;PSMB4;BSG;RPL13;RCC1;TMED2;RPS11;CCT4;NPM1;NOP58;CBX5;GPX4;NAA10;RPS8;NDUFA3;ATPIF1;KIF22;BAZ1B;EIF2S2;ILF2;LSM2;RAD51;KARS;HAT1;UQCRC1;ANP32E;LUC7L3;UBA1;MCM5;THOP1
TRANSFAC_and_JASPAR_PWMs	RARA (human)	41/1379	7.557759223843848e-05	0.0035197564385329922	0	0	1.8758163804521637	17.802155332452763	SET;RAB5C;MCM7;ATP5A1;RPN1;RPLP0;NOP2;BCCIP;UBE2D1;TYMS;RPL9;OAZ1;RPS15;GCSH;ATP5B;RPS19;RBBP4;PES1;ARHGDIA;RPS3;RPL13;SURF6;BCAS2;RPL19;CCT4;NOP58;CBX5;GPX4;RPA2;LSM5;ILF2;LSM2;PSMA4;ARPC3;NDUFAB1;LUC7L3;SNRPE;UBA1;MCM6;RPS21;SF1
TRANSFAC_and_JASPAR_PWMs	GFI1 (human)	42/1427	7.685522217770128e-05	0.003131850303741327	0	0	1.8569322153422392	17.591809150332676	YWHAE;SLBP;KHDRBS1;NDUFB8;SET;AHCY;PSMD13;RPL11;RPLP0;NOP2;OLA1;HNRNPR;LMNB2;PSMB6;RPS17;PES1;BSG;RPL13;RPLP2;RPS11;RPS13;CCT4;NOP58;CBX5;GPX4;NONO;NDUFA3;ATPIF1;RPA1;KIF22;BAZ1B;EIF2S2;ILF2;PSMA6;RAD51;MSH2;UQCRC1;NHP2;LUC7L3;SNRPE;MCM5;THOP1
TRANSFAC_and_JASPAR_PWMs	PPARG (human)	84/3580	8.212216562935094e-05	0.00297464733279649	0	0	1.4803588107784218	13.92618328163359	YWHAE;RPL31;COX4I1;RPLP0;BCCIP;UBE2D1;ATP5G3;COX7C;RPL6;LMNB2;PSMD8;RPS15;GCSH;PTBP1;RPS16;RPS19;C1QBP;ARHGDIA;RCC1;TMED2;RPS11;CCT3;GPX4;ACTL6A;ATPIF1;NDUFC1;KIF22;DYNLL2;ILF2;UCHL5;PSMA5;PSMA4;MSH2;CANX;NHP2;LUC7L3;SNRPE;RPL26;MCM6;KPNB1;ASF1B;SF1;SNRPB;KHDRBS1;SET;RAB5C;PCNA;DDX27;MEAF6;PSMD13;ATP5A1;RPN1;MAK16;AK2;TACSTD2;UQCR10;TYMS;ADH5;PSMB6;ATP5B;RBBP4;RPS3;RPL13;RBBP7;RPL19;CCT4;RANBP1;CBX5;NAA10;API5;RPA1;LSM1;RPA2;HSPE1;LSM3;LSM2;LSM6;RAD51;ARPC3;OSTC;ANP32E;UBA1;TARDBP;RPS21
TRANSFAC_and_JASPAR_PWMs	E2F1 (human)	95/4207	0.00010175857210423571	0.003317329450598084	0	0	1.4246947591478527	13.097087122997165	MCM7;RPL31;BCCIP;UBE2D1;YBX1;ATP5G3;RPL9;RPL7;RPS15;TRMT112;PTBP1;CCND2;RPS19;BSG;TMED2;RPLP2;RPL38;HELLS;EIF5B;SSR4;LIG1;GPX4;GLRX3;ACTL6A;CD3EAP;NDUFC1;UCHL5;PSMA5;KARS;HNRNPUL1;PSMA1;NCL;CANX;NHP2;MCM3;MCM5;MCM6;FKBP4;RPL28;KPNB1;ASF1B;SF1;SLBP;RAB5C;AHCY;PCNA;NDUFB10;PSMD13;RPL11;ATP5A1;SRSF1;MAK16;CDCA7;AK2;UQCR10;MRPL12;PMF1;TMEM165;PSMB7;ATP5B;RPS15A;PSMB3;PCBP1;PES1;G3BP1;USP1;SURF6;RBBP7;ABCF1;RANBP1;DUT;UBE2I;CBX5;GCA;NAA10;CBX3;RCC2;NONO;IDH2;LSM1;RPA2;TBCB;RPL23A;HSPE1;LSM3;SMARCA4;BYSL;LSM2;RAD51;UQCRQ;OSTC;ANP32E;SRPRB;EIF3F;TOMM6
TRANSFAC_and_JASPAR_PWMs	PITX1 (human)	42/1448	0.00010618510947727858	0.0031469405172357104	0	0	1.8300015685727733	16.745112161003007	RPL5;KHDRBS1;SET;AHCY;DDX27;RPL11;SRSF1;AK2;RPL6;PSMD8;ATP5B;RPS15A;ARHGDIA;RPL13;TMED2;RPS11;CCT4;RFC5;NOP56;NUDC;NOP58;CBX5;GPX4;NAA10;NONO;ATPIF1;RPA2;KIF22;EIF2S2;SMC1A;SMARCA4;RAD51;MSH2;NDUFAB1;HAT1;UQCRC1;ANP32E;LUC7L3;RPL27;UBA1;SRSF6;MCM2
TRANSFAC_and_JASPAR_PWMs	FOXA1 (mouse)	47/1705	0.0001339685715440072	0.00363947952694553	0	0	1.7391787006114878	15.509830997464096	SF3B5;PRIM2;RBM28;VCP;PCNA;PSMD11;NDUFB10;UQCRB;HDAC1;RPL11;ATP5A1;ATP5G3;RPL9;ADH5;FBL;PSMD7;PES1;BSG;RUVBL1;G3BP1;RRS1;EIF4H;RPLP2;UQCRFS1;GOLGA7;MCTS1;BTF3;SF3A3;PARP1;RPS8;RPL23;RPS5;BUD31;LSM1;SARS;NDUFC1;RPL23A;LSM5;SMARCA4;MYBBP1A;ANP32E;NHP2;UBA2;SLC25A5;RPL28;TOMM5;SNRPB
TRANSFAC_and_JASPAR_PWMs	NRF1 (human)	39/1356	0.00022677171937262496	0.005686736962728903	0	0	1.814578040814048	15.227152640089367	KHDRBS1;SET;PCNA;MEAF6;UQCRB;NDUFB11;SRSF1;HP1BP3;BCCIP;RPS16;ARHGDIA;POLD1;BSG;NUP62;RBBP7;LYAR;CCT3;MBD3;RANBP1;EIF5B;HSP90AA1;CBX5;TAF12;RPS5;NDUFA3;EIF2S2;SMARCA4;PSMA6;EIF3K;PSMC4;DKC1;DAD1;UQCRC1;CCDC86;TFAM;MCM6;SF1;MAD2L1;MCM2
TRANSFAC_and_JASPAR_PWMs	TP53 (mouse)	37/1266	0.0002432967889144897	0.005665339513294547	0	0	1.8439058910301456	15.343562263396064	RPL30;VCP;SET;MEAF6;HNRNPR;RPL9;RPS15;PSMB6;RPS19;BSG;RUVBL1;EIF4H;DENR;RPS2;MCTS1;HELLS;NUDC;TAF12;RPS5;RPA2;SARS;HNRNPAB;PSMC5;EBNA1BP2;ARPC3;RPL37A;ANP32E;CCDC86;RPL27;RPL26;PFDN4;NOP10;ASF1B;SF1;SNRPB;SRSF9;MCM2
TRANSFAC_and_JASPAR_PWMs	NFYA (human)	62/2549	0.0003548376605985688	0.007711805157008895	0	0	1.5345907902276268	12.190559305484552	RPL5;RPL30;MCM7;RPL34;UBE2D1;HMGB3;HMGB1;YBX1;PRPF19;PTBP1;SNRPD2;BSG;RPL38;WLS;DDX18;NUDC;SSR4;DYNLT3;SARS;BAZ1B;ILF2;PSMA5;PSMA3;HNRNPUL1;PSMA1;DKC1;RPL26;UQCRC2;SNRPF;MCM6;SRSF6;FKBP4;PPID;KPNB1;ASF1B;SF1;VCP;NDUFB8;PCNA;NDUFB10;NDUFB6;MRPS36;NDUFB11;ATP5A1;ATP5H;PMF1;HSD17B10;TMEM165;ORC4;PSMB3;G3BP1;USP1;BRIX1;RPL19;MCTS1;SMARCE1;CBX5;POLR3GL;LSM6;NASP;OSTC;ANP32E
TRANSFAC_and_JASPAR_PWMs	CEBPD (human)	40/1495	0.0007917474020239875	0.016131853316238745	0	0	1.6880664254138402	12.05493500540716	SET;PCNA;RPL31;PSMD13;RPL11;RPLP0;CDCA7;OLA1;ATP5B;PSMB4;BSG;TMED2;RPS11;RPL19;CCT4;RFC5;SMARCE1;CBX5;GPX4;NAA10;TAF12;NONO;ACTL6A;NDUFC1;RPL23A;KIF22;EIF2S2;ILF2;PSMA4;MSH2;NDUFAB1;NHP2;UBA2;SNRPE;MCM5;SRSF6;TARDBP;TOMM5;KPNB1;MCM2
TRANSFAC_and_JASPAR_PWMs	Myb (mouse)	48/1902	0.0008363225076292272	0.016037713969831058	0	0	1.5922140731821393	11.283219050197149	AHCY;UQCRB;MCM7;NDUFB11;COX4I1;POMP;ATP5H;MRPL12;BZW1;PMF1;GCSH;MRPL20;ATP5B;MYG1;SNRPD2;MAT2A;PSMB3;PES1;POLD1;NUP62;G3BP1;RPS27A;SKP1A;LYAR;RFC5;NOP56;EIF5B;NOP58;CBX5;PARP1;NOP16;GLRX3;HSBP1;CBX3;H13;HSPE1;HNRNPAB;NUDT21;KARS;HNRNPUL1;NASP;DKC1;NHP2;RPL22L1;CALM3;UBA1;RPL28;MCM2
TRANSFAC_and_JASPAR_PWMs	IRF8 (human)	41/1550	0.0008480878837260549	0.015359813894149662	0	0	1.6688714765442152	11.803137394280537	SF3B5;RPL5;EIF4A1;RPL30;MEAF6;PSMD14;NDUFB6;SRSF1;BCCIP;UBE2D1;UQCR10;MRPL12;COX7C;TMEM165;RPS15;PTBP1;PSMB4;PSMB3;NUP62;USP1;SF3A3;HELLS;GPX4;BUD31;RPL22;ACTL6A;ATPIF1;RPS6;LSM5;RAD23B;PSMA6;NUDT21;PSMC5;UQCRQ;UBA2;SNRPE;UQCRC2;SRSF6;RPL28;RPS21;MCM2
TRANSFAC_and_JASPAR_PWMs	AHR (mouse)	17/454	0.0009921835855856431	0.01702378152110104	0	0	2.36245639878264	16.33780914530314	RPL5;CBX5;PSMD11;PITPNB;RPS6;HNRNPAB;RPS15;POLE4;PSMA3;MYBBP1A;PSME3;NDUFAB1;RPL37A;ANP32E;RPL28;GOLGA7;TOMM5
