Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Table_Mining_of_CRISPR_Studies	Supplemental, PMC6879830 (Tablesupplemental)	223/2992	1.2241564974663199e-111	9.817735109679887e-109	0	0	4.702339783059768	1200.9056032374515	RPL5;EIF4A1;RPL30;RPL32;RPL31;RPL34;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;RPS17;PSMD7;RPS16;SNRPD2;RPS19;BSG;PSMD3;RCC1;DENR;RPL38;RPS11;RPS13;DDX18;RPL21;RPL23;RPL22;CD3EAP;SND1;KARS;PSME3;UQCRC1;TFAM;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;SF1;MEAF6;RPN1;MRPL12;PCBP1;RRS1;LYAR;MCTS1;BTF3;RCC2;UCK2;ANP32E;RPS21;RPLP0;CLTA;PRPF19;TRMT112;HINT1;C1QBP;RPLP2;CCT3;HELLS;NUDC;SSR4;PARP1;HSBP1;ACTL6A;KIF22;BAZ1B;DYNLL2;UCHL5;PSMA5;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;AHCY;PCNA;RPL10;RPL12;RPL11;UQCR10;TMEM165;PSMB4;RPS15A;PES1;USP1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;NPM1;RPA1;RPA2;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPA3;TCEA1;RPL22L1;TARDBP;MAD2L1;KDM1A;BCCIP;NUCKS1;BZW1;EEF1B2;FBL;ARHGDIA;RUVBL1;RAB2A;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;MSH2;DKC1;NCL;HAT1;NHP2;SNRPE;SNRPF;SRSF6;FKBP4;PPID;KPNB1;SRSF9;KHDRBS1;VCP;PSMD11;NDUFB10;PSMD14;PSMD13;AK2;G3BP1;BRIX1;CBX5;API5;CBX3;HSPA4;ALYREF;EIF2S2;LSM3;LSM2;DRAP1;LSM6;NASP;ARPC3;SRPRB;UBA1;LSM14A;YWHAE;HSP90AB1;MCM7;COX4I1;HP1BP3;HMGB3;HMGB1;YBX1;LMNB2;PTBP1;NUP62;BCAS2;RFC5;EIF5B;HSP90AA1;GPX4;GLRX3;BUD31;NDUFC1;SMC1A;RAD23B;DDOST;EEF1G;RPL37A;MCM3;LUC7L3;MCM5;MCM6;PFDN4;SLC25A5;DDX27;HDAC1;SRSF1;HSD17B10;RBBP4;MAT2A;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;POLR2L;DUT;RRM1;SSB;TAF15;RRM2;NDUFA5;NAA10;RPL23A;HSPE1;HNRNPAB;POLE4;EIF3M;EIF3K;EIF3I;EIF3F
Table_Mining_of_CRISPR_Studies	Supplemental, PMC5111403 (Tablesupplemental)	197/2739	1.055895529898547e-90	4.234141074893174e-88	0	0	4.537795575764486	940.1326330031699	RPL5;EIF4A1;RPL30;RPL32;RPL31;PITPNB;RPL34;HNRNPR;RPL9;RPL6;RPL7;PSMD8;RPS15;PSMD7;RPS16;SNRPD2;RPS19;PSMD3;RCC1;RPL38;RPS11;RPS13;DDX18;RPL21;RPL23;RPL22;SND1;KARS;PSME3;CCDC86;RPL27;SUCLG1;RPL26;UQCRC2;RPL28;SF1;MEAF6;RPN1;MRPL12;ADH5;MRPL20;ATP5B;PCBP1;RRS1;SURF6;LYAR;BTF3;RCC2;RPS21;RPLP0;OLA1;CLTA;PRPF19;TRMT112;C1QBP;TMED2;RPLP2;CCT3;NUDC;SSR4;PARP1;ACTL6A;BAZ1B;UCHL5;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;SF3B4;SF3B5;AHCY;PCNA;RPL10;RPL12;RPL11;ATP5A1;PSMB6;PSMB7;PSMB4;RPS15A;PSMB3;PES1;RPS3;RPL13;CCT8;RPS2;RPL18;RPS27A;CCT7;RPL19;CCT4;SF3A3;RANBP1;NPM1;NPM3;BYSL;NUDT21;PSMC5;MYBBP1A;PSMC4;RPL22L1;TARDBP;KDM1A;BZW1;EEF1B2;FBL;ARHGDIA;RUVBL1;RAB2A;RPS8;RPS5;RPS6;SARS;ILF2;TUFM;EBNA1BP2;HNRNPUL1;DKC1;NCL;NHP2;SNRPE;SNRPF;SRSF6;FKBP4;KPNB1;SNRPB;SRSF9;KHDRBS1;VCP;RAB5C;PSMD11;PSMD14;PSMD13;G3BP1;BRIX1;UBE2I;CBX5;CBX3;HSPA4;ALYREF;IDH2;TBCB;EIF2S2;LSM3;ARPC3;SRPRB;UBA1;LSM14A;RSL24D1;YWHAE;RBM28;HSP90AB1;MCM7;HP1BP3;HMGB1;YBX1;LMNB2;PTBP1;NUP62;BCAS2;EIF5B;HSP90AA1;RFC3;GPX4;GLRX3;BUD31;DDOST;EEF1G;DAD1;RPL37A;MCM3;LUC7L3;MCM5;MCM6;MCM2;DDX27;SRSF1;MAK16;HSD17B10;RBBP4;MAT2A;EIF4H;SNRPB2;RBBP7;ABCF2;ABCF1;SSB;TAF15;NDUFA5;RPL23A;HNRNPAB;EIF3M;EIF3K;EIF3I;EIF3F
Table_Mining_of_CRISPR_Studies	Supplemental, PMC6542691 (Tablesupplemental)	49/961	3.994641469273852e-13	1.067900819452543e-10	0	0	3.2169434441646945	91.83940010905569	YWHAE;RPL32;KDM1A;RPL31;RPL34;COX4I1;ATP5G3;PRPF19;COX7C;BZW1;RPL7;RPS15;PTBP1;RPS17;UQCRFS1;RPL38;RPS11;PARP1;LIG1;RPL22;NDUFC2;NDUFC1;DYNLL2;PSMA6;RPL37A;UQCRC1;RPL27;RPL26;UQCRC2;SF1;NDUFB8;NDUFB10;NDUFB6;NDUFB5;UQCR10;ATP5H;PSMB4;MAT2A;RPS2;POLR2L;CBX5;NDUFA5;RCC2;UQCRQ;NDUFAB1;RPS21;TOMM5;GSTM5;TOMM6
Table_Mining_of_CRISPR_Studies	Supplemental, PMC5884884 (Tablesupplemental)	19/187	1.5569348645381888e-10	3.121654403399068e-08	0	0	6.410364547310178	144.76610791895268	RANBP1;HSP90AA1;LIG1;ALYREF;ATP5A1;EIF2S2;PRPF19;DYNLL2;DDOST;UCHL5;FBL;PTBP1;RPS17;EIF3K;PSMC4;C1QBP;RPLP2;RPL26;FKBP4
Table_Mining_of_CRISPR_Studies	Supplemental, PMC5137381 (Tablesupplemental)	25/428	2.4036823072471757e-08	3.855506420824469e-06	0	0	3.6852501547805065	64.65284533646215	RPL5;RPL30;RPL10;RPL32;RPL12;RPL11;MAK16;RPL6;RPL7;RPS15;ORC4;RPS3;RPL13;RPL38;RPL18;RPS13;RFC5;LIG1;RPS5;RPL23A;RAD51;HAT1;UBA1;RPL28;RPS21
Table_Mining_of_CRISPR_Studies	Volcanii hfx ds replication dna, PMC2841640 (Table4)	6/16	1.0594302621485533e-07	1.4161051170718994e-05	0	0	23.659305993690854	379.97707513893204	ORC4;PCNA;POLD1;RPA3;RPA1;RPA2
Table_Mining_of_CRISPR_Studies	Public homologous entries databases ontology, PMC3207994 (Table1)	7/34	8.761899923523355e-07	0.00010038633912379615	0	0	12.989422898496938	181.17235142504435	IVNS1ABP;RPL30;COX4I1;RPS3;RPL23A;RPS11;RPL9
Table_Mining_of_CRISPR_Studies	Xflag purified affinity peptides sample, PMC5484543 (Table1)	6/27	3.3805659850624607e-06	0.00033890174000251165	0	0	14.020329477742727	176.620643691354	ATP5B;VCP;NCL;ATP5A1;RPN1;CANX
Table_Mining_of_CRISPR_Studies	Proteostasis rna metabolism abundant differentially, PMC5655833 (Table2)	5/21	1.6010284904597026e-05	0.0014266942770540902	0	0	15.021781583295779	165.87470686042974	HSP90AA1;HSP90AB1;HSPA4;HP1BP3;UCHL5
Table_Mining_of_CRISPR_Studies	Uninfected transport signalling roots phytohormones, PMC7013992 (Table4)	3/6	7.614125579274303e-05	0.0061065287145779905	0	0	31.54574132492113	299.1457512283733	MCM3;MCM5;MCM6
