Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TargetScan_microRNA_2017	hsa-miR-4757-3p	12/397	0.025165441055186782	1.0	0	0	1.9070473345040488	7.022289147867768	MCTS1;MBD3;RBM28;AHCY;RPL31;PITPNB;EIF3I;AK2;MCM3;FAM53B;HMGB1;HNRNPAB
TargetScan_microRNA_2017	mmu-miR-490-3p	38/1917	0.08855072982849974	1.0	0	0	1.2506397186718865	3.0317753839932418	YWHAE;UQCRB;PITPNB;UBE2D1;HNRNPR;NUCKS1;CCND2;PCBP1;EIF4H;FAM53B;TMED2;MCTS1;IVNS1ABP;NPM1;RRM2;PARP1;GCA;TXNRD3;API5;DYNLT3;RPL22;RPA1;NDUFC2;EIF2S2;SMC1A;HNRNPAB;TUFM;MYBBP1A;PSME3;CANX;POLE3;ANP32E;SRPRB;FKBP4;RSL24D1;NOP10;GSTM5;SNRPB
TargetScan_microRNA_2017	mmu-miR-369-5p	6/203	0.10472070582506106	1.0	0	0	1.8647728862022344	4.20778247539797	SMARCE1;DUT;HNRNPUL1;PSME3;EIF2S2;SMC1A
TargetScan_microRNA_2017	hsa-miR-1468	14/619	0.11694592838526024	1.0	0	0	1.4269479113049948	3.06229243481862	RRM1;CBX5;HNRNPAB;UCHL5;LMNB2;NUDT21;ORC4;CCND2;UQCRQ;PCBP1;USP1;TCEA1;EIF3F;TARDBP
TargetScan_microRNA_2017	mmu-miR-615-3p	11/487	0.15293235936255897	1.0	0	0	1.4250642898321664	2.6759280810389865	IVNS1ABP;UBE2I;PSMD11;TXNRD3;PSMD13;MAK16;EIF4H;RCC1;SRPRB;SMC1A;SRSF9
TargetScan_microRNA_2017	hsa-miR-4788	8/334	0.16253167398361368	1.0	0	0	1.5111732371219706	2.745624026723471	PTBP1;RRM2;UQCRB;OSTC;HMGB3;RPL28;PMF1;NOP10
TargetScan_microRNA_2017	mmu-miR-1949	23/1170	0.16884963697716318	1.0	0	0	1.2402599153387797	2.2061082093818034	MCTS1;SMARCE1;RFC3;CBX3;NONO;SRSF1;BCCIP;AK2;ATP5G3;SMC1A;RAD23B;SND1;LMNB2;TMEM165;BYSL;GCSH;PSMA5;NUDT21;CCND2;DKC1;POLE3;TFAM;UBA2
TargetScan_microRNA_2017	hsa-miR-4798-5p	7/289	0.17653763201306913	1.0	0	0	1.5281673998231693	2.6501803214777366	SET;CBX5;RBBP4;RCC2;RPL22;HMGB1;SMC1A
TargetScan_microRNA_2017	mmu-miR-191	13/615	0.18032821696031695	1.0	0	0	1.3336410966633323	2.2844960726820562	MCTS1;SMARCE1;API5;ATPIF1;BAZ1B;LSM5;UCK2;CCND2;UBA2;TARDBP;PFDN4;GSTM5;POLR2L
TargetScan_microRNA_2017	hsa-miR-95	10/452	0.1827133428755038	1.0	0	0	1.395829262164652	2.3726819277140523	YWHAE;RBBP4;CDCA7L;CANX;RPA1;YBX1;MAGOHB;UCHL5;ADH5;LMNB2
