Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tissue_Protein_Expression_from_Human_Proteome_Map	platelets	11/301	0.008875814055493791	0.2662744216648137	0	0	2.3056688011570268	10.892959840680088	RPS15;BTF3;SMARCE1;SET;PCNA;MSH2;API5;RPL22;RPL37A;LUC7L3;SNRPB2
Tissue_Protein_Expression_from_Human_Proteome_Map	monocytes	5/301	0.5206038136942391	1.0	0	0	1.048031273253194	0.6841191411108161	MRPL20;TAF12;RPL37A;KIF22;PMF1
Tissue_Protein_Expression_from_Human_Proteome_Map	fetal ovary	4/301	0.7055437289789028	1.0	0	0	0.8384250186025551	0.2924313500942179	GINS2;RAD51;CDCA7L;TOMM6
Tissue_Protein_Expression_from_Human_Proteome_Map	fetal testis	4/301	0.7055437289789028	1.0	0	0	0.8384250186025551	0.2924313500942179	CCND2;POLR3GL;TYMS;TOMM6
Tissue_Protein_Expression_from_Human_Proteome_Map	b cells	3/301	0.8588051342327383	1.0	0	0	0.6288187639519163	0.09571453804797142	SLBP;CDCA7L;FAM53B
Tissue_Protein_Expression_from_Human_Proteome_Map	adult adrenal	2/301	0.953437064457862	1.0	0	0	0.4192125093012776	0.019988832549219227	PRIM2;TYMS
Tissue_Protein_Expression_from_Human_Proteome_Map	adult gallbladder	2/301	0.953437064457862	1.0	0	0	0.4192125093012776	0.019988832549219227	PRIM2;ASF1B
Tissue_Protein_Expression_from_Human_Proteome_Map	fetal gut	2/301	0.953437064457862	1.0	0	0	0.4192125093012776	0.019988832549219227	GINS2;USP1
Tissue_Protein_Expression_from_Human_Proteome_Map	fetal liver	2/301	0.953437064457862	1.0	0	0	0.4192125093012776	0.019988832549219227	GINS2;RAD51
Tissue_Protein_Expression_from_Human_Proteome_Map	adult colon	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	UCK2
Tissue_Protein_Expression_from_Human_Proteome_Map	adult heart	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	TYMS
Tissue_Protein_Expression_from_Human_Proteome_Map	adult kidney	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	HELLS
Tissue_Protein_Expression_from_Human_Proteome_Map	cd8 cells	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	PRIM2
Tissue_Protein_Expression_from_Human_Proteome_Map	fetal brain	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	GINS2
Tissue_Protein_Expression_from_Human_Proteome_Map	nk cells	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	RPL22L1
Tissue_Protein_Expression_from_Human_Proteome_Map	placenta	1/301	0.9921362405760831	1.0	0	0	0.2096062546506388	0.0016548082285200707	TACSTD2
