Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tissue_Protein_Expression_from_ProteomicsDB	BICR56	18/301	1.6514001829088996e-06	0.00034183983786214233	0	0	3.7729125837114976	50.23213192945857	RFC3;NDUFB8;RPL10;NDUFB10;NDUFA5;NDUFB11;RPL34;RPL22;TACSTD2;UQCR10;RPL9;HSD17B10;TUFM;EEF1B2;EEF1G;CCT8;LSM14A;RPL19
Tissue_Protein_Expression_from_ProteomicsDB	CAL-33 cell	16/301	2.7032819605310942e-05	0.0027978968291496823	0	0	3.353700074410221	35.27575635937165	YWHAE;SSR4;RPL31;NDUFB11;RPL12;COX4I1;RPN1;HSD17B10;EEF1G;HINT1;MYBBP1A;DAD1;PCBP1;RPS2;WLS;RPL19
Tissue_Protein_Expression_from_ProteomicsDB	HSC-3 cell	16/301	2.7032819605310942e-05	0.0018652645527664552	0	0	3.353700074410221	35.27575635937165	NPM1;RFC3;RPL31;HSPA4;RPL12;RPL22;RPL7;RPS16;RPS19;MYBBP1A;C1QBP;NCL;RPL27;CCT8;WLS;SF1
Tissue_Protein_Expression_from_ProteomicsDB	BICR16	15/301	9.94118474169578e-05	0.005144563103827566	0	0	3.1440938197595822	28.976720905390486	SET;RPL31;HSPA4;RPL34;RPL22;RPS6;EEF1G;KARS;MYBBP1A;C1QBP;EIF3I;UQCRC1;RPL27;WLS;CCT4
Tissue_Protein_Expression_from_ProteomicsDB	JURKAT E-6.1 cell	13/301	0.0010926782801119537	0.04523688079663488	0	0	2.7248813104583043	18.581302066729954	CCT3;RFC5;DUT;RRM2;KDM1A;HDAC1;RCC2;RPN1;TYMS;HINT1;SNRPD2;MAT2A;CCT8
Tissue_Protein_Expression_from_ProteomicsDB	HSC-4 cell	12/301	0.003241174758790852	0.1118205291782844	0	0	2.515275055807665	14.417102449300337	PSMA5;DUT;KARS;MYBBP1A;NDUFA5;NONO;POLD1;RPS6;BCCIP;WLS;RPL19;CCT4
Tissue_Protein_Expression_from_ProteomicsDB	SCC-4 cell	12/301	0.003241174758790852	0.0958461678671009	0	0	2.515275055807665	14.417102449300337	RPL5;EIF4A1;RFC3;MYBBP1A;RPL34;POLD1;CANX;TACSTD2;SRPRB;DYNLL2;RPL7;WLS
Tissue_Protein_Expression_from_ProteomicsDB	UPCI:SCC122	9/301	0.051341633775258064	1.0	0	0	1.8864562918557488	5.6013665347868615	RANBP1;NDUFA5;RPL34;TACSTD2;CLTA;LSM14A;RPL7;WLS;SF1
Tissue_Protein_Expression_from_ProteomicsDB	B-lymphocyte	8/301	0.10726353400863416	1.0	0	0	1.6768500372051105	3.7435115971581694	BTF3;KHDRBS1;RPS16;HNRNPUL1;RCC2;RPN1;ATP5A1;RPS6
Tissue_Protein_Expression_from_ProteomicsDB	MV4-11 cell	8/301	0.10726353400863416	1.0	0	0	1.6768500372051105	3.7435115971581694	FBL;RBM28;EBNA1BP2;NOP2;RRS1;NHP2;BRIX1;ASF1B
