Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Virus-Host_PPI_P-HIPSTer_2020	Human adenovirus 21a 100 kDa hexon-assembly associated protein (gene: L4)	17/142	1.1047155719376262e-10	7.418165065561159e-07	0	0	7.553205669347314	173.1667798880851	YWHAE;SF3B4;RBM28;VCP;TAF15;ALYREF;NONO;SRSF1;HNRNPR;MAGOHB;HNRNPAB;PTBP1;NUDT21;NCL;SNRPB2;SRSF6;SRSF9
Virus-Host_PPI_P-HIPSTer_2020	Human adenovirus 68 100 kDa hexon assembly-associated protein (gene: L4)	17/150	2.6443446378042344e-10	8.878387121427718e-07	0	0	7.150368033648792	157.6901242390793	YWHAE;SF3B4;RBM28;VCP;TAF15;ALYREF;NONO;SRSF1;HNRNPR;MAGOHB;HNRNPAB;PTBP1;NUDT21;NCL;SNRPB2;SRSF6;SRSF9
Virus-Host_PPI_P-HIPSTer_2020	Human papillomavirus type 40 early protein (gene: E2)	15/125	1.3575331220269366e-09	3.03861163813696e-06	0	0	7.570977917981073	154.58117348998047	YWHAE;SF3B4;HSP90AA1;NPM1;SSB;ALYREF;NONO;SRSF1;HNRNPR;EEF1G;PTBP1;NCL;PCBP1;SNRPB2;SRSF6
Virus-Host_PPI_P-HIPSTer_2020	Human adenovirus B3 L4 100-kDa protein (gene: L4)	14/110	2.2202412920799547e-09	3.7272300690792228e-06	0	0	8.02982506452538	159.9994834504127	YWHAE;SF3B4;RBM28;TAF15;NONO;SRSF1;HNRNPR;MAGOHB;HNRNPAB;SMARCA4;NUDT21;NCL;SRSF6;SRSF9
Virus-Host_PPI_P-HIPSTer_2020	Human mastadenovirus B hexon assembly protein 100K (gene: L4)	14/110	2.2202412920799547e-09	2.981784055263378e-06	0	0	8.02982506452538	159.9994834504127	YWHAE;SF3B4;RBM28;TAF15;NONO;SRSF1;HNRNPR;MAGOHB;HNRNPAB;SMARCA4;NUDT21;NCL;SRSF6;SRSF9
Virus-Host_PPI_P-HIPSTer_2020	Human adenovirus 7 100K	15/130	2.357868991981019e-09	2.638848380192091e-06	0	0	7.279786459597187	144.61665320551566	YWHAE;SF3B4;RBM28;HSP90AA1;NPM1;ALYREF;NONO;SRSF1;HNRNPR;MAGOHB;PTBP1;NUDT21;NCL;SRSF6;SRSF9
Virus-Host_PPI_P-HIPSTer_2020	Human adenovirus 7d2 100 kDa hexon assembly-associated protein (gene: L4)	13/96	3.86905747478759e-09	3.711531563314096e-06	0	0	8.543638275499474	165.49245122222382	YWHAE;SF3B4;RBM28;HSP90AA1;HSP90AB1;HSPA4;NONO;SRSF1;HNRNPR;NUDT21;NCL;SRSF6;SRSF9
Virus-Host_PPI_P-HIPSTer_2020	Human T-lymphotropic virus 2 Gag-Pro-Pol	14/128	1.6272679538781594e-08	1.36588803878648e-05	0	0	6.9006309148264995	123.75438452381216	YWHAE;VCP;HSP90AA1;NPM1;HSP90AB1;AHCY;KDM1A;HSPA4;HDAC1;LSM5;RAD23B;RPL6;SNRPD2;RRS1
Virus-Host_PPI_P-HIPSTer_2020	Ectromelia virus ERPV helicase NPH-I	10/59	2.7443294568696267e-08	2.047574700319949e-05	0	0	10.693471635566489	186.18557425909242	EIF4A1;DDX18;VCP;NPM1;DDX27;HDAC1;NCL;HNRNPR;RAD23B;SMARCA4
Virus-Host_PPI_P-HIPSTer_2020	Human papillomavirus type 59 ORF putative E2	11/77	3.514278248094605e-08	2.3598378435955272e-05	0	0	9.013068949977468	154.69893262368225	SF3B4;PTBP1;HSP90AA1;NPM1;PCNA;SSB;NCL;NONO;SRSF1;HNRNPR;SRSF9
