Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
VirusMINT	Epstein-Barr virus (strain GD1)	29/133	6.505306258267591e-25	5.529510319527453e-23	0	0	13.756789449965607	766.1432436958653	KHDRBS1;SET;RPL10;RPL31;RPL12;SRSF1;HNRNPR;RPL9;RPL7;PSMB6;PTBP1;RPS17;RPS16;SNRPD2;RUVBL1;RPL13;SNRPB2;RPS2;RPL18;RPS27A;RPS13;RFC3;RPS8;RPL23;NONO;RPL22;RPS6;HNRNPAB;NCL
VirusMINT	Human herpesvirus 1 (strain 17)	10/56	1.622046291271107e-08	6.893696737902205e-07	0	0	11.266336187471836	202.08418486978127	SMARCE1;PCNA;PARP1;MSH2;RBBP4;RUVBL1;PRPF19;SMC1A;MCM2;SMARCA4
VirusMINT	Human immunodeficiency virus 1	23/489	3.7837111252414665e-06	0.0001072051485485082	0	0	2.9674930489700864	37.04857279948926	EIF5B;KHDRBS1;NPM1;TAF15;TAF12;UBE2D1;KIF22;YBX1;LMNB2;PSMB6;PSMA6;PSMB7;PSMB4;PSMA4;PSMB3;C1QBP;NCL;CANX;CALM3;UBA1;RPS27A;KPNB1;CCT4
VirusMINT	Influenza A virus (strain A/Puerto Rico/8/34 H1N1)	4/8	4.1227557775890866e-06	8.760856027376807e-05	0	0	31.54574132492113	391.13529148727	MCM7;MCM3;MCM5;MCM2
VirusMINT	Simian virus 40	6/37	2.323555741389889e-05	0.0003950044760362812	0	0	10.231051240514963	109.16354477393965	PSMC5;PARP1;HDAC1;RPA1;RPA2;KPNB1
VirusMINT	Epstein-Barr virus (strain B95-8)	3/21	0.004244972533935313	0.06013711089741694	0	0	9.013068949977468	49.22956223033108	EBNA1BP2;C1QBP;SRSF1
VirusMINT	Human papillomavirus type 16	5/92	0.015546979740244757	0.18878475398868635	0	0	3.4288849266218624	14.277495844688454	UBE2I;MCM7;HDAC1;POMP;KPNB1
VirusMINT	Hepatitis delta virus (isolate D380)	1/1	0.0158498701737374	0.16840487059595988	0	0	63.09148264984227	261.4885785251601	NPM1
VirusMINT	Human papillomavirus type 58	1/1	0.0158498701737374	0.1496932183075199	0	0	63.09148264984227	261.4885785251601	MCM7
VirusMINT	Hepatitis delta virus (isolate American)	1/1	0.0158498701737374	0.1347238964767679	0	0	63.09148264984227	261.4885785251601	NPM1
VirusMINT	Human adenovirus 5	3/39	0.023672960443129717	0.1829274216060023	0	0	4.85319097306479	18.167540848077746	NPM1;PSMC5;SET
VirusMINT	JC polyomavirus	1/2	0.03144937040979098	0.22276637373601946	0	0	31.54574132492113	109.12859037232329	YBX1
VirusMINT	Fowl adenovirus 1 (strain CELO / Phelps)	1/2	0.03144937040979098	0.20563049883324871	0	0	31.54574132492113	109.12859037232329	HDAC1
VirusMINT	Hepatitis C virus genotype 1a (isolate 1)	1/4	0.061912804905107165	0.3758991726381506	0	0	15.772870662460567	43.88057186601439	HSP90AA1
VirusMINT	Bovine papillomavirus type 1	2/28	0.072270796330502	0.40953451253951134	0	0	4.506534474988734	11.840176453008961	UBE2I;RPA1
VirusMINT	Human papillomavirus type 31	1/10	0.14769033146960184	0.7846048859322597	0	0	6.309148264984227	12.067113893917599	HDAC1
VirusMINT	Vaccinia virus (strain Western Reserve / WR)	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	G3BP1
VirusMINT	Human papillomavirus type 6b	1/15	0.21316629890593794	1.0	0	0	4.206098843322819	6.501294098250628	MCM7
VirusMINT	Human adenovirus 2	1/16	0.2256469557111145	1.0	0	0	3.943217665615142	5.8705979652933165	HDAC1
VirusMINT	Human adenovirus 12	1/16	0.2256469557111145	0.9589995617722368	0	0	3.943217665615142	5.8705979652933165	PSMC5
VirusMINT	Hepatitis C virus	1/20	0.2736269274435734	1.0	0	0	3.1545741324921135	4.088295517532074	SSB
VirusMINT	Homo sapiens	1/22	0.2964936893879897	1.0	0	0	2.8677946659019216	3.4864621292052207	RPS27A
VirusMINT	Human immunodeficiency virus type 1 (isolate 12)	1/22	0.2964936893879897	1.0	0	0	2.8677946659019216	3.4864621292052207	RPS27A
VirusMINT	Human papillomavirus type 18	1/37	0.4466049384207956	1.0	0	0	1.7051752067524943	1.3745091343180766	MCM7
VirusMINT	Human papillomavirus type 11	1/38	0.4553924889390075	1.0	0	0	1.660302174995849	1.3059864167611546	MCM7
