Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Mouse	Cytoplasmic Ribosomal Proteins WP163	37/92	9.717085700913171e-43	1.7102070833607182e-40	0	0	25.373748457001785	2454.5872378677623	RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;RPL9;RPL6;RPL7;RPS15;RPS17;RPS16;RPS15A;RPS19;RPS3;RPLP2;RPL13;RPL38;RPS2;RPS11;RPL18;RPS27A;RPS13;RPL19;RPL21;RPS8;RPS5;RPL22;RPS6;RPL23A;RPL37A;RPL27;RPL26;RPL28;RPS21
WikiPathways_2019_Mouse	mRNA processing WP310	45/457	6.607633416958899e-23	5.81471740692383e-21	0	0	6.212509232478999	317.28049770373593	SF3B4;SF3B5;SLBP;RBM28;RPL32;RPL12;RPL11;SRSF1;MAK16;HNRNPR;YBX1;RPL9;RPL7;FBL;PTBP1;SNRPD2;PCBP1;G3BP1;EIF4H;RPL38;SNRPB2;RPS11;RPS13;RPL19;SF3A3;NPM1;SSB;TAF15;ALYREF;NONO;RPL22;RPS6;LSM1;SMC1A;HNRNPAB;LSM2;NUDT21;NCL;SNRPE;RPL26;SNRPF;SRSF6;TARDBP;SNRPB;SRSF9
WikiPathways_2019_Mouse	Proteasome Degradation WP519	18/52	6.444107922343205e-20	3.7805433144413464e-18	0	0	21.839359378791556	965.0493104169575	PSMD11;PSMD13;RPN1;UBE2D1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMC4;PSME3;PSMD3;UBA1
WikiPathways_2019_Mouse	Electron Transport Chain WP295	22/103	5.786167408029685e-19	2.5459136595330613e-17	0	0	13.475850663073109	565.9001107495027	NDUFB10;UQCRB;NDUFB6;NDUFA5;NDUFB5;COX4I1;NDUFA3;ATPIF1;ATP5A1;ATP5J;NDUFC2;NDUFC1;ATP5H;ATP5G3;UQCR10;ATP5B;UQCRQ;NDUFAB1;UQCRC1;UQCRFS1;UQCRC2;SLC25A5
WikiPathways_2019_Mouse	DNA Replication WP150	14/41	1.1366604614216358e-15	4.0010448242041565e-14	0	0	21.543433099946146	741.3242223904189	RFC5;PRIM2;RFC3;PCNA;MCM7;RPA1;RPA2;ORC4;POLD1;RPA3;MCM3;MCM5;MCM6;MCM2
WikiPathways_2019_Mouse	Oxidative phosphorylation WP1248	13/62	1.290254471245474e-11	3.7847464489867234e-10	0	0	13.22885926528951	331.69508016005625	NDUFB8;NDUFB6;NDUFB10;NDUFA5;NDUFB5;NDUFA3;ATP5A1;NDUFC2;ATP5J;NDUFC1;ATP5G3;ATP5H;ATP5B
WikiPathways_2019_Mouse	TNF-alpha NF-kB Signaling Pathway WP246	20/187	1.9807881528115787e-11	4.980267355640541e-10	0	0	6.747752155063345	166.29795509678758	YWHAE;SMARCE1;RPL30;HSP90AA1;UBE2I;HSP90AB1;MCM7;PSMD13;HDAC1;ACTL6A;CD3EAP;RPL6;SMARCA4;FBL;PSMD7;PSMD3;MCM5;RPS11;SKP1A;RPS13
WikiPathways_2019_Mouse	G1 to S cell cycle control WP413	12/61	1.7767807371482433e-10	3.9089176217261335e-09	0	0	12.411439209805035	278.6498146895752	PRIM2;ORC4;CCND2;PCNA;MCM7;RPA3;MCM3;RPA1;RPA2;MCM5;MCM6;MCM2
WikiPathways_2019_Mouse	Mismatch repair WP1257	5/9	1.1592836996103857e-07	2.267043679238088e-06	0	0	35.050823694356815	559.7719360991159	PCNA;LIG1;MSH2;POLD1;RPA1
WikiPathways_2019_Mouse	Translation Factors WP307	7/50	1.3093157123655475e-05	0.00023043956537633639	0	0	8.83280757097792	99.31097255323886	EEF1B2;EEF1G;EIF4A1;EIF3I;EIF4H;EIF3F;EIF2S2
WikiPathways_2019_Mouse	Nucleotide Metabolism WP87	4/19	0.00019886496855205715	0.0031818394968329143	0	0	13.282417399966796	113.20450956066657	RRM1;RRM2;POLD1;OAZ1
WikiPathways_2019_Mouse	PluriNetWork WP1763	13/292	0.0008285566017079318	0.012152163491716337	0	0	2.8088673782464024	19.931232502217483	MBD3;HELLS;UBE2I;PARP1;KDM1A;HDAC1;SMARCA4;RBBP4;NCL;RBBP7;LYAR;KPNB1;SF1
WikiPathways_2019_Mouse	Homologous recombination WP1258	3/13	0.0010025715454706787	0.013573276307910729	0	0	14.559572919194373	100.53657414623166	RAD51;POLD1;RPA1
WikiPathways_2019_Mouse	Purine metabolism WP2185	9/171	0.0016685100012179435	0.020975554301025576	0	0	3.320604349991698	21.23800187831179	POLE4;PRIM2;RRM1;RRM2;POLR3GL;POLD1;POLE3;AK2;POLR2L
WikiPathways_2019_Mouse	Histone modifications WP300	2/5	0.0024264097918535394	0.02846987489108153	0	0	25.236593059936908	151.95817201388263	HDAC1;HAT1
WikiPathways_2019_Mouse	mir-193a and MVP in colon cancer metastasis WP3979	2/6	0.0036015505938098366	0.03961705653190821	0	0	21.030494216614088	118.32577930075266	CCND2;G3BP1
WikiPathways_2019_Mouse	Selenium metabolism/Selenoproteins WP108	4/50	0.008043449833765742	0.08327336298486886	0	0	5.047318611987381	24.34269882155045	RPL30;GPX4;TXNRD3;SARS
