Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
huMAP	RPL5	57/137	7.77868775339798e-67	7.73979431463099e-64	0	0	26.24974095650372	3995.7831742956846	RPL30;RPL32;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;RPL7;EEF1B2;RPS15;FBL;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;EIF5B;HSP90AA1;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SND1;TUFM;EEF1G;EBNA1BP2;NCL;RPL37A;CANX;RPL27;RPL26;SLC25A5;RPL28;RPL10;RPL12;RPL11;RPS15A;PES1;G3BP1;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;BTF3;NOP58;NPM1;SSB;RPL23A;NPM3;RPL22L1;RPS21
huMAP	RPS2	52/123	2.2149907108334556e-61	1.1019578786396443e-58	0	0	26.67282193326665	3725.1914585781146	RPL30;RPL32;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;RPS16;RPS19;RPLP2;RPL38;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SND1;TUFM;EEF1G;EBNA1BP2;NCL;RPL37A;CANX;RPL27;RPL26;SLC25A5;RPL10;RPL12;RPL11;ATP5A1;RPS15A;G3BP1;RPS3;RPL13;RPL18;RPS27A;RPL19;BTF3;NOP58;NPM1;RPL23A;BYSL;RPS21;NOP10
huMAP	RPL19	52/123	2.2149907108334556e-61	7.346385857597629e-59	0	0	26.67282193326665	3725.1914585781146	RPL30;HSP90AB1;RPL32;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;RPL7;EEF1B2;RPS15;FBL;RPS17;RPS16;RPS19;RPLP2;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SND1;TUFM;EEF1G;EBNA1BP2;NCL;RPL37A;RPL27;RPL26;SLC25A5;RPL10;RPL12;RPL11;RPS15A;PES1;G3BP1;RPS3;RPL13;RPL18;RPS27A;BTF3;NOP58;NPM1;SSB;RPL23A;NPM3;RPS21;NOP10
huMAP	RPS16	50/114	5.039546517899233e-60	1.2535871963274343e-57	0	0	27.67170291659749	3778.233147330093	RPL30;HSP90AB1;RPL31;RPL34;RPLP0;YBX1;RPL9;RPL6;RPL7;RPS15;FBL;RPS17;RPS19;RPLP2;RPS11;RPS13;RPL21;RPS8;RPL23;RPS5;RPL22;RPS6;SND1;TUFM;EEF1G;EBNA1BP2;NCL;RPL37A;CANX;RPL27;RPL26;SLC25A5;RPL10;RPL12;RPL11;ATP5A1;RPS15A;PES1;G3BP1;RPS3;RPL13;RPL18;RPS27A;BTF3;NOP58;NPM1;SSB;RPL23A;RPL22L1;NOP10
huMAP	RPL18A	47/97	4.564025824420995e-59	9.082411390597783e-57	0	0	30.570099840645227	4106.613433692002	RPL30;HSP90AB1;RPL10;RPL31;RPL12;RPLP0;RPL11;ATP5A1;YBX1;RPL9;RPL6;RPL7;RPS15;FBL;RPS17;RPS15A;RPS19;PES1;G3BP1;RPS3;RPLP2;RPL13;RPS11;RPL18;RPS27A;RPS13;BTF3;NOP58;NPM1;SSB;RPL21;RPS8;RPL23;RPS5;RPL22;RPL23A;NPM3;SND1;TUFM;EEF1G;EBNA1BP2;RPL37A;NHP2;RPL27;RPL26;SLC25A5;NOP10
huMAP	RPL31	41/75	1.7396878163701775e-54	2.8849822954805446e-52	0	0	34.490010515247114	4269.376624990583	RPL30;HSP90AB1;RPL10;RPL34;RPL12;RPLP0;RPL11;ATP5A1;YBX1;RPL9;RPL6;RPL7;RPS15;FBL;RPS15A;RPS19;PES1;RPS3;RPLP2;RPL13;RPS11;RPL18;RPS27A;RPS13;BTF3;NOP58;SSB;RPL21;RPS8;RPL23;RPS5;RPL22;RPL23A;TUFM;EBNA1BP2;NHP2;RPL27;RPL22L1;RPL26;SLC25A5;NOP10
huMAP	RPS6	45/108	9.429260190972288e-53	1.340301984288204e-50	0	0	26.288117770767613	3149.1375469985205	RPL30;HSP90AB1;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;YBX1;RPL9;RPL6;RPL7;RPS15;FBL;RPS17;RPS15A;RPS19;PES1;G3BP1;RPS3;RPLP2;RPL13;RPS11;RPL18;RPS27A;RPS13;BTF3;EIF5B;NOP58;NPM1;RPL21;RPS8;RPL23;RPS5;RPL22;RPL23A;NPM3;SND1;TUFM;EBNA1BP2;NCL;RPL37A;RPL27;RPL26;SLC25A5
huMAP	RPL13A	50/150	9.569690122658902e-53	1.1902302090057006e-50	0	0	21.030494216614088	2518.9991399331493	RBM28;RPL30;RPL31;RPL34;HP1BP3;RPLP0;YBX1;RPL9;RPL6;RPL7;RPS15;TRMT112;RPS16;RPS19;RPLP2;RPS11;DDX18;RPL21;RPS8;RPL23;SND1;TUFM;EEF1G;EBNA1BP2;DKC1;RPL37A;CCDC86;RPL27;RPL26;SLC25A5;DDX27;RPL12;NOP2;RPL11;RPS15A;PES1;G3BP1;RRS1;RPS3;SURF6;RPL13;BRIX1;RPL18;RPS27A;LYAR;NOP56;NOP16;RPL23A;MYBBP1A;RSL24D1
huMAP	RPS18	44/102	2.0262472041265287e-52	2.2401288534509956e-50	0	0	27.215933692088825	3239.4646715802587	RPL30;HSP90AB1;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;ATP5A1;YBX1;RPL9;RPL6;RPL7;RPS15;TRMT112;RPS17;RPS15A;RPS19;G3BP1;RPS3;RPLP2;RPL13;RPS11;RPL18;RPS27A;RPS13;BTF3;NPM1;SSB;RPL21;RPS8;RPL23;RPS5;RPL22;RPL23A;SND1;TUFM;EEF1G;EBNA1BP2;RPL37A;RPL27;RPL26;SLC25A5;RPS21
huMAP	RPL8	43/98	1.2248954207874327e-51	1.2187709436834955e-49	0	0	27.682997489216515	3245.249677296451	RPL30;HSP90AB1;RPL10;RPL31;RPL34;RPL12;RPLP0;RPL11;ATP5A1;YBX1;RPL9;RPL6;RPL7;RPS15;FBL;RPS15A;RPS19;PES1;G3BP1;RPS3;RPLP2;RPL13;RPS11;RPL18;RPS27A;RPS13;NPM1;SSB;RPL21;RPS8;RPL23;RPS5;RPL22;RPL23A;TUFM;EEF1G;EBNA1BP2;RPL37A;CANX;RPL27;RPL22L1;RPL26;SLC25A5
