Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
lncHUB_lncRNA_Co-Expression	LINC02067	35/100	6.525330756266709e-38	2.433295839011856e-34	0	0	22.082018927444796	1890.7185906581665	RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPL12;RPL11;RPL6;RPL7;EEF1B2;RPS17;RPS15A;RPS19;RPS3;RPL13;RPL38;RPS11;RPL18;RPS27A;RPS13;BTF3;NPM1;RPS8;RPS5;RPL23;RPL22;RPS6;RPL23A;EEF1G;RPL37A;RPL27;RPL26;EIF3F;RPL28
lncHUB_lncRNA_Co-Expression	LINC01709	26/100	1.3797233359315017e-24	2.5724941598442847e-21	0	0	16.40378548895899	901.2265868037213	RPL5;RPL30;RPL32;RPL31;RPLP0;RPL6;RPL7;EEF1B2;RPS17;RPS15A;C1QBP;RPS3;RPS27A;RPS13;CCT4;BTF3;RPS8;RPS5;RPS6;LSM3;LSM2;RPL37A;RPL27;RPL26;EIF3F;RSL24D1
lncHUB_lncRNA_Co-Expression	LINC01641	21/100	5.39206622529103e-18	6.70233831803675e-15	0	0	13.249211356466875	526.809882260324	SF3B5;RPL21;NOP16;NAA10;RPS8;RPS5;RPL12;RPS6;MRPL12;NPM3;LSM2;EEF1B2;RPS15;RPL37A;NHP2;RPS3;RPL27;RPS11;RPL18;RPS21;RPS13
lncHUB_lncRNA_Co-Expression	GAS5-AS1	21/100	5.39206622529103e-18	5.026753738527563e-15	0	0	13.249211356466875	526.809882260324	RPL32;RPL21;RPL31;RPS8;RPL34;RPL12;NDUFA3;RPL23A;RPL9;RPS15;RPS19;RPL37A;NHP2;RPLP2;RPL13;RPL38;RPS11;RPL18;RPS27A;RPL28;RPS13
lncHUB_lncRNA_Co-Expression	IGBP1-AS2	17/100	3.324269177706083e-13	2.4792399527331957e-10	0	0	10.725552050473187	308.17038361992815	BTF3;RPL5;NPM1;RPL10;RPL31;MRPS36;RPL34;RPL12;RPL22;RPS6;EEF1B2;EEF1G;RPS15A;RPL26;EIF3F;RSL24D1;RPS13
lncHUB_lncRNA_Co-Expression	MAPKAPK5-AS1	17/100	3.324269177706083e-13	2.06603329394433e-10	0	0	10.725552050473187	308.17038361992815	SF3B5;RPL32;RPL21;RPS5;RPLP0;RPL23A;MRPL12;LSM2;RPS15;EEF1B2;SNRPD2;NHP2;RPL13;RPS11;RPL18;RPS27A;RPS21
lncHUB_lncRNA_Co-Expression	ELFN1-AS1	17/100	3.324269177706083e-13	1.7708856805237114e-10	0	0	10.725552050473187	308.17038361992815	AHCY;RPL32;NOP16;RPL10;RPL12;RPL23A;MRPL12;RPS15;EEF1B2;RPS17;RPL37A;RPL13;RPS2;RPS27A;RPL28;RPS21;TOMM5
lncHUB_lncRNA_Co-Expression	NIFK-AS1	16/100	4.405921365194546e-12	2.0537100963513083e-09	0	0	10.094637223974763	263.95529806856536	NOP56;NOP58;SSB;RPL31;LSM5;LSM2;TRMT112;RPS17;EIF3M;RPL37A;RPL38;RPL27;SNRPB2;PFDN4;RPS27A;LYAR
lncHUB_lncRNA_Co-Expression	DDX11-AS1	16/100	4.405921365194546e-12	1.8255200856456074e-09	0	0	10.094637223974763	263.95529806856536	GINS2;RANBP1;PCNA;LIG1;ALYREF;MAGOHB;TYMS;LSM2;RAD51;NASP;POLD1;MCM3;MCM5;MCM6;ASF1B;SNRPB
lncHUB_lncRNA_Co-Expression	EPCAM-DT	15/100	5.417058173548746e-11	2.020020992916327e-08	0	0	9.463722397476339	223.71182770263593	RPL5;RPL32;RPL10;RPL31;RPS8;RPL34;RPL12;RPLP0;RPL23A;EEF1B2;EEF1G;ORC4;RPL37A;RPL13;RPS27A
lncHUB_lncRNA_Co-Expression	PRMT5-AS1	15/100	5.417058173548746e-11	1.8363827208330244e-08	0	0	9.463722397476339	223.71182770263593	NOP56;EIF4A1;RANBP1;ALYREF;NPM3;LSM2;PSMA6;EBNA1BP2;RAD51;DAD1;C1QBP;PES1;RUVBL1;CCT7;CCT4
lncHUB_lncRNA_Co-Expression	LINC02342	15/100	5.417058173548746e-11	1.6833508274302725e-08	0	0	9.463722397476339	223.71182770263593	PRIM2;RPL32;RPL21;NDUFB10;RPL31;RPL12;RPL11;RPL9;RPL7;RPS15;EEF1G;RPS19;RPL18;THOP1;RPS13
lncHUB_lncRNA_Co-Expression	SLC12A9-AS1	14/100	6.156134514435307e-10	1.7658635080253282e-07	0	0	8.83280757097792	187.32973254609783	AHCY;NOP16;RPS5;RPL23A;MRPL12;RPS15;EEF1B2;RPL37A;NHP2;RPL13;RPL27;RPL18;RPL28;RPS21
lncHUB_lncRNA_Co-Expression	H2AZ1-DT	14/100	6.156134514435307e-10	1.6397304003092331e-07	0	0	8.83280757097792	187.32973254609783	GINS2;PCNA;RRM2;LIG1;ALYREF;TYMS;RAD51;POLD1;MCM3;MCM5;MCM6;ASF1B;MCM2;MAD2L1
lncHUB_lncRNA_Co-Expression	LGALSL-DT	13/100	6.4399956659390544e-09	1.600982922552449e-06	0	0	8.201892744479496	154.69374991020547	SF3B5;NDUFB8;NDUFB10;MRPS36;COX4I1;NDUFC1;UQCR10;MRPL12;COX7C;HINT1;UQCRQ;UQCRC1;SUCLG1
