Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
miRTarBase_2017	hsa-miR-615-3p	65/891	1.5322917708327516e-25	4.964625337498116e-22	0	0	4.602633414410493	262.9846366466994	RPL5;EIF4A1;HSP90AB1;RPL31;HNRNPR;YBX1;RPL9;RPL7;PSMD8;RPS15;PTBP1;RPS17;CCND2;NUP62;FAM53B;TMED2;UQCRFS1;DENR;HELLS;RPL21;PARP1;LIG1;RPL23;ATPIF1;SMC1A;ILF2;TUFM;EBNA1BP2;NCL;CANX;RPL37A;FKBP4;THOP1;KPNB1;MCM2;KHDRBS1;PCNA;PSMD13;HDAC1;NOP2;TYMS;PSMB7;ATP5B;RPS3;RPL13;CCT8;RPS2;CCT7;ABCF1;SF3A3;GINS2;TAF15;HSPA4;RCC2;ALYREF;NONO;RPA1;TBCB;HNRNPAB;SMARCA4;EIF3M;RPA3;NDUFAB1;UBA1;LSM14A
miRTarBase_2017	hsa-miR-193b-3p	58/852	2.7623890856639932e-21	4.47507031877567e-18	0	0	4.29496008649161	203.31564106986968	HSP90AB1;MCM7;PITPNB;HP1BP3;NUCKS1;HMGB1;PRPF19;RPL9;COX7C;LMNB2;C1QBP;RUVBL1;RCC1;TMED2;RFC5;HELLS;PARP1;RPL22;KIF22;BAZ1B;EBNA1BP2;HNRNPUL1;NCL;MCM3;MCM5;RPL26;MCM6;ASF1B;SNRPB;RAB5C;PCNA;SSNA1;RPL12;SRSF1;CDCA7;TYMS;ATP5B;MAT2A;POLD1;G3BP1;RPS3;ABCF2;CCT4;GINS2;DUT;NPM1;RRM2;GCA;NONO;RPL23A;HNRNPAB;PSMC5;EIF3M;RAD51;MYBBP1A;EIF3I;RPS21;TOMM5
miRTarBase_2017	hsa-miR-92a-3p	71/1404	9.936884436656643e-19	1.0731835191589175e-15	0	0	3.190523695255557	132.2563423788604	RBM28;HSP90AB1;MCM7;COX4I1;HP1BP3;CLTA;NUCKS1;HMGB1;RPL9;LMNB2;RPS15;PTBP1;ARHGDIA;BSG;PSMD3;RCC1;UQCRFS1;RPS8;RPL23;RPS5;DYNLT3;RPL22;CD3EAP;SMC1A;ILF2;RAD23B;TUFM;PSMA4;PSME3;NCL;MCM3;CCDC86;TFAM;RPL27;SUCLG1;SNRPE;FKBP4;KPNB1;KHDRBS1;PSMD11;NDUFB10;HDAC1;RPL11;ATP5A1;AK2;ATP5J;OAZ1;HSD17B10;PSMB6;ATP5B;RPS15A;SURF6;RBBP7;CCT7;ABCF2;POLR2L;BTF3;SF3A3;NPM1;RRM1;CBX5;NDUFA5;RCC2;RPA2;UCK2;RAD51;MYBBP1A;EIF3K;EIF3I;ANP32E;SRPRB
miRTarBase_2017	hsa-miR-16-5p	66/1555	1.079233977120173e-13	8.741795214673402e-11	0	0	2.677837848803595	79.95315448051701	RPL5;RBM28;RPL30;RPL31;RPLP0;BCCIP;NUCKS1;YBX1;ATP5G3;RPL9;BZW1;RPL6;RPS17;CCND2;ARHGDIA;BSG;GOLGA7;BCAS2;CCT3;EIF5B;HSP90AA1;RPL21;RPS5;RPS6;SARS;BAZ1B;DYNLL2;RAD23B;SND1;EEF1G;MSH2;DKC1;PSME3;CANX;LUC7L3;PSMD11;RPL10;RPL12;ATP5A1;SRSF1;AK2;MRPL12;MRPL20;ORC4;RPS3;RPL13;SNRPB2;CCT8;RPS2;ABCF2;LYAR;ABCF1;BTF3;SF3A3;IVNS1ABP;TAF15;NAA10;LSM5;SMARCA4;BYSL;POLE4;EIF3M;EIF3K;SRPRB;EIF3F;NOP10
miRTarBase_2017	hsa-miR-320a	38/584	1.5757548447266968e-13	1.0210891393828995e-10	0	0	4.105267706667819	121.01866036781121	YWHAE;RPL30;PSMD11;HSP90AB1;MAK16;AK2;HMGB1;RPL9;OAZ1;HSD17B10;ATP5B;RPS17;RPS16;CCND2;SNRPD2;G3BP1;ABCF2;CCT3;SF3A3;RAB2A;IVNS1ABP;NPM1;CBX5;TAF15;HSPA4;NDUFA3;NPM3;SMC1A;BYSL;NUDT21;HNRNPUL1;CANX;RPL27;CALM3;EIF3F;KPNB1;SF1;SNRPB
miRTarBase_2017	hsa-miR-149-5p	31/396	2.593838140842749e-13	1.4006725960550845e-10	0	0	4.938979702386643	143.13394085926055	YWHAE;RAB5C;RPL34;ATP5A1;RPLP0;SRSF1;NUCKS1;YBX1;PSMD8;EEF1B2;RPS16;SNRPD2;EIF4H;RCC1;RPL18;CCT4;NPM1;RRM2;PARP1;LIG1;NAA10;ALYREF;NONO;CD3EAP;KIF22;SMC1A;ILF2;HNRNPAB;EIF3F;FKBP4;KPNB1
miRTarBase_2017	hsa-miR-100-5p	25/250	2.610062980882164e-13	1.208086294008316e-10	0	0	6.309148264984227	182.80272465156432	YWHAE;RPL5;VCP;SET;RAB5C;RPL10;RPL31;ATP5A1;NOP2;HMGB1;RPL7;RPS15;RPS15A;PCBP1;USP1;RPL19;RRM2;RPL21;RPS8;CBX3;NDUFC2;BAZ1B;PSMA5;UBA2;RPL26
miRTarBase_2017	hsa-miR-484	46/890	1.4339244077660726e-12	5.807393851452593e-10	0	0	3.2609080920143194	88.92694007102736	YWHAE;RPL5;EIF4A1;SET;HSP90AB1;MCM7;CDCA7L;RPLP0;ATP5J;NUCKS1;YBX1;TYMS;PSMD8;RPS15;SNRPD2;MAT2A;C1QBP;ARHGDIA;G3BP1;RRS1;RPLP2;ABCF1;EIF5B;NUDC;HSP90AA1;CBX5;RRM2;RPL21;PARP1;RCC2;NONO;ILF2;PSMC5;KARS;NASP;UQCRQ;PSME3;TFAM;UBA2;LUC7L3;MCM5;FKBP4;RPL28;THOP1;KPNB1;SRSF9
miRTarBase_2017	hsa-miR-877-3p	32/606	2.8693782696205853e-09	1.0329761770634108e-06	0	0	3.3315634402556977	65.5290892094806	YWHAE;KHDRBS1;SET;PSMD11;HSP90AB1;ATP5A1;OLA1;NUCKS1;HMGB1;HSD17B10;LMNB2;CCND2;ARHGDIA;SURF6;DENR;CCT7;RPL19;MBD3;HELLS;RRM1;TAF15;RPL22;SND1;PSMC4;NCL;CANX;UQCRC1;ANP32E;SNRPF;TARDBP;FKBP4;KPNB1
miRTarBase_2017	hsa-miR-744-5p	26/435	7.786655058673183e-09	2.5228762390101118e-06	0	0	3.77098516987563	70.40751527156358	EIF4A1;PSMD11;RPL10;NDUFB10;SRSF1;NOP2;YBX1;ATP5G3;LMNB2;ATP5B;HINT1;ARHGDIA;G3BP1;RPL13;RPL18;POLR2L;DUT;NONO;RPS6;SMC1A;EIF3M;EIF3K;NCL;UBA1;FKBP4;KPNB1
