Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2017	telomere maintenance via recombination (GO:0000722)	3/30	6.63855268939233e-07	0.0021017657814616114	0	0	166.66666666666669	2370.8669466155943	FEN1;RPA1;RPA2
GO_Biological_Process_2017	double-strand break repair via homologous recombination (GO:0000724)	3/68	8.090234011912254e-06	0.012806840440857094	0	0	73.52941176470591	862.121536855992	FEN1;RPA1;RPA2
GO_Biological_Process_2017	DNA replication (GO:0006260)	3/106	3.0745976429946695e-05	0.03244725379240376	0	0	47.169811320754725	490.082614154702	FEN1;RPA1;RPA2
GO_Biological_Process_2017	error-free translesion synthesis (GO:0070987)	2/19	5.6111289598260925e-05	0.04441208571702352	0	0	175.4385964912281	1717.2234254510681	RPA1;RPA2
GO_Biological_Process_2017	error-prone translesion synthesis (GO:0042276)	2/20	6.232515501994466e-05	0.03946428815862897	0	0	166.66666666666669	1613.857573545706	RPA1;RPA2
GO_Biological_Process_2017	nucleotide-excision repair, preincision complex stabilization (GO:0006293)	2/21	6.886279771921026e-05	0.036336602929836606	0	0	158.7301587301587	1521.1737256806632	RPA1;RPA2
GO_Biological_Process_2017	nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	2/21	6.886279771921026e-05	0.031145659654145664	0	0	158.7301587301587	1521.1737256806632	RPA1;RPA2
GO_Biological_Process_2017	nucleotide-excision repair, DNA gap filling (GO:0006297)	2/24	9.041513427391056e-05	0.035781789388900115	0	0	138.88888888888889	1293.2081791727753	RPA1;RPA2
GO_Biological_Process_2017	base-excision repair (GO:0006284)	2/27	0.00011486975622792649	0.04040862757973503	0	0	123.4567901234568	1119.9643982673254	RPA1;RPA2
GO_Biological_Process_2017	nucleotide-excision repair, preincision complex assembly (GO:0006294)	2/29	0.00013278088986713745	0.042038429731935716	0	0	114.94252873563221	1026.0701417103046	RPA1;RPA2
GO_Biological_Process_2017	mismatch repair (GO:0006298)	2/29	0.00013278088986713745	0.03821675430175974	0	0	114.94252873563221	1026.0701417103046	RPA1;RPA2
GO_Biological_Process_2017	telomere maintenance (GO:0000723)	2/30	0.00014221789991262262	0.037521822593613606	0	0	111.11111111111113	984.2389077875584	RPA1;RPA2
GO_Biological_Process_2017	nucleobase-containing small molecule interconversion (GO:0015949)	2/31	0.00015197544040944393	0.03701186494894612	0	0	107.52688172043013	945.3539383254307	RRM1;RRM2
GO_Biological_Process_2017	nucleotide-excision repair (GO:0006289)	2/33	0.00017245081887581117	0.0389985208972013	0	0	101.01010101010101	875.2927747586036	RPA1;RPA2
GO_Biological_Process_2017	DNA damage response, detection of DNA damage (GO:0042769)	2/34	0.0001831680104570772	0.03866066140714042	0	0	98.0392156862745	843.6379153313977	RPA1;RPA2
GO_Biological_Process_2017	translesion synthesis (GO:0019985)	2/35	0.0001942044396858921	0.03842820350284591	0	0	95.23809523809523	813.9618229483816	RPA1;RPA2
GO_Biological_Process_2017	nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	2/37	0.00021723372076184832	0.04045658587835363	0	0	90.0900900900901	759.8681738584222	RPA1;RPA2
GO_Biological_Process_2017	nucleotide-excision repair, DNA incision (GO:0033683)	2/38	0.00022922592789026425	0.04031829376114314	0	0	87.71929824561406	735.1581101834378	RPA1;RPA2
GO_Biological_Process_2017	interstrand cross-link repair (GO:0036297)	2/46	0.00033658272069457453	0.056085310195738064	0	0	72.46376811594203	579.468595098561	RPA1;RPA2
GO_Biological_Process_2017	transcription-coupled nucleotide-excision repair (GO:0006283)	2/73	0.0008469756722727654	0.13407624892077874	0	0	45.662100456621005	323.006328125701	RPA1;RPA2
GO_Biological_Process_2017	regulation of cellular response to heat (GO:1900034)	2/76	0.0009176063110616547	0.13834007527719994	0	0	43.85964912280703	306.74307519215245	RPA1;RPA2
GO_Biological_Process_2017	G1/S transition of mitotic cell cycle (GO:0000082)	2/87	0.0012000731197066034	0.17270143168141394	0	0	38.31417624521073	257.67711842742114	RPA1;RPA2
GO_Biological_Process_2017	DNA repair (GO:0006281)	2/121	0.002302699453848893	0.31697158569067796	0	0	27.54820936639119	167.31882007381006	FEN1;RPA1
GO_Biological_Process_2017	regulation of signal transduction by p53 class mediator (GO:1901796)	2/124	0.00241636972448482	0.3187594394882891	0	0	26.88172043010753	161.9755101870993	RPA1;RPA2
GO_Biological_Process_2017	regulation of DNA damage checkpoint (GO:2000001)	1/5	0.002996653029893649	0.3794961397057317	0	0	333.33333333333337	1936.7530899414512	RPA2
GO_Biological_Process_2017	protein retention in ER lumen (GO:0006621)	1/5	0.002996653029893649	0.3649001343324343	0	0	333.33333333333337	1936.7530899414512	PDIA3
GO_Biological_Process_2017	sulfur amino acid metabolic process (GO:0000096)	1/7	0.0041930151049605156	0.4916698452705553	0	0	238.09523809523807	1303.413144851617	AHCY
GO_Biological_Process_2017	nucleic acid phosphodiester bond hydrolysis (GO:0090305)	1/9	0.0053880625223818295	0.6092359266378883	0	0	185.1851851851852	967.3276697214461	FEN1
GO_Biological_Process_2017	mitotic G1 DNA damage checkpoint (GO:0031571)	1/9	0.0053880625223818295	0.5882277912365818	0	0	185.1851851851852	967.3276697214461	RPA2
GO_Biological_Process_2017	UV protection (GO:0009650)	1/10	0.0059850935124877705	0.6316268686845425	0	0	166.66666666666669	853.080552603074	FEN1
