Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	DNA replication	3/35	1.0683813221015495e-06	0.00032371954059676964	0	0	142.85714285714286	1964.1951197121093	FEN1;RPA1;RPA2
KEGG_2019_Mouse	Mismatch repair	2/22	7.572389207798609e-05	0.011472169649814892	0	0	151.51515151515153	1437.6389139424032	RPA1;RPA2
KEGG_2019_Mouse	Homologous recombination	2/41	0.0002671089522787109	0.026978004180149808	0	0	81.30081300813009	668.931213156854	RPA1;RPA2
KEGG_2019_Mouse	Nucleotide excision repair	2/43	0.0002939497556798544	0.02226669399274897	0	0	77.51937984496125	630.3954809518306	RPA1;RPA2
KEGG_2019_Mouse	Fanconi anemia pathway	2/51	0.0004139409991332273	0.02508482454747357	0	0	65.35947712418303	509.13641231804047	RPA1;RPA2
KEGG_2019_Mouse	Pyrimidine metabolism	2/58	0.0005354125163723767	0.027038332076805026	0	0	57.471264367816104	432.90074997363837	RRM1;RRM2
KEGG_2019_Mouse	Glutathione metabolism	2/64	0.0006516856966098635	0.028208680867541237	0	0	52.08333333333334	382.08063399377164	RRM1;RRM2
KEGG_2019_Mouse	p53 signaling pathway	2/71	0.0008014221236830577	0.03035386293449582	0	0	46.94835680751174	334.70059877232245	RRM2;CCND2
KEGG_2019_Mouse	Prolactin signaling pathway	2/72	0.0008240453340764277	0.02774285958057306	0	0	46.2962962962963	328.76319502246037	CCND2;FOS
KEGG_2019_Mouse	Drug metabolism	2/114	0.0020477019094222266	0.06204536785549347	0	0	29.23976608187134	181.02447761516171	RRM1;RRM2
KEGG_2019_Mouse	Purine metabolism	2/136	0.0028971640392483613	0.07980370035384124	0	0	24.509803921568626	143.23585632263618	RRM1;RRM2
KEGG_2019_Mouse	Measles	2/144	0.003240720055779919	0.08182818140844295	0	0	23.14814814814815	132.68425311183282	CCND2;FOS
KEGG_2019_Mouse	Non-homologous end-joining	1/13	0.0077742172076079846	0.18119906260809376	0	0	128.20512820512823	622.6849367537167	FEN1
KEGG_2019_Mouse	Epstein-Barr virus infection	2/229	0.007987630221760503	0.1728751397995309	0	0	14.55604075691412	70.30365584013938	PDIA3;CCND2
KEGG_2019_Mouse	Human immunodeficiency virus 1 infection	2/238	0.008603424480366259	0.17378917450339848	0	0	14.005602240896359	66.60497142282905	PDIA3;FOS
KEGG_2019_Mouse	Human T-cell leukemia virus 1 infection	2/245	0.009096821347652629	0.17227105427117162	0	0	13.605442176870751	63.943268420889815	CCND2;FOS
KEGG_2019_Mouse	Base excision repair	1/35	0.02080456145623845	0.3708107130141323	0	0	47.61904761904761	184.4087150255748	FEN1
KEGG_2019_Mouse	Hedgehog signaling pathway	1/44	0.02608980569517001	0.4391783958686951	0	0	37.87878787878788	138.11403891455214	CCND2
KEGG_2019_Mouse	Cysteine and methionine metabolism	1/50	0.029598761568907093	0.4720223555462553	0	0	33.333333333333336	117.33409191385557	AHCY
KEGG_2019_Mouse	Pathways in cancer	2/535	0.039475787346354506	0.5980581782972708	0	0	6.230529595015577	20.137493916489344	CCND2;FOS
KEGG_2019_Mouse	Leishmaniasis	1/67	0.039477968873990896	0.5696106937532972	0	0	24.875621890547265	80.398321211468	FOS
KEGG_2019_Mouse	Amphetamine addiction	1/68	0.04005621763128212	0.5516833610126582	0	0	24.509803921568626	78.85959242141291	FOS
KEGG_2019_Mouse	B cell receptor signaling pathway	1/72	0.04236602319273223	0.5581263055390376	0	0	23.14814814814815	73.18075411533883	FOS
KEGG_2019_Mouse	Pertussis	1/76	0.04467073326473782	0.5639680074673149	0	0	21.929824561403514	68.1674721184895	FOS
KEGG_2019_Mouse	Salmonella infection	1/78	0.04582118067620417	0.5553527097955945	0	0	21.367521367521373	65.876257149244	FOS
KEGG_2019_Mouse	Rheumatoid arthritis	1/84	0.049264907729901206	0.5741256554676949	0	0	19.84126984126984	59.733001233007144	FOS
