Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	Linoleic acid metabolism	1/17	0.019378851588059097	0.1332989143407738	0.015355450337896566	0.10531928377622074	-81.48491886411033	321.3417203871023	pla2g6
KEGG_2019	Basal transcription factors	1/40	0.045026255141950605	0.1370298081532796	0.034701187265207566	0.1053734732916809	-91.72663091774551	284.3992916414616	taf5
KEGG_2019	Arachidonic acid metabolism	1/47	0.05270377236664603	0.1370298081532796	0.04052825895833883	0.1053734732916809	-93.6720756616635	275.68331123754643	pla2g6
KEGG_2019	Ether lipid metabolism	1/44	0.049420665142067194	0.1370298081532796	0.03803439841226692	0.1053734732916809	-88.85724152939305	267.22807922534395	pla2g6
KEGG_2019	alpha-Linolenic acid metabolism	1/18	0.020507525283195962	0.1332989143407738	0.016202966734803183	0.10531928377622074	-38.45407835823698	149.46959412911247	pla2g6
KEGG_2019	RNA degradation	1/86	0.09440936928841569	0.18871576601458007	0.07248045687159314	0.14516029524638344	-40.34368672585278	95.21573857594136	cnot10
KEGG_2019	Progesterone-mediated oocyte maturation	1/107	0.11613277908589555	0.18871576601458007	0.08932941245931295	0.14516029524638344	-15.439349135554695	33.24124438489594	hsp90aa1.2
KEGG_2019	Glycerophospholipid metabolism	1/98	0.10688449127260892	0.18871576601458007	0.08213868156727851	0.14516029524638344	-3.1355979842922093	7.011217626150298	pla2g6
KEGG_2019	Vascular smooth muscle contraction	1/157	0.16586711350850109	0.1993928142122972	0.1284618323695692	0.1548889486522052	-2.8441270232134563	5.109668542792613	pla2g6
KEGG_2019	Necroptosis	1/174	0.1821584140058709	0.1993928142122972	0.1414559424474603	0.1548889486522052	-2.8092540714539536	4.783818538726207	hsp90aa1.2
KEGG_2019	NOD-like receptor signaling pathway	1/148	0.15711710312926488	0.1993928142122972	0.12151918381752357	0.1548889486522052	-0.8203531760322483	1.5182800203658395	hsp90aa1.2
KEGG_2019	Protein processing in endoplasmic reticulum	1/176	0.184054905426736	0.1993928142122972	0.1429744141404971	0.1548889486522052	1.1089007494741772	-1.876837990395312	hsp90aa1.2
KEGG_2019	MAPK signaling pathway	1/362	0.34318111279848856	0.3431811127984883	0.2750987948958242	0.2750987948958242	9.631578947368425	-10.300944264756033	bdnf
