Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	Steroid biosynthesis	1/19	0.08565828941221969	0.3503516260860898	0.10092006562201777	0.4081827470281764	-65.55455795129753	161.09306773515704	hsd17b7
KEGG_2019	Hedgehog signaling pathway	1/56	0.23216832994944517	0.40926021992283507	0.2622572890178222	0.47272490941012757	-97.02079585691469	141.67875123337632	kif3a
KEGG_2019	Arachidonic acid metabolism	1/47	0.19882540080925123	0.3931383278416936	0.22580849382371887	0.4610256748900928	-77.7656547342204	125.61705681404152	gpx2
KEGG_2019	Intestinal immune network for IgA production	1/35	0.15213040794455354	0.35657691528452434	0.17448978518663338	0.4081827470281764	-63.342062849183435	119.27419249567387	tgfb1a
KEGG_2019	Notch signaling pathway	4/60	0.0001824254975036636	0.00893884937767952	0.0003278225325549602	0.01606330409519305	-11.465659603576727	98.7097977971307	mfng;dlc;hdac1;dll4
KEGG_2019	Phagosome	5/152	0.0007566104339656246	0.018536955632157796	0.0012588660958537342	0.03084221934841646	-9.880940288058136	71.01097863851203	tuba1a;atp6v0d1;tuba1c;dync1h1;sec61a1
KEGG_2019	Steroid hormone biosynthesis	1/37	0.1600957578828477	0.35657691528452434	0.1832657231555078	0.4081827470281764	-24.098521371349047	44.14808523687274	hsd17b7
KEGG_2019	Glutathione metabolism	1/58	0.23938933755026606	0.40926021992283507	0.2701285196629299	0.47272490941012757	-23.01227500072324	32.89982170354159	gpx2
KEGG_2019	Protein export	1/22	0.09850279309345271	0.3503516260860898	0.11518117166616187	0.4081827470281764	-11.753652089922815	27.241091246017838	sec61a1
KEGG_2019	Other types of O-glycan biosynthesis	1/29	0.12778320171180688	0.3503516260860898	0.14761094496627314	0.4081827470281764	-11.767495939259884	24.210683703906323	mfng
KEGG_2019	Cell cycle	3/139	0.02783623357548865	0.2273292408664907	0.038294777606485204	0.3127406837862961	-6.631306415678571	23.749471811181674	tgfb1a;hdac1;ccnb3
KEGG_2019	Phosphatidylinositol signaling system	2/108	0.09174898571731871	0.3503516260860898	0.11451885864653044	0.4081827470281764	-9.369191496007812	22.380176923467626	synj1;calml4a
KEGG_2019	RNA degradation	1/86	0.33370203328504083	0.4809235185578532	0.37214825788123385	0.536331312828837	-18.198553843596798	19.97303659516453	eno1a
KEGG_2019	Ribosome biogenesis in eukaryotes	1/77	0.3047235669977816	0.47663082626200465	0.34096307981340257	0.5329057379457749	-15.270451320212073	18.146644660162533	ran
KEGG_2019	Adrenergic signaling in cardiomyocytes	5/202	0.002654104335389994	0.04335037081136991	0.0042278225796624335	0.06905443546781972	-2.9307711618069026	17.38430299223758	atp2b1a;atp1a3b;cacna1da;calml4a;atp1b2b
KEGG_2019	Phototransduction	1/37	0.1600957578828477	0.35657691528452434	0.1832657231555078	0.4081827470281764	-8.212605692765703	15.045355296035307	calml4a
KEGG_2019	Cardiac muscle contraction	3/100	0.011706078035275179	0.11471956474569668	0.01664480950850634	0.16311913318336205	-3.3175449292433536	14.755269023529394	atp1a3b;cacna1da;atp1b2b
KEGG_2019	Vascular smooth muscle contraction	3/157	0.037880456843089244	0.24703533112191725	0.0515343923148544	0.3353181532435074	-3.756681148308683	12.296819350295918	cacna1da;edn1;calml4a
KEGG_2019	Cellular senescence	4/184	0.011123706944673406	0.11471956474569668	0.01646118176553664	0.16311913318336205	-1.5586013849300528	7.01164371529881	tgfb1a;cacna1da;calml4a;ccnb3
KEGG_2019	ECM-receptor interaction	1/79	0.3112691110282479	0.47663082626200465	0.34802007376050625	0.5329057379457749	-6.006391474459865	7.010044066595293	tnc
KEGG_2019	Apoptosis	3/161	0.04033229895868035	0.24703533112191725	0.05474582093771551	0.3353181532435074	-1.7980857005652595	5.772938747590251	tuba1a;sptan1;tuba1c
KEGG_2019	AGE-RAGE signaling pathway in diabetic complications	2/123	0.11399127905464254	0.3503516260860898	0.14112680138516132	0.4081827470281764	-2.2409176679108693	4.866451504221312	tgfb1a;edn1
KEGG_2019	Inositol phosphate metabolism	1/86	0.33370203328504083	0.4809235185578532	0.37214825788123385	0.536331312828837	-3.7493108330239537	4.11489413489758	synj1
KEGG_2019	Melanogenesis	2/137	0.1358506305231776	0.3503516260860898	0.16706215689136375	0.4081827470281764	-1.6128989298738416	3.219667717690733	edn1;calml4a
KEGG_2019	Lysosome	2/137	0.1358506305231776	0.3503516260860898	0.16706215689136375	0.4081827470281764	-1.5259937077573429	3.046187573978864	atp6v0d1;ap1b1
KEGG_2019	TGF-beta signaling pathway	1/107	0.39675344971864057	0.5116031325319311	0.4394609546601849	0.5666733362723438	-3.0399603936537085	2.81026166929837	tgfb1a
KEGG_2019	Glycolysis / Gluconeogenesis	1/77	0.3047235669977816	0.47663082626200465	0.34096307981340257	0.5329057379457749	-2.338314632176656	2.7787367802027165	eno1a
KEGG_2019	Gap junction	2/123	0.11399127905464254	0.3503516260860898	0.14112680138516132	0.4081827470281764	-1.2600604274601472	2.7363892259102296	tuba1a;tuba1c
KEGG_2019	Progesterone-mediated oocyte maturation	1/107	0.39675344971864057	0.5116031325319311	0.4394609546601849	0.5666733362723438	-2.911617604186868	2.6916164321688183	ccnb3
KEGG_2019	GnRH signaling pathway	2/123	0.11399127905464254	0.3503516260860898	0.14112680138516132	0.4081827470281764	-1.0434021305102401	2.265886846375312	cacna1da;calml4a
KEGG_2019	C-type lectin receptor signaling pathway	1/120	0.43278800282159696	0.543759285596365	0.4775719672640288	0.6000263178445486	-1.7542965990733113	1.469236158525281	calml4a
KEGG_2019	Salmonella infection	1/95	0.36148502138359856	0.500210536946604	0.401903184594906	0.55577923527478	-1.1208562633135517	1.1405101112197464	dync1h1
KEGG_2019	Adherens junction	1/97	0.36750161898117856	0.500210536946604	0.4083276014263689	0.55577923527478	-0.7738867497932931	0.7746819609522249	fgfr1a
KEGG_2019	FoxO signaling pathway	2/165	0.18189653758961524	0.3875187105170064	0.22106601299034712	0.4610256748900928	-0.1912280728020055	0.3259132990169405	tgfb1a;ccnb3
KEGG_2019	Oxidative phosphorylation	1/139	0.48165547155781874	0.5756370269837344	0.5287968383357573	0.6319767092305393	0.7977258966780657	-0.5827596757709722	atp6v0d1
KEGG_2019	Insulin signaling pathway	1/165	0.541841638681409	0.6174474487299776	0.5910830255488708	0.6735597267882483	1.9696584355434088	-1.2069702502060178	calml4a
KEGG_2019	Tight junction	3/211	0.07736536541429156	0.3503516260860898	0.1025177029266211	0.4081827470281764	0.7418744043671606	-1.898616900397936	tuba1a;tuba1c;cacna1da
KEGG_2019	Apelin signaling pathway	1/175	0.5631016941363484	0.6265315401800475	0.6128511192019435	0.6809574781955863	3.4635495224050135	-1.9890993050600088	calml4a
KEGG_2019	Cytokine-cytokine receptor interaction	1/181	0.5753861083286154	0.6265315401800475	0.6253691126285997	0.6809574781955863	4.318552411174388	-2.3869242512438325	tgfb1a
KEGG_2019	Oocyte meiosis	1/138	0.47919066047093334	0.5756370269837344	0.5262264885182756	0.6319767092305393	4.414519970541223	-3.2475712916417585	calml4a
KEGG_2019	Wnt signaling pathway	2/184	0.2143096555476124	0.4038912739166543	0.25860445734170995	0.47272490941012757	2.9995130610176184	-4.620249915557486	gpc4;vangl2
KEGG_2019	Neuroactive ligand-receptor interaction	1/461	0.8888899859177883	0.8888899859177883	0.9223668123703732	0.9223668123703732	40.00837870951196	-4.712258919485887	edn1
KEGG_2019	RNA transport	1/158	0.526353761799504	0.6140793887660875	0.5751455007676738	0.6710030842289529	9.835449857672256	-6.312212136674924	ran
KEGG_2019	Endocytosis	1/302	0.7615479045147368	0.7774134858587943	0.8083725174846621	0.8252136115989261	39.42452956053136	-10.739328607150105	asap1b
KEGG_2019	Regulation of actin cytoskeleton	1/261	0.7099417256624662	0.7401520118608692	0.7591107675267136	0.7914133533789144	32.70183514656733	-11.202745785839571	fgfr1a
KEGG_2019	Focal adhesion	1/234	0.670071694790031	0.7137720227111197	0.7201977947110935	0.7671672161052956	33.3389261219709	-13.347924693703794	tnc
KEGG_2019	Protein processing in endoplasmic reticulum	2/176	0.20058077951106823	0.3931383278416936	0.24275131881281017	0.47272490941012757	8.656392761602083	-13.906825845199585	dnajc5b;sec61a1
KEGG_2019	Calcium signaling pathway	3/268	0.13215411247419187	0.3503516260860898	0.1713198892516825	0.4081827470281764	9.10414218698662	-18.424840222095447	atp2b1a;cacna1da;calml4a
KEGG_2019	MAPK signaling pathway	3/362	0.24221523219922927	0.40926021992283507	0.3044646034224597	0.5144401919896732	23.66666666666667	-33.5576425593248	tgfb1a;fgfr1a;cacna1da
