Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	Fanconi anemia pathway	2/51	0.002827569897078478	0.011395875012590147	0.003480591718467372	0.013922366873869487	-87.94187230584404	516.0725984898593	ube2t;rpa3
KEGG_2019	Mismatch repair	1/22	0.033568056278410294	0.0839201406960257	0.038774398908111386	0.09693599727027849	-71.78213888256451	243.64152672762458	rpa3
KEGG_2019	DNA replication	1/38	0.05729354208506387	0.10160686387168802	0.06494415954408705	0.1147558259493278	-62.67318980000741	179.21820822442962	rpa3
KEGG_2019	Homologous recombination	1/40	0.06021929495987884	0.10160686387168802	0.06816987804654856	0.1147558259493278	-56.70598118098755	159.33033739173763	rpa3
KEGG_2019	Progesterone-mediated oocyte maturation	3/107	0.0006000710139862054	0.0060007101398620545	0.000711463240487449	0.00711463240487449	-18.03129359032045	133.76447628388942	cdk1;ccnb1;ccna2
KEGG_2019	Oocyte meiosis	2/138	0.01928479690264583	0.0642826563421528	0.022693394356570515	0.07564464785523506	-20.559469879442407	81.17779662905245	cdk1;ccnb1
KEGG_2019	Fructose and mannose metabolism	1/42	0.06313625959907741	0.10160686387168802	0.07138557793099089	0.1147558259493278	-27.79767012342377	76.78995284895997	aldocb
KEGG_2019	Cell cycle	3/139	0.0012805348152441656	0.008536898768294427	0.0014959099483123593	0.009972732988749053	-7.285281407362847	48.523452631949404	cdk1;ccnb1;ccna2
KEGG_2019	p53 signaling pathway	3/77	0.00022821325761415698	0.004564265152283142	0.0002783193004171796	0.005566386008343591	-5.4192778222520985	45.4418911130572	rprma;cdk1;ccnb1
KEGG_2019	Protein export	1/22	0.033568056278410294	0.0839201406960257	0.038774398908111386	0.09693599727027849	-12.484032831878558	42.37305917914738	sec63
KEGG_2019	Pentose phosphate pathway	1/33	0.04994054322771783	0.10160686387168802	0.0568358496595662	0.1147558259493278	-11.845819555975432	35.50099861634453	aldocb
KEGG_2019	Nucleotide excision repair	1/44	0.06604446151659724	0.10160686387168802	0.0745912868670631	0.1147558259493278	-10.403275485172546	28.27014277815528	rpa3
KEGG_2019	Pyrimidine metabolism	1/61	0.09041396044913295	0.1291628006416185	0.10144031110500892	0.1449147301500128	-10.634198253256034	25.55777049131403	dck
KEGG_2019	Glycolysis / Gluconeogenesis	1/77	0.11278708874266931	0.1503827849902257	0.12606738635571688	0.16808984847428915	-3.940631648286745	8.599456844030371	aldocb
KEGG_2019	Cellular senescence	3/184	0.0028489687531475364	0.011395875012590147	0.003295877561795286	0.013922366873869487	-1.4129377040954685	8.280942740416549	cdk1;ccnb1;ccna2
KEGG_2019	RNA transport	1/158	0.21812297425221677	0.23856336747521892	0.24166926573913086	0.2641915632706266	-1.5186048120792666	2.312373887762661	trnt1
KEGG_2019	Gap junction	1/123	0.17418349802371152	0.21772937252963942	0.19352369171056336	0.24190461463820426	-1.0822113904156665	1.8913223525406084	cdk1
KEGG_2019	FoxO signaling pathway	1/165	0.226635199101458	0.23856336747521892	0.25098198510709535	0.2641915632706266	-0.5470012315034113	0.8119760708766869	ccnb1
KEGG_2019	Purine metabolism	1/151	0.20952011203424098	0.23856336747521892	0.2322524670962237	0.2641915632706266	-0.024558254344558782	0.03838296861528055	dck
KEGG_2019	Protein processing in endoplasmic reticulum	1/176	0.23983064588926922	0.23983064588926922	0.26540843521041757	0.26540843521041757	5.753511218475965	-8.214991315245516	sec63
