Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	Steroid biosynthesis	1/19	0.12667049182972082	0.3488770279854947	0.14293589398507517	0.414870181421705	-56.55475592613312	116.85152043451677	hsd17b7
KEGG_2019	Biosynthesis of unsaturated fatty acids	1/29	0.18680124036990559	0.3936168993508725	0.20670692813863867	0.4355610271492741	-59.48388098027022	99.79670868784424	hacd3
KEGG_2019	Hedgehog signaling pathway	1/56	0.3293915407211607	0.45850715269482506	0.3566025166234907	0.5051724756766367	-84.46309512472278	93.79695487161707	bcl2b
KEGG_2019	Fructose and mannose metabolism	2/42	0.03581711242210044	0.14088064219359495	0.044395752530785794	0.1746232932877576	-26.934030827957002	89.6722633669113	aldocb;gmds
KEGG_2019	Notch signaling pathway	4/60	0.0008726368481379537	0.03040393877472633	0.001372278474168013	0.04651765030940732	-11.465659603576727	80.7640038613565	lfng;mfng;ctbp2a;dll4
KEGG_2019	Cytosolic DNA-sensing pathway	1/42	0.2588645792165688	0.412784058750745	0.28271180084164993	0.4633332291571486	-56.85427327832017	76.8357197995645	nfkbiab
KEGG_2019	Adipocytokine signaling pathway	4/86	0.003297233410146819	0.06484559039955412	0.004775119795782522	0.09391068931705618	-13.080764052396484	74.7522698252837	stat3;irs1;nfkbiab;jak2b
KEGG_2019	Fatty acid elongation	1/33	0.2096858141270197	0.39907945269336004	0.23089500634741306	0.4540935124832456	-40.694075640168975	63.5700464563744	hacd3
KEGG_2019	RNA degradation	2/86	0.12465643675987831	0.3488770279854947	0.14583841985746135	0.414870181421705	-30.062017887662506	62.59494821349975	eno1a;cnot10
KEGG_2019	Amino sugar and nucleotide sugar metabolism	1/57	0.33416622993012646	0.45850715269482506	0.36158580177381877	0.5051724756766367	-44.83059854505904	49.13956842719286	gmds
KEGG_2019	Other types of O-glycan biosynthesis	2/29	0.01792819487120334	0.08814695811674976	0.023231573160081086	0.11718315317603893	-12.195171604869909	49.04142739435195	lfng;mfng
KEGG_2019	Phototransduction	2/37	0.028347115732619527	0.11946284487318225	0.03562036961327942	0.15011441479882037	-9.425437757098187	33.58500250203528	gnb1a;calml4a
KEGG_2019	Steroid hormone biosynthesis	1/37	0.23193079152102744	0.40180705678079287	0.2543614716113206	0.4547674795475126	-19.984975760307965	29.20437011876413	hsd17b7
KEGG_2019	Necroptosis	5/174	0.00809956158544949	0.08814695811674976	0.011370690069145201	0.11718315317603893	-4.161714766101662	20.042590850953733	stat3;tnfsf10;jak2b;bcl2b;hsp90aa1.2
KEGG_2019	Protein export	1/22	0.14515900627625114	0.3510955835693919	0.16257587083894584	0.414870181421705	-9.745105049544518	18.807327148234226	hspa5
KEGG_2019	p53 signaling pathway	3/77	0.01749103894191383	0.08814695811674976	0.022977151576404984	0.11718315317603893	-4.395033289601919	17.782597353512646	rprma;adgrb1a;bcl2b
KEGG_2019	Apoptosis	6/161	0.0010306419923636037	0.03040393877472633	0.0015768695020138073	0.04651765030940732	-2.5245849735209203	17.363018402746466	tuba1a;tuba1c;tnfsf10;nfkbiab;ctsk;bcl2b
KEGG_2019	Toll-like receptor signaling pathway	2/96	0.14876931507177643	0.3510955835693919	0.17282523582586706	0.414870181421705	-8.508492828074116	16.211728228252262	nfkbiab;ctsk
KEGG_2019	Pentose phosphate pathway	1/33	0.2096858141270197	0.39907945269336004	0.23089500634741306	0.4540935124832456	-9.975247992442132	15.582783693149114	aldocb
KEGG_2019	Protein processing in endoplasmic reticulum	5/176	0.008486192367850191	0.08814695811674976	0.011892454867590632	0.11718315317603893	-2.955133410902388	14.093961700567936	dnajc5b;hspa5;bcl2b;hsp70l;hsp90aa1.2
KEGG_2019	AGE-RAGE signaling pathway in diabetic complications	4/123	0.011534070507106434	0.08814695811674976	0.015732210858582656	0.11718315317603893	-3.1006047527871616	13.8362935886243	plcb3;stat3;jak2b;bcl2b
KEGG_2019	Melanogenesis	4/137	0.016545448068240248	0.08814695811674976	0.022230523613106668	0.11718315317603893	-2.6932063175991208	11.046574223298288	plcb3;fzd6;fzd7b;calml4a
KEGG_2019	RIG-I-like receptor signaling pathway	1/61	0.3529297706485586	0.4732467379151126	0.38114427022458325	0.5110798168920551	-9.203105751888288	9.584907562691075	nfkbiab
KEGG_2019	Phosphatidylinositol signaling system	2/108	0.17879445553220047	0.39069899542221603	0.20619447005524655	0.4355610271492741	-5.031602840448642	8.661997002404194	plcb3;calml4a
KEGG_2019	Glycolysis / Gluconeogenesis	2/77	0.10388596699254309	0.3488770279854947	0.1224416550210813	0.414870181421705	-3.7269893794720654	8.43962378417835	aldocb;eno1a
