Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	DNA replication	8/38	2.3364063117823385e-08	8.761523669183776e-07	6.078232545143742e-07	2.2793372044289057e-05	-68.01674216492331	1195.1947340702886	pcna;mcm7;rpa3;mcm2;rpa1;mcm5;mcm4;mcm3
KEGG_2019	Mismatch repair	3/22	0.002695625914155591	0.03361716847267566	0.007555405954134403	0.09444257442668004	-72.3389348714147	427.96617031922807	pcna;rpa3;rpa1
KEGG_2019	Fanconi anemia pathway	3/51	0.02777622126125817	0.16024743035341246	0.0580755484178173	0.3351082436949379	-79.8729881101809	286.23084133983	ube2t;rpa3;rpa1
KEGG_2019	Notch signaling pathway	9/60	6.933079610718936e-08	1.733269902679737e-06	1.4755618935431184e-06	3.6889047338577955e-05	-11.287856089525759	186.0732712513	lfng;mfng;her15.1;dla;dlc;hdac1;dlb;dld;dll4
KEGG_2019	Hedgehog signaling pathway	2/56	0.16185673661354028	0.35014659290805616	0.2457549617474132	0.5561873493990941	-91.99771556403792	167.53185821736224	kif3a;bcl2b
KEGG_2019	Arachidonic acid metabolism	2/47	0.12218874458563775	0.34339256493163417	0.19136701058964936	0.5561873493990941	-76.09129463659481	159.95823258785524	pla2g6;gpx2
KEGG_2019	Cell cycle	14/139	3.3006659042230162e-09	2.475499428167261e-07	1.4415596175962566e-07	1.0811697131971921e-05	-7.721264735152366	150.7896723413459	mad2l1;mcm2;cdk1;mcm5;mcm4;mcm3;pcna;tgfb1a;mcm7;plk1;hdac1;ccnb1;ccnb3;ccna2
KEGG_2019	Progesterone-mediated oocyte maturation	7/107	0.0004665065491205749	0.008746997796010774	0.002518388675874228	0.0472197876726418	-17.167312105398533	131.6773782340048	mad2l1;plk1;cdk1;ccnb1;ccnb3;ccna2;hsp90aa1.2
KEGG_2019	Homologous recombination	2/40	0.09334848385446533	0.31408732858808486	0.1504316995757486	0.5381702269170956	-51.89927860727357	123.0747615463426	rpa3;rpa1
KEGG_2019	Linoleic acid metabolism	1/17	0.19744448474454682	0.3760313702601524	0.25759294367779334	0.5561873493990941	-59.61056641564424	96.70609218679527	pla2g6
KEGG_2019	Oocyte meiosis	6/138	0.00892352267649749	0.0739750811208592	0.030235424662796846	0.25196187218997373	-18.35588253973797	86.62259350269369	mad2l1;plk1;fbxo5;cdk1;ccnb1;calml4a
KEGG_2019	RNA degradation	3/86	0.09904062317155067	0.31408732858808486	0.1786384114379332	0.5561873493990941	-26.89842747591165	62.195221256951704	exosc8;eno1a;cnot10
KEGG_2019	Phagosome	8/152	0.0007964668677717541	0.011947003016576323	0.0045001880637144396	0.06750282095571665	-8.037481279092066	57.35004132276225	tuba1a;atp6v0d1;tuba1c;atp6ap1b;dync1h1;canx;calr3a;sec61a1
KEGG_2019	Base excision repair	1/37	0.38057595785367077	0.5189672152550053	0.4673478868977248	0.649094287357951	-59.0	56.9981002156694	pcna
KEGG_2019	Steroid biosynthesis	1/19	0.21795547257808526	0.38015489403154396	0.2818015903622075	0.5561873493990941	-35.85521126825499	54.62414119469936	hsd17b7
KEGG_2019	Biosynthesis of unsaturated fatty acids	1/29	0.31293713918014365	0.48896427996897446	0.3916097094097811	0.6384940914289913	-45.12619790513864	52.425493173145135	hacd3
KEGG_2019	Intestinal immune network for IgA production	1/35	0.36431514666706927	0.5189672152550053	0.4493372107924309	0.649094287357951	-46.42405925036973	46.87604381585506	tgfb1a
KEGG_2019	Basal transcription factors	1/40	0.4041935207316279	0.5318335799100371	0.4932762587538495	0.6606378465453344	-46.68900526255132	42.293772527329686	taf5
KEGG_2019	Nucleotide excision repair	3/44	0.018853506476944632	0.1193995740376872	0.041169377804068076	0.2807003032095552	-10.582657767872305	42.02433046011194	pcna;rpa3;rpa1
KEGG_2019	Protein export	2/22	0.032087352099723174	0.1718965291056599	0.05808542890712258	0.3351082436949379	-11.388461718944942	39.16826056645077	sec63;sec61a1
KEGG_2019	Glutathione metabolism	2/58	0.1709652553435191	0.3561776152989981	0.2579629114820544	0.5561873493990941	-21.088975794645236	37.249350988068706	rrm2;gpx2
KEGG_2019	Other types of O-glycan biosynthesis	2/29	0.05320193749649126	0.23471443013157925	0.09097874564667852	0.4264628702188058	-11.660577022857378	34.20817380160741	lfng;mfng
KEGG_2019	Ether lipid metabolism	1/44	0.434293980080846	0.5520686187468381	0.5259137476119286	0.6800608805326663	-39.43219820297094	32.88777825221526	pla2g6
KEGG_2019	Pyrimidine metabolism	3/61	0.04376249261689906	0.2188124630844953	0.08696135192759977	0.4264628702188058	-10.490918837286536	32.82585593499182	rrm2;zgc:110540;dck
KEGG_2019	Fatty acid elongation	1/33	0.34762916914936703	0.5189672152550053	0.4307240238725289	0.649094287357951	-28.924277913438978	30.5619408312399	hacd3
KEGG_2019	Pentose phosphate pathway	2/33	0.06693529178755077	0.2642182570561217	0.11169731712097376	0.4927822814160606	-10.995559754369388	29.73231157275298	aldocb;prps1a
KEGG_2019	p53 signaling pathway	5/77	0.003137602390783061	0.03361716847267566	0.0107607665080302	0.11529392687175213	-4.804731102661991	27.69589391237341	rrm2;rprma;bcl2b;cdk1;ccnb1
KEGG_2019	alpha-Linolenic acid metabolism	1/18	0.20776609648119448	0.3760313702601524	0.2697965506035253	0.5561873493990941	-16.847469196430012	26.47314214519581	pla2g6
KEGG_2019	ECM-receptor interaction	3/79	0.08154655157975503	0.30579956842408146	0.15068766353678664	0.5381702269170956	-9.238530384483113	23.15712691709087	tnc;hmmr;agrn
