Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
KEGG_2019	Biosynthesis of unsaturated fatty acids	3/29	0.04552964347548989	0.5728082724546285	0.048257525171356286	0.5184455032385568	-75.27733236291498	232.56116280459224	acox1;elovl7a;elovl8b
KEGG_2019	Homologous recombination	4/40	0.02436331195941184	0.5067568887557663	0.025900590955006807	0.5184455032385568	-59.3278189484679	220.38367777178325	pold1;mre11a;rad51;rpa1
KEGG_2019	Ether lipid metabolism	3/44	0.12245760586836339	0.6371530750078646	0.11996212815948265	0.5958537102166458	-76.27632140994014	160.17954144497213	pld1a;pafah1b1b;lpcat1
KEGG_2019	Hedgehog signaling pathway	3/56	0.20301938092619595	0.704602393222919	0.19404230415039714	0.6748959666493519	-97.02079585691469	154.69517973335476	arrb2b;spopla;fbxw11b
KEGG_2019	Fatty acid elongation	3/33	0.06273814662648884	0.5728082724546285	0.06453666824526982	0.5184455032385568	-52.46387336689897	145.2612180006852	hadhaa;elovl7a;elovl8b
KEGG_2019	DNA replication	3/38	0.08780762729325493	0.5788226295168342	0.08793333149821779	0.5715666547384155	-59.33346957193497	144.33500812792303	pole4;pold1;rpa1
KEGG_2019	Mismatch repair	2/22	0.12342898304045742	0.6371530750078646	0.12604597716121355	0.5958537102166458	-64.54379102751226	135.0313761662818	pold1;rpa1
KEGG_2019	SNARE interactions in vesicular transport	3/42	0.1104058314931932	0.6371530750078646	0.10884754716113797	0.5958537102166458	-46.5835027372645	102.65104910521494	bet1l;vamp5;bet1
KEGG_2019	Base excision repair	2/37	0.2741960539047261	0.704602393222919	0.2660647560829175	0.6748959666493519	-75.0	97.04339274453352	pole4;pold1
KEGG_2019	Glycosaminoglycan degradation	1/21	0.446386408689211	0.738155131450042	0.4375157893300242	0.7222482871479764	-86.0	69.36504707824221	ids
KEGG_2019	Glutathione metabolism	4/58	0.0771088059073538	0.5728082724546285	0.07495581200900064	0.5568146034954337	-26.37804861135973	67.59474641500296	gstt1a;gstt1b;gsr;gpx8
KEGG_2019	Metabolism of xenobiotics by cytochrome P450	2/37	0.2741960539047261	0.704602393222919	0.2660647560829175	0.6748959666493519	-49.574247015280115	64.14470830824463	gstt1a;gstt1b
KEGG_2019	N-Glycan biosynthesis	4/54	0.06254004387632854	0.5728082724546285	0.061593887193851504	0.5184455032385568	-22.512847061805946	62.40444646123418	alg9;mgat1a;stt3a;tusc3
KEGG_2019	Cytosolic DNA-sensing pathway	2/42	0.3257537012096332	0.7341579836670432	0.3141210535171723	0.7070770407368264	-49.42342141214414	55.43398660243447	tbk1;nfkbiaa
KEGG_2019	Citrate cycle (TCA cycle)	2/34	0.2431207383153292	0.704602393222919	0.23718914202634916	0.6748959666493519	-29.89380677719822	42.27573465925554	aclya;idh3a
KEGG_2019	Spliceosome	10/134	0.004222654950020692	0.219578057401076	0.003843051868569604	0.19983869716561947	-7.549885304140576	41.27742158762503	magoh;acin1b;tra2a;snrnp27;srsf4;puf60a;srsf1a;sf3b1;hnrnpub;rbmx
KEGG_2019	RIG-I-like receptor signaling pathway	4/61	0.0890496353102822	0.5788226295168342	0.08586078934407224	0.5715666547384155	-15.72517512806829	38.032301016179275	tbk1;otud5a;nfkbiaa;atg5
KEGG_2019	Fanconi anemia pathway	2/51	0.41559682954832416	0.738155131450042	0.39849624443161613	0.7075569346949404	-41.32165250867929	36.28204924000439	rad51;rpa1
KEGG_2019	Fatty acid biosynthesis	1/16	0.36265759297133576	0.738155131450042	0.35881185067562993	0.7075569346949404	-35.4957865693734	36.00324001093423	acsl4a
KEGG_2019	Fatty acid degradation	3/45	0.128655909376588	0.6371530750078646	0.12567135383846512	0.5958537102166458	-15.963315563088427	32.73459530813885	hadhaa;acox1;acsl4a
KEGG_2019	mRNA surveillance pathway	4/88	0.22813885075400114	0.704602393222919	0.21240057312878982	0.6748959666493519	-20.82332365285458	30.77272520357436	magoh;acin1b;msi2b;ssu72
KEGG_2019	beta-Alanine metabolism	2/35	0.2534726983284504	0.704602393222919	0.24680253806853922	0.6748959666493519	-22.377149618679514	30.712619069431227	hadhaa;smox
KEGG_2019	Proteasome	4/55	0.06603401053230165	0.5728082724546285	0.0648056879048196	0.5184455032385568	-10.631830323881957	28.892906423167144	pomp;psme2;psmb3;psmb6
KEGG_2019	Mucin type O-glycan biosynthesis	2/29	0.19183185208646594	0.704602393222919	0.1896081420663476	0.6748959666493519	-17.246700515661068	28.476649155507808	galnt2;gcnt4a
KEGG_2019	Amino sugar and nucleotide sugar metabolism	2/57	0.4720761550120864	0.7553218480193381	0.4520680414304549	0.7233088662887278	-31.82422681894407	23.887740774044786	uap1;tsta3
KEGG_2019	Steroid biosynthesis	1/19	0.4143002543844154	0.738155131450042	0.4072573178838383	0.7075569346949404	-25.955429040574145	22.870997874137675	msmo1
KEGG_2019	Butanoate metabolism	1/24	0.49125559310856765	0.774099722474107	0.4800494835249113	0.7463725276276512	-31.486398983763603	22.380240531358652	hadhaa
KEGG_2019	Cysteine and methionine metabolism	2/51	0.41559682954832416	0.738155131450042	0.39849624443161613	0.7075569346949404	-23.619195586075048	20.738590187874824	ldha;ahcyl1
KEGG_2019	Nucleotide excision repair	3/44	0.12245760586836339	0.6371530750078646	0.11996212815948265	0.5958537102166458	-9.865128637073271	20.716675269241982	pole4;pold1;rpa1
KEGG_2019	p53 signaling pathway	6/77	0.020048711222450243	0.5067568887557663	0.01966033134210277	0.5111686148946721	-5.112004462457045	19.985843599180342	gorab;casp3a;ptenb;cdkn1a;cycsb;mdm4
KEGG_2019	Apoptosis	13/161	0.0005690957270061401	0.05918595560863857	0.0005041424092658494	0.052430810563648324	-2.6456681856801967	19.767009051254234	ctss2.2;pik3r3b;tnfsf10;ctsba;map2k2a;casp3a;capn1a;hdr;nfkbiaa;cycsb;lmnb2;lmnb1;casp7
KEGG_2019	Other types of O-glycan biosynthesis	2/29	0.19183185208646594	0.704602393222919	0.1896081420663476	0.6748959666493519	-10.698306775234816	17.664360108747253	pofut1;b3glcta
KEGG_2019	Phagosome	8/152	0.06174521414824426	0.5728082724546285	0.05387313877349905	0.5184455032385568	-6.1940222701259975	17.248734206551863	hbl2;atp6v1f;atp6v1ba;ctss2.2;atp6v0ca;cyba;sec61a1l;rab5aa
KEGG_2019	TGF-beta signaling pathway	5/107	0.1766822266903311	0.704602393222919	0.16187004961051119	0.6748959666493519	-9.444371335339897	16.370896783277633	tgfb1a;id4;bambia;id2b;smad7
KEGG_2019	Intestinal immune network for IgA production	1/35	0.6268709070637152	0.856749277475782	0.6104151058912004	0.8244567663985048	-34.264244163722374	16.001903975007437	tgfb1a
KEGG_2019	Ferroptosis	2/45	0.3562498256540432	0.738155131450042	0.34265949032190934	0.7075569346949404	-13.116763854710474	13.538114142601485	acsl4a;atg5
KEGG_2019	Notch signaling pathway	3/60	0.2321569372565579	0.704602393222919	0.22086339930725202	0.6748959666493519	-8.709705135786711	12.71914545046618	dvl3a;ctbp1;tle3a
KEGG_2019	PPAR signaling pathway	3/66	0.27707858061240837	0.704602393222919	0.2623366232330114	0.6748959666493519	-9.294998375210014	11.929704039104186	acox1;fabp2;acsl4a
KEGG_2019	Propanoate metabolism	2/32	0.22248104105623714	0.704602393222919	0.21803493200069676	0.6748959666493519	-7.13180596806738	10.718486682452694	hadhaa;ldha
KEGG_2019	alpha-Linolenic acid metabolism	1/18	0.3975676986734551	0.738155131450042	0.39152711401783763	0.7075569346949404	-10.024329461122548	9.246341735427542	acox1
KEGG_2019	Glycosaminoglycan biosynthesis	1/61	0.8208080342142867	0.9178928554654392	0.8035014203927516	0.8912127332332763	-46.6890052625513	9.219491876109254	chst2a
KEGG_2019	Arachidonic acid metabolism	1/47	0.7339932264756663	0.9084213499110215	0.7158305952270806	0.8798885776539115	-28.37203185426558	8.774206291221777	gpx8
KEGG_2019	Non-homologous end-joining	1/14	0.32572835075571366	0.7341579836670432	0.32434964232357383	0.7070770407368264	-7.508276013864876	8.421969571186121	mre11a
KEGG_2019	ABC transporters	2/38	0.2845509664938713	0.704602393222919	0.2756997988753974	0.6826852162628891	-6.394468317435929	8.036842087221741	abcc5;abcb10
KEGG_2019	FoxO signaling pathway	10/165	0.017030923235508727	0.5067568887557663	0.014528680262199445	0.5036609157562473	-1.9700938663090344	8.023649701368468	plk3;sgk2a;tgfb1a;pik3r3b;ptenb;stat3;tnfsf10;cdkn1a;map2k2a;sgk1
KEGG_2019	One carbon pool by folate	1/18	0.3975676986734551	0.738155131450042	0.39152711401783763	0.7075569346949404	-7.614165050382444	7.023230068288382	mthfd2
KEGG_2019	Protein processing in endoplasmic reticulum	9/176	0.05730528775265223	0.5728082724546285	0.04880388825044911	0.5184455032385568	-1.7939807936519407	5.129641187546531	edem1;ube2g1a;capn1a;ssr1;stt3a;preb;tusc3;sec61a1l;dnajb12a
KEGG_2019	C-type lectin receptor signaling pathway	5/120	0.24074971656802444	0.704602393222919	0.2197845107803171	0.6748959666493519	-3.0058756233824515	4.2803590892292585	plk3;pak1;pik3r3b;nfkbiaa;nfkb2
KEGG_2019	Fructose and mannose metabolism	1/42	0.6937052211272682	0.9084213499110215	0.6758805424486773	0.869316877204071	-8.509725857999241	3.1120762037381033	tsta3
KEGG_2019	Arginine and proline metabolism	1/61	0.8208080342142867	0.9178928554654392	0.8035014203927516	0.8912127332332763	-13.141729669392664	2.5950450056422745	smox
KEGG_2019	Protein export	1/22	0.46176533372673717	0.750368667305948	0.4520644235989325	0.7233088662887278	-2.25870244449814	1.7452958837471555	sec61a1l
KEGG_2019	Cellular senescence	9/184	0.0714872465346463	0.5728082724546285	0.06070325154747769	0.5184455032385568	-0.39329193825337777	1.0375970347000771	tgfb1a;pik3r3b;mre11a;ptenb;capn1a;cdkn1a;map2k2a;ccna2;fbxw11b
KEGG_2019	VEGF signaling pathway	3/76	0.3532402990631762	0.738155131450042	0.33314206727023554	0.7070770407368264	-0.7008782529950626	0.729338619795433	pik3r3b;vegfab;map2k2a
KEGG_2019	mTOR signaling pathway	9/186	0.07534469209489919	0.5728082724546285	0.06394602641335598	0.5184455032385568	-0.27704520873824195	0.7163507539350259	dvl3a;atp6v1f;atp6v1ba;fzd2;pik3r3b;ptenb;map2k2a;lamtor5;sgk1
