,cluster,correlation,order,gene
ENSDARG00000079779,0,pos,0.08750000000000001,radil
ENSDARG00000058471,1,pos,0.08750000000000001,plk1
ENSDARG00000074379,1,pos,0.08750000000000001,knstrn
ENSDARG00000078898,0,pos,0.2625,pcdh7a
ENSDARG00000037256,0,pos,0.3875,si:ch211-145b13.5
ENSDARG00000012896,1,pos,0.0125,anos1a
ENSDARG00000012763,0,pos,0.2625,arl13b
ENSDARG00000052866,0,pos,0.48750000000000004,htt
ENSDARG00000018325,0,neg,0.2625,taf5
ENSDARG00000076420,0,neg,0.41250000000000003,dkk2
ENSDARG00000010791,1,pos,0.0125,dla
ENSDARG00000042561,0,neg,0.9625000000000001,lpar2b
ENSDARG00000058868,0,neg,0.9625000000000001,apc
ENSDARG00000104314,0,neg,0.4625,nrg1
ENSDARG00000025011,0,pos,0.3875,synj1
ENSDARG00000011240,0,pos,0.3875,ift46
ENSDARG00000068755,1,pos,0.0125,exosc8
ENSDARG00000054155,1,pos,0.0125,pcna
ENSDARG00000034624,1,pos,0.08750000000000001,nuf2
ENSDARG00000009727,0,pos,0.3875,twf2b
ENSDARG00000070601,0,pos,0.3875,RASSF5
ENSDARG00000102773,0,pos,0.3875,cacna1da
ENSDARG00000054562,1,pos,0.0125,her15.1
ENSDARG00000099903,0,pos,0.16250000000000003,si:ch211-193l2.10
ENSDARG00000098359,0,neg,0.6875,il17rd
ENSDARG00000019274,0,pos,0.16250000000000003,rasd1
ENSDARG00000096616,0,pos,0.16250000000000003,si:ch211-255p10.3
ENSDARG00000042826,0,neg,0.41250000000000003,egr2b
ENSDARG00000026294,0,neg,0.41250000000000003,erbb2
ENSDARG00000099742,0,neg,0.0125,heatr1
ENSDARG00000089223,0,neg,0.5375000000000001,ngfrb
ENSDARG00000091150,1,pos,0.1125,mki67
ENSDARG00000024488,1,pos,0.08750000000000001,top2a
ENSDARG00000045167,1,pos,0.1125,dlgap5
ENSDARG00000038991,0,neg,0.2625,nsfb
ENSDARG00000075621,1,pos,0.08750000000000001,birc5a
ENSDARG00000045038,0,pos,0.3875,tekt3
ENSDARG00000100244,0,neg,0.7125000000000001,ebf3a
ENSDARG00000099093,0,neg,0.7125000000000001,dock1
ENSDARG00000032578,0,pos,0.3875,pax2b
ENSDARG00000104347,0,pos,0.9625000000000001,rtn4b
ENSDARG00000020219,1,pos,0.08750000000000001,dld
ENSDARG00000057738,1,pos,0.0125,hells
ENSDARG00000040534,1,pos,0.0125,epcam
ENSDARG00000069865,0,pos,0.3875,grxcr1b
ENSDARG00000039701,0,pos,0.3875,emx2
ENSDARG00000079011,0,neg,0.4625,col17a1b
ENSDARG00000028148,0,pos,0.2625,pax2a
ENSDARG00000069329,0,pos,0.3875,drgx
ENSDARG00000006181,0,pos,0.08750000000000001,hif1aa
