Gene1	Gene2	EdgeWeight
g0	g0	1.0
g53	g53	1.0
g40	g40	1.0
g41	g41	1.0
g1	g1	1.0
g43	g43	1.0
g44	g44	1.0
g45	g45	1.0
g46	g46	1.0
g47	g47	1.0
g48	g48	1.0
g49	g49	1.0
g5	g5	1.0
g50	g50	1.0
g51	g51	1.0
g52	g52	1.0
g54	g54	1.0
g39	g39	1.0
g55	g55	1.0
g56	g56	1.0
g57	g57	1.0
g58	g58	1.0
g59	g59	1.0
g6	g6	1.0
g60	g60	1.0
g61	g61	1.0
g62	g62	1.0
g63	g63	1.0
g64	g64	1.0
g7	g7	1.0
g8	g8	1.0
g9	g9	1.0
g4	g4	1.0
g42	g42	1.0
g38	g38	1.0
g23	g23	1.0
g10	g10	1.0
g11	g11	1.0
g12	g12	1.0
g13	g13	1.0
g14	g14	1.0
g15	g15	1.0
g16	g16	1.0
g17	g17	1.0
g18	g18	1.0
g19	g19	1.0
g37	g37	1.0
g20	g20	1.0
g21	g21	1.0
g22	g22	1.0
g2	g2	1.0
g24	g24	1.0
g31	g31	1.0
g36	g36	1.0
g35	g35	1.0
g25	g25	1.0
g33	g33	1.0
g32	g32	1.0
g34	g34	1.0
g30	g30	1.0
g3	g3	1.0
g29	g29	1.0
g28	g28	1.0
g27	g27	1.0
g26	g26	1.0
g30	g2	0.3438376022403061
g2	g30	0.3438376022403061
g17	g12	0.31938613222075296
g12	g17	0.31938613222075296
g36	g14	0.279022900467524
g14	g36	0.279022900467524
g18	g47	0.277468369516513
g47	g18	0.277468369516513
g5	g9	-0.268453816648946
g9	g5	-0.268453816648946
g3	g39	0.263090721441537
g39	g3	0.263090721441537
g17	g22	0.26241268115614397
g22	g17	0.26241268115614397
g46	g36	0.250296197678188
g36	g46	0.250296197678188
g41	g14	0.24716539672842303
g14	g41	0.247165396728422
g45	g64	-0.24544371634875398
g64	g45	-0.24544371634875398
g41	g13	0.241536482702167
g13	g41	0.241536482702167
g64	g13	0.231087523002077
g13	g64	0.231087523002077
g2	g56	0.23091084934881895
g56	g2	0.23091084934881895
g45	g39	0.22875631941701002
g39	g45	0.22875631941701002
g45	g3	0.226669989258327
g3	g45	0.226669989258327
g50	g6	0.218634439587627
g6	g50	0.218634439587627
g13	g18	0.217167309719831
g18	g13	0.217167309719831
g56	g3	0.21546920955668603
g3	g56	0.21546920955668603
g60	g23	0.214353773278518
g23	g60	0.214353773278518
g22	g42	-0.213713664450817
