Gene1	Gene2	EdgeWeight
g32	g15	1.0
g38	g29	0.8696645243499009
g33	g18	0.869012882910465
g25	g46	0.813553273271515
g25	g14	0.797665977698588
g21	g20	0.78047946533448
g33	g47	0.764702469464331
g25	g41	0.732322238889424
g9	g20	0.7219876685719749
g54	g57	0.701524329733751
g51	g14	0.649147479553277
g54	g15	0.645672488074265
g33	g51	0.645147038907313
g60	g18	0.64396318155212
g21	g13	0.6183850716160451
g21	g53	0.616755027086381
g15	g57	0.590333245618668
g51	g46	0.58788581356168
g33	g11	0.585451830708021
g10	g20	0.571268878166493
g27	g57	0.568044277968842
g33	g37	0.564791596301158
g21	g57	0.559946308654937
g29	g29	0.556201276622269
g42	g17	0.5547003258358439
g41	g29	0.536863152248439
g52	g29	0.517080602501505
g11	g20	0.516919462355702
g21	g18	0.514763956572579
g14	g29	0.50052306246394
g60	g11	0.49203726120537805
g9	g17	0.487296008110464
g53	g17	0.48089586547247
g16	g15	0.479658119815927
g53	g20	0.476642659375249
g10	g47	0.474861030413617
g48	g57	0.46443308938474
g19	g57	0.46159400822791496
g9	g13	0.457944943327619
g36	g29	0.45167236687797496
g32	g57	0.45062112086489
g46	g29	0.443316953237181
g5	g57	0.437319054259113
g41	g14	0.4345787162797079
g9	g18	0.434526650003118
g9	g47	0.4339566844242
g13	g14	0.431990592451225
g38	g14	0.424992723183663
g33	g13	0.42305903382103993
g40	g53	0.415423961596255
g29	g14	0.413359461913466
g58	g15	0.40983011330515295
g58	g57	0.40862691685422897
g33	g25	0.407486610887796
g21	g11	0.404836496184376
g11	g17	0.398877936470151
g40	g18	0.39721901633343304
g13	g20	0.39119150752287896
g55	g53	0.39067297877957297
g47	g14	0.38792235220860205
g10	g17	0.382361311269388
g8	g57	0.377834672259541
g51	g41	0.37762740613665297
g9	g53	0.37704038762067
g7	g57	0.37658842479331106
g6	g57	0.374481092087232
g16	g57	0.370196223108323
g10	g13	0.367721462189195
g10	g18	0.36702358681279496
g15	g53	0.366655548713622
g33	g17	0.36247506668330604
g51	g29	0.3598931221387371
g58	g5	0.35963941426230395
g11	g14	0.3566364595440061
g53	g47	0.3557865210062379
g40	g17	0.355767540989057
g44	g41	0.353284339271609
g48	g15	0.35296175126911
g40	g13	0.35173831279324097
g13	g29	0.3512732751895
g60	g13	0.351052948462659
g21	g17	0.348547845504013
g51	g36	0.34771246515779597
g16	g41	0.346150318788279
g44	g46	0.345489134961964
g44	g14	0.34356803477393605
g14	g14	0.34257458794078105
g42	g20	0.341449285229721
g40	g20	0.339536537043641
g60	g53	0.333688554724846
g25	g29	0.33281082688743496
g47	g46	0.330691785472081
g26	g53	0.32955064066375606
g5	g15	0.32852076279153997
g26	g37	0.32713665378552004
g10	g37	0.32672678403051
g21	g47	0.32310439408769204
g11	g41	0.322983323165998
g51	g20	0.322465075507192
g59	g47	0.321191656271453
g6	g15	0.3166461438805
g9	g37	0.31578043406427697
g17	g14	0.314468593212311
g8	g53	0.31020655271065006
g13	g46	0.30816586159438597
g61	g57	0.305834781803181
g57	g17	0.305144127547556
g32	g5	0.30504095282425503
g15	g20	0.302760647741983
