TF	target	importance
g45	g3	105.43021226357385
g45	g39	94.26759062224558
g46	g36	87.02230858635151
g36	g46	85.72178560246428
g41	g36	84.4616535378107
g39	g45	80.13756234714923
g56	g30	76.97425041166889
g14	g46	74.68751875083093
g2	g30	72.37157783506085
g41	g14	72.1686717925307
g30	g56	70.7177404545812
g12	g17	69.37420559770112
g14	g41	68.94823416271171
g2	g1	66.86749208414278
g39	g3	66.0211982448725
g4	g45	62.88595077678506
g3	g39	61.93572753879159
g50	g6	59.19490511079406
g6	g50	58.08171563618532
g4	g39	56.94508252233491
g14	g36	56.188303082887806
g56	g2	56.18066218926191
g3	g45	56.0305180831051
g3	g4	54.45534666479581
g12	g22	53.093966329162036
g47	g18	51.98789387203662
g1	g30	51.74934196468395
g1	g2	50.77045197869141
g4	g3	50.38894352349014
g2	g56	50.14279982295148
g1	g6	50.02365883220996
g12	g20	48.647325206989215
g47	g13	48.234333049656
g18	g13	45.938205848617244
g5	g4	45.64460435089021
g1	g50	45.167342602914005
g30	g2	44.86044566555602
g20	g22	44.627238447644885
g41	g18	44.444327192225366
g13	g47	43.624870201438604
g18	g47	43.173601183844134
g36	g41	43.058528391480024
g3	g30	42.6881786604484
g20	g12	42.33075073452179
g17	g12	42.15657688179178
g20	g17	42.031427759860954
g22	g12	41.12910944958865
g45	g4	40.71015106895133
g46	g14	40.67923650915321
g47	g14	40.59665328419416
g14	g18	40.51717858941099
g50	g1	40.23573757134679
g56	g50	40.21987334932566
g41	g13	39.806263132120016
g36	g14	39.274024711541436
g17	g22	37.99484222074621
g56	g39	37.35190892652278
g13	g18	37.0677605776124
g6	g1	37.05793747411317
g1	g56	36.77154366881511
g3	g56	36.76412345533661
g18	g46	36.69698557649313
g22	g17	36.18287825121759
g41	g12	36.13511739788099
g18	g22	35.380148737050256
g13	g14	35.232575378452786
g14	g13	34.829521370084485
g3	g2	34.71618766687836
g17	g13	34.646991768475736
g30	g3	34.19572090538457
g47	g22	34.09110088453414
g17	g20	33.96441733451718
g41	g46	33.84685028978645
g22	g47	32.83976031666901
g47	g46	32.81824997196016
g31	g40	31.890808131259433
g2	g6	31.75651582419884
g22	g20	31.38680082630644
g4	g5	31.16093404309255
g40	g31	30.987232725013474
g2	g3	30.288456892049826
g6	g2	29.958393282351896
g47	g12	29.946293628298886
g31	g57	29.602901796533747
g18	g36	29.529464033436696
g45	g56	29.45204064341643
g30	g1	29.368043299593825
g13	g41	29.133865804390012
g41	g47	29.0389949057238
g54	g5	28.82273646942659
g50	g61	28.488848222293683
g45	g2	28.45935498231361
g18	g17	28.12915227521114
g47	g41	27.97441428602359
g47	g36	27.76992251653332
g18	g20	27.560194794678182
g56	g45	27.336087376460657
g11	g59	27.26958994282062
g13	g36	27.224519615708857
g30	g45	27.156866997753628
g59	g31	26.385351818123123
g17	g36	26.126727865625778
g31	g59	25.983241686793004
g50	g2	25.407193853716656
g5	g39	25.03449371030238
