TF	target	importance
g39	g45	0.2246616468270852
g46	g36	0.22232411895702536
g45	g39	0.2113178725099352
g56	g30	0.20305437470904408
g36	g46	0.1994740931864458
g30	g56	0.18545142326722985
g18	g47	0.1822176439268216
g39	g3	0.17568854479493454
g45	g3	0.17355331064566096
g3	g39	0.17121488325757322
g4	g5	0.17110309305121105
g30	g2	0.16784115802120458
g2	g56	0.16486884837711063
g3	g45	0.16342775007889557
g2	g30	0.16160612166698993
g2	g1	0.1610369731860474
g56	g2	0.1574927341117214
g14	g41	0.15680936512138716
g14	g46	0.15487498165895172
g12	g22	0.14960889571062924
g47	g18	0.14815403043015637
g5	g4	0.14751528325822766
g36	g14	0.14626429671946992
g13	g47	0.14603445413303986
g50	g6	0.14454081815973244
g46	g14	0.14420526942668327
g12	g17	0.1429740880744036
g17	g12	0.1425194290725717
g20	g12	0.14239117592942316
g36	g41	0.1420429415545561
g18	g13	0.14203214473410222
g22	g12	0.14145098550897647
g41	g14	0.1401500773091535
g17	g22	0.1389921757028413
g1	g50	0.1387205794166861
g6	g50	0.13747309134522565
g17	g20	0.13666786818531354
g22	g20	0.13631716133846983
g22	g17	0.13419621226138295
g20	g22	0.13000521271301133
g12	g20	0.12547946148941003
g13	g18	0.12527673909048023
g47	g13	0.12512440665058686
g14	g36	0.12332310793234626
g1	g6	0.12180282812443989
g41	g18	0.12176251319318493
g41	g36	0.11547335131141682
g14	g13	0.11540841985024941
g3	g2	0.11473133318464875
g46	g41	0.11464759903450308
g20	g17	0.11421930535393147
g1	g2	0.11302760035746916
g3	g4	0.10847218225207007
g13	g41	0.10844879944328192
g41	g47	0.10748654980825276
g4	g3	0.1066836218065361
g50	g1	0.10604071224438281
g41	g46	0.10546822859221477
g6	g1	0.10533631833210948
g59	g31	0.10412590257505726
g2	g3	0.10359428264132803
g45	g4	0.10318964630434448
g41	g13	0.1018016287377084
g14	g18	0.09955679922746219
g18	g41	0.09888526634384948
g13	g14	0.09689548865417506
g56	g1	0.09530261355484591
g14	g47	0.09382112651793025
g18	g12	0.09340535726998896
g10	g40	0.09314476517147595
g1	g30	0.09095414038204395
g11	g10	0.08797012895885514
g30	g1	0.08725638877045097
g47	g41	0.08610068437274979
g18	g20	0.0858747699161727
g40	g10	0.0851896616747246
g4	g39	0.08481024015287913
g18	g14	0.08456925618323557
