SourceGENES,TargetGENES,Interaction,Edges
g39,g49,1,activation
g39,g60,0.710228904252736,activation
g39,g0,0.528826909093821,activation
g39,g34,0.522664381914291,repression
g22,g40,0.517792022234036,activation
g50,g60,0.516913645620376,repression
g2,g60,0.490193980094649,activation
g39,g44,0.471539726848589,activation
g61,g60,0.45955641199457,repression
g22,g31,0.453553668069631,activation
g61,g42,0.448232768759538,repression
g61,g52,0.445425808763538,repression
g19,g60,0.41811428357331,repression
g39,g28,0.406589978777872,activation
g39,g24,0.39126458098414,repression
g61,g54,0.387251373891208,activation
g6,g60,0.368260189551597,repression
g26,g49,0.364952027675585,activation
g45,g60,0.360031325660598,repression
g1,g16,0.352490126390195,activation
g15,g60,0.352442232171907,repression
g6,g49,0.34925120910936,activation
g50,g27,0.349200741841089,activation
g2,g0,0.347420536260263,activation
g56,g60,0.346849806388226,repression
g3,g60,0.329760145241769,repression
g22,g57,0.32629745112177,repression
g61,g0,0.313242999653009,repression
g26,g60,0.310286946561791,repression
g46,g31,0.306329192401242,activation
g61,g25,0.299426865310902,repression
g3,g49,0.295581824915746,repression
g6,g0,0.293380613370252,repression
g15,g42,0.292897571434229,activation
g61,g24,0.289666693488834,activation
g26,g16,0.288810152468996,repression
g1,g54,0.28836173706782,activation
g2,g49,0.286287093704026,repression
g50,g8,0.284887320109798,repression
g19,g16,0.282069455268979,repression
g61,g27,0.280865676343026,repression
g48,g57,0.278449571356675,repression
g61,g38,0.278088900889163,activation
g50,g54,0.275652372754739,repression
g50,g0,0.271085605851367,repression
g31,g62,0.270161044794133,repression
g61,g58,0.269486923531571,activation
g39,g64,0.26835725739754,repression
g45,g49,0.267640938821216,repression
g48,g60,0.265535773896745,activation
g50,g42,0.261670724193053,activation
g61,g53,0.261199797026635,repression
g45,g0,0.260204096136436,repression
g61,g51,0.259218223371849,repression
g1,g17,0.258675908465404,activation
g22,g21,0.257982360757796,activation
g48,g16,0.256872552680103,activation
g1,g60,0.251785577006414,activation
g61,g36,0.251259520726199,repression
g2,g34,0.251018413489687,repression
g22,g55,0.250076042398262,repression
g22,g20,0.248108047300304,activation
g48,g52,0.244981003861355,repression
g61,g28,0.242367256243984,activation
g3,g0,0.238214372035756,activation
g1,g37,0.237505372020365,activation
g25,g49,0.235300189213862,repression
g9,g60,0.234773616242735,activation
g50,g5,0.23111687764538,activation
g26,g62,0.228191787522788,repression
g1,g58,0.227318121342301,activation
g6,g58,0.226748790872598,activation
g48,g29,0.226033159842546,repression
g1,g52,0.22588625406425,repression
g1,g42,0.220341163556851,repression
g50,g16,0.2197048576593,activation
g45,g34,0.217783752676421,repression
g6,g24,0.216426027001746,repression
g2,g24,0.215663373995771,repression
g27,g52,0.213652202038431,repression
g39,g29,0.213603725385138,activation
g2,g5,0.212045138182408,repression
g6,g34,0.21130865133835,repression
g1,g5,0.21120854302528,repression
g1,g32,0.210473881518905,activation
g48,g0,0.210436602784859,activation
g27,g42,0.208404491905961,activation
g56,g0,0.207455396112318,repression
g2,g29,0.206184556668633,activation
g2,g27,0.205645568693098,activation
g22,g22,0.20507442830647,activation
g46,g22,0.205007007850703,repression
g15,g27,0.204654151920164,repression
g48,g17,0.204496410856479,activation
g2,g58,0.2038462602685,activation
g39,g5,0.203569292359464,activation
g2,g44,0.203334326040839,repression
g61,g34,0.202563324125802,activation
g31,g40,0.201666532546438,repression
g39,g39,0.201164179539734,activation
g48,g36,0.200956405968599,repression
g31,g21,0.199975014529329,repression
g1,g24,0.199857957599857,repression
g3,g34,0.199468413179672,repression
g46,g40,0.198902851482311,repression
g39,g56,0.19724026609472,activation
g6,g54,0.197234592218796,repression
g6,g44,0.196718973212843,activation
g39,g58,0.195657917270236,repression
g48,g42,0.195580496034599,activation
g50,g34,0.194387195451772,activation
g6,g5,0.194332844903921,repression
g22,g41,0.194103760866501,activation
g61,g29,0.193022888246211,activation
g39,g30,0.192965068737732,activation
g6,g53,0.190909730027877,repression
g9,g8,0.188359889366261,activation
g1,g38,0.188124859354562,activation
g19,g42,0.187931386789452,repression
g39,g52,0.18706259146476,repression
g61,g10,0.185267878237563,activation
g61,g32,0.184652844493555,activation
g2,g16,0.184308897914642,activation
g2,g52,0.18390794680473,activation
g58,g62,0.183616775731606,activation
g50,g52,0.183577257819785,activation
g26,g34,0.183339684598825,repression
g19,g34,0.183161497036567,repression
g19,g0,0.182921506496915,repression
g6,g29,0.182283535272814,repression
g48,g44,0.182006188999728,repression
g8,g60,0.181117481183411,repression
g2,g28,0.180168740607899,repression
g50,g24,0.179446483237676,activation
g25,g62,0.178930657908406,activation
g39,g3,0.178622910198187,activation
g39,g45,0.177600860142627,activation
g22,g59,0.177515776942247,activation
g61,g5,0.177362397089531,repression
g1,g29,0.176415909616036,repression
g39,g26,0.176045002444206,activation
g15,g52,0.17568686099194,repression
g56,g49,0.175075095815983,repression
g31,g57,0.175040183451901,repression
g56,g34,0.174972184011552,activation
g58,g49,0.17423494466117,repression
g39,g2,0.172925623519707,activation
g1,g57,0.172923822396156,activation
g19,g49,0.171531628632268,repression
g61,g23,0.171183352742396,repression
g6,g28,0.170942180062907,activation
g2,g54,0.169684344345201,activation
g50,g58,0.168858859980298,repression
g19,g27,0.167667987748978,repression
g48,g27,0.166147116700188,repression
g1,g12,0.165454948777394,repression
g15,g16,0.164646507371327,activation
g22,g17,0.164116147539245,activation
g50,g37,0.164018320226592,repression
g1,g0,0.163724918415441,repression
g9,g16,0.163275435023567,activation
g1,g36,0.162050149318597,repression
g2,g32,0.161603742934996,repression
g46,g20,0.160874147210086,activation
g15,g8,0.160281218847534,repression
g56,g27,0.158715300126146,repression
g19,g44,0.157208563669044,repression
g6,g32,0.156629776407502,repression
g48,g58,0.156398718107572,activation
g1,g23,0.155609260121231,activation
g40,g40,0.154582100955352,activation
g50,g32,0.154197029935153,activation
g53,g62,0.151991341717404,activation
g50,g38,0.151730092846508,repression
g50,g61,0.151225398784059,activation
g46,g47,0.151033879193932,repression
g26,g64,0.150850943282038,repression
g46,g49,0.150220293586075,repression
g22,g14,0.14993675945287,activation
g1,g27,0.148898958579795,activation
g27,g51,0.148708166616996,repression
g50,g63,0.147518785286557,repression
g48,g32,0.147062244882205,activation
g51,g49,0.146635050828285,repression
g27,g54,0.146058282450303,activation
g9,g64,0.145751256587116,repression
g19,g28,0.145549673071039,repression
g50,g1,0.145352347212609,activation
g45,g44,0.144773370312489,activation
g61,g11,0.144251244727906,repression
g19,g1,0.143690214429352,repression
g9,g63,0.143654011176725,activation
g56,g16,0.142848638099124,repression
g50,g23,0.142806610236084,repression
g54,g44,0.142702021374058,repression
g22,g18,0.141805564337311,activation
g9,g27,0.140849704433934,activation
g2,g53,0.140762100189122,activation
g50,g28,0.140598064693554,repression
g6,g52,0.140160250777534,repression
g1,g53,0.140049281143976,activation
g27,g24,0.138899324716047,activation
g50,g36,0.138734756034312,activation
g56,g5,0.1385703689188,repression
g25,g44,0.1383299993146,activation
g39,g16,0.138143404466958,activation
g61,g44,0.137865333719239,repression
g27,g17,0.137695301831926,repression
g48,g20,0.1367349117214,activation
g58,g44,0.135933404378379,activation
g25,g60,0.135314748688455,repression
g53,g60,0.135048154066687,repression
g22,g12,0.134975764260768,activation
g15,g0,0.133641697131388,activation
g27,g44,0.133006617684058,activation
g1,g10,0.132571364160103,activation
g1,g28,0.13240383014799,activation
g2,g38,0.132090856294538,activation
