Gene1	Gene2	EdgeWeight
g39	g45	0.2340784398842295
g45	g39	0.2225938715395721
g36	g46	0.21298861207658848
g30	g56	0.20418581217441573
g46	g36	0.20316908961727728
g56	g30	0.2005232184508186
g2	g30	0.19280565656405174
g56	g2	0.18678681671136896
g41	g14	0.1866077158696418
g2	g56	0.18562072319805065
g47	g18	0.1772617160611446
g30	g2	0.17686136726349355
g14	g41	0.17423212916908232
g3	g39	0.1727328148888838
g39	g3	0.1718633955835033
g3	g45	0.1670932006000635
g45	g3	0.1645775969406137
g47	g13	0.16083185563086486
g20	g17	0.15984304958146867
g22	g12	0.1540140139644008
g14	g46	0.1497943809898679
g22	g20	0.14410310463756235
g18	g47	0.14147007882854842
g14	g36	0.1412321698810268
g13	g47	0.13938419649875589
g5	g54	0.1393126529595339
g17	g20	0.13769802407632611
g5	g4	0.13676730327352496
g22	g17	0.1362598196296524
g12	g22	0.13013145502377546
g41	g36	0.1275399856564272
g20	g22	0.12687361341428655
g41	g46	0.12598080446270749
g13	g18	0.12368467810462565
g17	g22	0.12191877779609628
g20	g12	0.12184429776691864
g13	g41	0.1207768351343245
g12	g17	0.12007101944106904
g46	g14	0.11931563454134655
g17	g12	0.11765411808346593
g36	g14	0.11706913890041425
g41	g13	0.11659721428891638
g18	g13	0.11658137508463465
g3	g4	0.11593796644537585
g14	g13	0.1144916889478324
g46	g41	0.11238920705637273
g31	g40	0.11089126002210682
g36	g41	0.11067071067352237
g39	g4	0.1105128590864848
g13	g14	0.11023827574941478
g4	g5	0.1080054433959847
g54	g5	0.10500050959096373
g3	g2	0.10353711498877873
g12	g20	0.10089481582324217
g12	g31	0.10050592527031132
g41	g47	0.09921184635393362
g30	g1	0.09711323590133156
g11	g10	0.0955942959422824
g56	g1	0.0945047623655082
g4	g39	0.09190037769750282
g2	g3	0.09125003505018628
g47	g22	0.09121311368912667
g4	g3	0.09022250925047832
g10	g11	0.09013689019899074
g31	g11	0.08851489149375354
g2	g1	0.08747370765679087
g47	g41	0.08670106906286551
g31	g10	0.08630879608901311
g56	g3	0.0856722547007221
g31	g59	0.08520837815647651
g45	g4	0.08466303685214091
g41	g18	0.08461978568366822
g47	g20	0.08404988785803605
g3	g56	0.08298745874542679
g45	g56	0.08246759649604432
g30	g3	0.08238047369929644
g22	g31	0.08213998034384581
g14	g18	0.08160133874317206
g3	g30	0.08060737532231664
g6	g50	0.0803263147082554
g20	g47	0.08006868534991851
g18	g17	0.07991835185760505
g39	g56	0.07938146091592277
g47	g12	0.07905233834314489
g45	g2	0.07876229789517708
g56	g45	0.07872785822304894
g13	g36	0.07826887850396494
g45	g30	0.07825559949071585
g55	g9	0.07816173968929742
