Gene1	Gene2	EdgeWeight
g39	g45	106.09449916309595
g46	g36	97.30273852756252
g45	g39	90.38264776842995
g2	g56	87.32472056270694
g45	g3	85.57321476247942
g36	g46	85.34946913398944
g56	g30	80.42808763210975
g3	g39	76.20338520137122
g56	g2	74.5915884019783
g3	g45	70.94709521961636
g30	g56	69.52493999406815
g14	g46	67.48171191272876
g39	g3	64.28628332744626
g36	g14	63.92393283657635
g30	g2	62.69878734044379
g2	g30	60.93966777031912
g41	g14	59.26309147806096
g14	g41	58.091547596371534
g20	g17	57.64694793510034
g13	g18	56.45478224629685
g47	g18	53.890439647530776
g17	g20	53.377866865846755
g12	g22	51.81513191192597
g13	g46	51.72141484520315
g56	g45	50.85669110331176
g45	g30	50.527870046541366
g14	g36	49.71886149286021
g14	g13	49.26001704538511
g22	g17	47.93006826965535
g22	g12	47.677204834683685
g17	g22	47.60203886155932
g36	g41	46.88489677581686
g41	g36	46.60896434850992
g4	g45	45.96378053178587
g47	g13	45.10617325080841
g30	g45	44.99067331380247
g41	g13	44.95246702903404
g12	g20	42.886241812783325
g56	g39	42.572100579236505
g41	g46	41.8330072344888
g47	g14	41.511369265592435
g17	g12	41.431618513425704
g2	g3	41.245998581576345
g39	g56	41.193598265796645
g13	g14	41.04880577473186
g4	g3	40.41714860525435
g30	g39	40.22822594840125
g46	g41	39.763401755500816
g18	g17	39.382993340889016
g3	g56	39.351644111021926
g3	g30	39.291271010715704
g18	g47	37.61439231053368
g22	g18	37.32519207369202
g5	g4	37.099016294452355
g13	g36	36.885794225774866
g41	g47	36.65066854455914
g45	g2	35.888784677603674
g4	g39	35.402782123610045
g13	g47	34.17033027019902
g18	g13	33.29058309940112
g39	g30	31.228789506996108
g1	g56	31.13707454527021
g59	g40	30.973170342400646
g17	g47	30.90422373342216
g47	g20	30.83191726732645
g1	g2	30.659456399737287
g3	g2	30.167403326923107
g47	g12	29.741423661760212
g56	g3	29.15521435470388
g18	g22	29.130826395954085
g54	g5	28.73849413310091
g20	g22	28.48796251545705
g12	g17	28.411241816832785
g4	g5	28.273229129582514
g2	g39	28.005889190516246
g18	g14	27.41451575285597
g11	g10	27.235573354099078
g22	g31	27.158906424935736
g31	g40	27.054167134794803
g20	g18	27.001708101812657
g47	g36	26.9471329449689
g31	g10	26.91095566975336
g14	g18	26.858871814442498
g39	g4	26.852556966062465
g20	g47	26.687995520341353
g22	g20	26.57932104782069
g31	g9	26.085897420750953
g6	g50	26.03840725993206
g13	g41	25.991905514869384
g45	g56	25.891851584815182
g3	g4	25.71323323437092
g30	g3	25.5461991697202
g46	g14	25.503368955925065
g20	g12	25.480996863167892
g15	g26	25.472585462541858
g47	g22	25.36028147752084
g56	g1	25.065417938170853
g2	g1	24.81508495543408
g17	g18	24.456106406018392
g14	g47	24.246003720229496
g47	g41	23.987571147590284
g20	g13	23.797863777739593
g2	g45	23.513162368374623
g11	g9	23.242856115587372
g12	g10	22.950613605455235
g21	g55	22.662058731294245
g41	g18	22.57827197037487
g47	g17	22.54609947468853
g18	g41	22.53087220503496
g10	g31	22.485422136722452
g59	g31	22.48399756557972
g12	g31	22.3668623308909
g31	g59	22.35233418761684
g11	g40	22.089137701124763
g10	g59	21.98476765994661
g55	g48	21.824340645289894
g17	g41	21.53239559501185
g59	g12	21.50448921283189
g17	g11	21.503192166926546
g40	g53	21.240309384591452
g55	g9	21.19829099612157
g12	g13	21.149267520924198
g20	g59	21.07942327718244
g22	g13	20.818009345030106
g50	g6	20.807075169304486
g30	g1	20.68026071330745
g61	g26	20.596291363919747
g52	g36	20.409638448879
g17	g13	20.22218373680226
g6	g1	20.18694622541271
g43	g6	19.711926280130637
g1	g50	19.531923969607327
g18	g20	19.516724255751953
g22	g47	19.482019342245806
g33	g45	19.2797568516173
g59	g53	19.175759808814703
g55	g21	19.132380718209767
g4	g56	19.064312363288806
g18	g12	19.002703374683584
g10	g11	18.65238879701265
g26	g15	18.5375141383897
g11	g31	18.396204724996018
g31	g48	18.270663135379795
g4	g2	18.075016782527694
g41	g22	18.031511629355336
g43	g63	17.953185240320668
g1	g43	17.900897211011078
g53	g57	17.865845539965502
g59	g10	17.778656574193718
g1	g7	17.644301805710374
g41	g12	17.576951100608174
g1	g63	17.547370445727413
g61	g15	17.42664772265951
g50	g43	17.243523120532338
g17	g31	17.164751809032662
g10	g40	17.10373606288413
g9	g55	17.052383034308892
g22	g59	17.017983600452045
g13	g12	17.016338489272467
g59	g21	16.831347269798332
