Gene1	Gene2	corVal	pValue
g0	g0	1	0
g1	g1	1	0
g10	g10	1	0
g11	g11	1	0
g12	g12	1	0
g13	g13	1	0
g14	g14	1	0
g15	g15	1	0
g16	g16	1	0
g17	g17	1	0
g18	g18	1	0
g19	g19	1	0
g2	g2	1	0
g20	g20	1	0
g21	g21	1	0
g22	g22	1	0
g23	g23	1	0
g24	g24	1	0
g25	g25	1	0
g26	g26	1	0
g27	g27	1	0
g28	g28	1	0
g29	g29	1	0
g3	g3	1	0
g30	g30	1	0
g31	g31	1	0
g32	g32	1	0
g33	g33	1	0
g34	g34	1	0
g35	g35	1	0
g36	g36	1	0
g37	g37	1	0
g38	g38	1	0
g39	g39	1	0
g4	g4	1	0
g40	g40	1	0
g41	g41	1	0
g42	g42	1	0
g43	g43	1	0
g44	g44	1	0
g45	g45	1	0
g46	g46	1	0
g47	g47	1	0
g48	g48	1	0
g49	g49	1	0
g5	g5	1	0
g50	g50	1	0
g51	g51	1	0
g52	g52	1	0
g53	g53	1	0
g54	g54	1	0
g55	g55	1	0
g56	g56	1	0
g57	g57	1	0
g58	g58	1	0
g59	g59	1	0
g6	g6	1	0
g60	g60	1	0
g61	g61	1	0
g62	g62	1	0
g63	g63	1	0
g64	g64	1	0
g7	g7	1	0
g8	g8	1	0
g9	g9	1	0
g41	g14	0.342284182806874	6.45537394374828e-08
g14	g41	0.342284182806873	6.45537394374856e-08
g2	g30	0.314834587549545	7.5140319824981e-07
g30	g2	0.314834587549545	7.51403198249827e-07
g6	g50	0.283517560504854	9.29660340331568e-06
g50	g6	0.283517560504854	9.29660340331568e-06
g2	g56	0.270994230320453	2.34468885182376e-05
g56	g2	0.270994230320452	2.34468885182378e-05
g3	g45	0.262519042131552	4.27554998701602e-05
g45	g3	0.262519042131551	4.2755499870161e-05
g22	g18	0.260635208241777	4.87302312468031e-05
g18	g22	0.260635208241777	4.87302312468049e-05
g39	g3	0.241595608682141	0.000173040382285914
g3	g39	0.241595608682141	0.000173040382285917
g12	g17	0.235299479440657	0.000257499052583177
g17	g12	0.235299479440657	0.000257499052583181
g46	g41	0.222258049177415	0.000567394060658064
g41	g46	0.222258049177415	0.000567394060658064
g22	g20	0.196566405566002	0.0023672442672367
g20	g22	0.196566405566002	0.00236724426723671
g46	g36	0.193880290268223	0.00272237746311745
g36	g46	0.193880290268223	0.00272237746311746
g21	g9	0.191037510363735	0.00315030723310959
g9	g21	0.191037510363735	0.0031503072331096
g21	g20	0.19073440170293	0.00319935545967524
g20	g21	0.19073440170293	0.00319935545967524
g58	g24	0.189688472169783	0.00337396055580356
g24	g58	0.189688472169783	0.00337396055580358
g30	g61	0.189225098095391	0.0034540351998956
g61	g30	0.189225098095391	0.00345403519989561
g41	g18	0.187920997692497	0.00368870227247896
g18	g41	0.187920997692497	0.00368870227247904
g11	g40	0.187642145817466	0.00374071213716134
g40	g11	0.187642145817466	0.00374071213716136
g1	g30	0.187499480543244	0.00376757654161184
g30	g1	0.187499480543244	0.00376757654161186
g1	g2	0.186147076190619	0.00403102646602188
g2	g1	0.186147076190618	0.00403102646602196
g41	g13	0.185965338979775	0.00406766772034551
g13	g41	0.185965338979775	0.00406766772034558
g45	g56	0.184041715676906	0.00447432537371814
g56	g45	0.184041715676906	0.00447432537371818
g47	g18	0.181555113143663	0.00505409982891688
g18	g47	0.181555113143663	0.0050540998289169
g42	g1	0.178721162286962	0.00579644628112852
g1	g42	0.178721162286962	0.00579644628112852
g5	g0	0.175307974302626	0.00681919660889197
g0	g5	0.175307974302625	0.00681919660889204
g0	g53	0.174796786241434	0.00698551462078257
g53	g0	0.174796786241434	0.0069855146207826
g30	g14	0.173142086686334	0.00754898194333319
g14	g30	0.173142086686334	0.00754898194333319
g59	g39	0.172716821791855	0.00770018459099885
g39	g59	0.172716821791855	0.00770018459099886
g14	g4	0.171063778297173	0.0083138557594072
g4	g14	0.171063778297173	0.00831385575940722
g62	g28	0.170522879846277	0.00852389375241041
g28	g62	0.170522879846277	0.00852389375241041
g38	g55	0.169375296652595	0.0089851923164592
g55	g38	0.169375296652595	0.00898519231645924
g31	g10	0.169221640094152	0.0090486105800649
g10	g31	0.169221640094152	0.00904861058006497
g20	g17	0.167629296610523	0.00972956431876539
g17	g20	0.167629296610523	0.00972956431876551
g26	g53	0.166419019933798	0.0102770966970458
g53	g26	0.166419019933798	0.0102770966970458
g45	g4	0.163285640163515	0.0118231877519887
g4	g45	0.163285640163515	0.0118231877519888
g7	g53	0.162446056775541	0.0122708152044363
g53	g7	0.16244605677554	0.0122708152044363
g57	g54	0.162247635820881	0.0123787587949241
g54	g57	0.162247635820881	0.0123787587949241
g13	g22	0.157968054425982	0.0149192370479241
g22	g13	0.157968054425982	0.0149192370479242
g35	g27	0.15751984047118	0.0152100424496396
g27	g35	0.15751984047118	0.0152100424496396
g1	g38	0.15693509545926	0.0155968781338216
g38	g1	0.15693509545926	0.0155968781338216
g2	g50	0.152454933357318	0.0188568501479848
g50	g2	0.152454933357318	0.018856850147985
g2	g48	0.150480795340992	0.0204717941570735
g48	g2	0.150480795340992	0.0204717941570736
g43	g12	0.150474065060507	0.0204774987219628
g12	g43	0.150474065060507	0.0204774987219628
g13	g47	0.150080402354653	0.0208135715181795
g47	g13	0.150080402354653	0.0208135715181797
g46	g47	0.150056124628692	0.0208344530808324
g47	g46	0.150056124628692	0.0208344530808324
g14	g25	0.148993313285261	0.0217665481082123
g25	g14	0.148993313285261	0.0217665481082123
g24	g54	0.14843543930692	0.0222700842789316
g54	g24	0.14843543930692	0.0222700842789317
g17	g26	0.147949435688749	0.0227169221429493
g26	g17	0.147949435688749	0.0227169221429493
g64	g48	0.146784333321407	0.0238197692607263
g48	g64	0.146784333321407	0.0238197692607263
g30	g3	0.14516239108643	0.02543169484864
g3	g30	0.145162391086429	0.0254316948486402
g32	g30	0.144822303698309	0.0257813264940465
g30	g32	0.144822303698309	0.0257813264940465
g39	g45	0.143697445435861	0.0269673299208266
g45	g39	0.143697445435861	0.0269673299208266
g11	g51	0.143687942455197	0.0269775455445634
g51	g11	0.143687942455197	0.0269775455445635
g4	g3	0.14335774099838	0.0273345766577567
g3	g4	0.14335774099838	0.0273345766577569
g55	g7	0.143124239954905	0.0275894886003413
