Gene1	Gene2	EdgeWeight
g34	g60	1.9968830191192284
g60	g34	1.9968830191192284
g28	g34	1.995808211288573
g34	g28	1.995808211288573
g24	g60	1.9909120513921972
g60	g24	1.9909120513921972
g24	g34	1.9903054438939305
g34	g24	1.9903054438939305
g35	g49	1.989045671369603
g49	g35	1.989045671369603
g39	g45	1.9859822799349072
g45	g39	1.9859822799349072
g36	g46	1.9834925729393595
g46	g36	1.9834925729393595
g30	g56	1.9819770159195624
g56	g30	1.9819770159195624
g42	g5	1.9803060638955343
g5	g42	1.9803060638955343
g2	g30	1.9799645981235547
g30	g2	1.9799645981235547
g3	g39	1.9774850745323291
g39	g3	1.9774850745323291
g49	g5	1.976370325148532
g5	g49	1.976370325148532
g3	g45	1.9760202016130617
g45	g3	1.9760202016130617
g35	g4	1.973479507029416
g4	g35	1.973479507029416
g2	g56	1.97328338391116
g56	g2	1.97328338391116
g0	g54	1.968136151284853
g54	g0	1.968136151284853
g3	g30	1.9660824240381283
g30	g3	1.9660824240381283
g12	g22	1.9620491703460323
g22	g12	1.9620491703460323
g30	g39	1.9569725789570216
g39	g30	1.9569725789570216
g17	g22	1.9542523328601045
g22	g17	1.9542523328601045
g20	g22	1.9528835974278065
g22	g20	1.9528835974278065
g6	g7	1.952468522125296
g7	g6	1.952468522125296
g38	g46	1.951332262227489
g46	g38	1.951332262227489
g2	g3	1.949955695995318
g3	g2	1.949955695995318
g3	g56	1.949938137793448
g56	g3	1.949938137793448
g30	g45	1.9487908151730065
g45	g30	1.9487908151730065
g41	g46	1.9485776849178924
g46	g41	1.9485776849178924
g0	g28	1.9474306857216068
g28	g0	1.9474306857216068
g12	g20	1.94613177311762
g20	g12	1.94613177311762
g14	g41	1.9455875521885528
g41	g14	1.9455875521885528
g17	g20	1.9449357971435228
g20	g17	1.9449357971435228
g2	g39	1.9435584892408002
g39	g2	1.9435584892408002
g36	g41	1.9418364285648608
g41	g36	1.9418364285648608
g13	g41	1.940340193661488
g41	g13	1.940340193661488
g55	g9	1.939369915587624
g9	g55	1.939369915587624
g4	g49	1.9390173641872783
g49	g4	1.9390173641872783
g45	g56	1.9385661292235847
g56	g45	1.9385661292235847
g39	g56	1.9377207670208572
g56	g39	1.9377207670208572
g46	g52	1.9375203545295543
g52	g46	1.9375203545295543
g11	g57	1.9343376021168424
g57	g11	1.9343376021168424
g14	g46	1.9328173766443757
g46	g14	1.9328173766443757
g2	g45	1.9316506798769641
g45	g2	1.9316506798769641
g48	g61	1.930407220888376
g61	g48	1.930407220888376
g4	g45	1.9295000436547527
g45	g4	1.9295000436547527
g15	g55	1.9290976747484645
g55	g15	1.9290976747484645
g13	g18	1.9279135427834455
g18	g13	1.9279135427834455
g12	g17	1.9266220814829205
g17	g12	1.9266220814829205
g1	g30	1.9260966371804404
g30	g1	1.9260966371804404
g18	g41	1.9259124027991323
g41	g18	1.9259124027991323
g14	g36	1.925011761796953
g36	g14	1.925011761796953
g3	g64	1.924881183134127
g64	g3	1.924881183134127
g1	g50	1.9238694692939176
g50	g1	1.9238694692939176
g36	g38	1.922266130831683
g38	g36	1.922266130831683
g13	g47	1.922190504756656
g47	g13	1.922190504756656
g4	g5	1.9215298925396131
g5	g4	1.9215298925396131
g43	g6	1.920458366426439
g6	g43	1.920458366426439
g41	g47	1.920027321019752
g47	g41	1.920027321019752
g1	g2	1.9198947069226635
g2	g1	1.9198947069226635
g39	g4	1.9191743038282167
g4	g39	1.9191743038282167
g36	g52	1.918568038931853
g52	g36	1.918568038931853
g38	g52	1.9143089240882232
g52	g38	1.9143089240882232
g1	g56	1.9135415721736737
g56	g1	1.9135415721736737
g27	g60	1.911764436001731
g60	g27	1.911764436001731
g15	g9	1.9115410110304127
g9	g15	1.9115410110304127
g13	g14	1.9110324156133625
g14	g13	1.9110324156133625
g39	g64	1.9100393474080402
g64	g39	1.9100393474080402
g18	g47	1.9096180010165344
g47	g18	1.9096180010165344
g6	g61	1.9093945769451668
g61	g6	1.9093945769451668
g48	g7	1.906843172112172
g7	g48	1.906843172112172
g31	g53	1.9061386241790101
g53	g31	1.9061386241790101
g54	g58	1.9054190831043212
g58	g54	1.9054190831043212
g35	g58	1.899563385606331
g58	g35	1.899563385606331
g50	g7	1.8974021475537657
g7	g50	1.8974021475537657
g18	g29	1.8972953392178715
g29	g18	1.8972953392178715
g11	g31	1.896581982598203
g31	g11	1.896581982598203
g61	g8	1.8948093818739589
g8	g61	1.8948093818739589
g1	g19	1.8947676908897488
g19	g1	1.8947676908897488
g14	g47	1.8933192624801205
g47	g14	1.8933192624801205
g45	g64	1.8895164956842845
g64	g45	1.8895164956842845
g3	g4	1.8883871777582044
g4	g3	1.8883871777582044
g36	g51	1.8873714249783864
g51	g36	1.8873714249783864
g46	g51	1.8869059644251125
g51	g46	1.8869059644251125
g14	g18	1.8857774880180584
g18	g14	1.8857774880180584
g28	g49	1.8835866928849043
g49	g28	1.8835866928849043
g50	g6	1.8832542428664016
g6	g50	1.8832542428664016
g13	g29	1.8818672150413664
g29	g13	1.8818672150413664
g32	g60	1.881750484922668
g60	g32	1.881750484922668
g0	g34	1.8817482227211584
g34	g0	1.8817482227211584
g41	g51	1.878278923988684
g51	g41	1.878278923988684
g1	g6	1.877690154981884
g6	g1	1.877690154981884
g11	g44	1.8770249223036957
g44	g11	1.8770249223036957
g14	g51	1.8754798144919795
g51	g14	1.8754798144919795
g49	g58	1.8751169433249253
g58	g49	1.8751169433249253
g11	g53	1.874987960985805
g53	g11	1.874987960985805
g15	g8	1.8743773120901568
g8	g15	1.8743773120901568
g13	g36	1.873480481382241
g36	g13	1.873480481382241
g13	g46	1.8721895285310468
g46	g13	1.8721895285310468
g29	g41	1.872158705445404
g41	g29	1.872158705445404
g48	g6	1.871752578977896
g6	g48	1.871752578977896
g41	g52	1.8714438742851145
g52	g41	1.8714438742851145
g44	g53	1.869390152154536
g53	g44	1.869390152154536
g44	g59	1.8691437250226361
g59	g44	1.8691437250226361
g10	g15	1.8682112677472595
g15	g10	1.8682112677472595
g12	g47	1.867455973978333
g47	g12	1.867455973978333
g33	g45	1.867165826296576
g45	g33	1.867165826296576
g13	g37	1.8665776158909084
g37	g13	1.8665776158909084
g23	g5	1.8661815531249035
g5	g23	1.8661815531249035
g38	g51	1.8661141838912079
g51	g38	1.8661141838912079
g25	g37	1.8653152175025076
g37	g25	1.8653152175025076
g29	g47	1.8649685480419955
g47	g29	1.8649685480419955
g15	g21	1.8647865742557792
g21	g15	1.8647865742557792
g50	g63	1.8630650515307396
g63	g50	1.8630650515307396
g18	g37	1.8623949102512896
g37	g18	1.8623949102512896
g2	g50	1.862035303585741
g50	g2	1.862035303585741
g14	g38	1.861885184087028
g38	g14	1.861885184087028
g19	g50	1.8614379930818103
g50	g19	1.8614379930818103
g37	g47	1.8609898497043504
g47	g37	1.8609898497043504
g30	g4	1.860628299186787
g4	g30	1.860628299186787
g31	g44	1.8603158916114408
g44	g31	1.8603158916114408
g4	g58	1.8583206109954624
g58	g4	1.8583206109954624
g53	g57	1.8573007991716568
g57	g53	1.8573007991716568
g14	g29	1.8570778370768528
g29	g14	1.8570778370768528
g20	g57	1.8560086158976496
g57	g20	1.8560086158976496
g37	g41	1.8557802396665843
g41	g37	1.8557802396665843
g22	g57	1.8556749799117482
g57	g22	1.8556749799117482
g35	g5	1.8547709579249747
g5	g35	1.8547709579249747
g10	g11	1.854311237320944
g11	g10	1.854311237320944
g6	g8	1.8528511521287816
g8	g6	1.8528511521287816
g17	g47	1.8525240152463416
g47	g17	1.8525240152463416
g55	g61	1.8498598138740725
g61	g55	1.8498598138740725
g26	g55	1.8494162498295164
g55	g26	1.8494162498295164
g33	g39	1.8493771944208584
g39	g33	1.8493771944208584
g31	g57	1.8490386590155292
g57	g31	1.8490386590155292
g26	g8	1.8477685122664864
g8	g26	1.8477685122664864
g1	g3	1.8476754999592135
g3	g1	1.8476754999592135
g18	g36	1.8467414310051498
g36	g18	1.8467414310051498
g26	g61	1.8465894610612377
g61	g26	1.8465894610612377
g38	g41	1.8456805319561287
g41	g38	1.8456805319561287
g61	g7	1.845114571328334
g7	g61	1.845114571328334
g18	g46	1.8433998384851369
g46	g18	1.8433998384851369
g1	g7	1.8427005362152975
g7	g1	1.8427005362152975
g42	g8	1.841464123642068
g8	g42	1.841464123642068
g43	g50	1.8406422897492023
g50	g43	1.8406422897492023
g1	g63	1.8397496677375909
g63	g1	1.8397496677375909
g16	g17	1.8390437022226789
g17	g16	1.8390437022226789
g19	g6	1.8369879611301747
g6	g19	1.8369879611301747
g12	g13	1.836407645905132
g13	g12	1.836407645905132
g4	g64	1.836393538013379
g64	g4	1.836393538013379
g50	g61	1.8363420859714703
g61	g50	1.8363420859714703
g48	g55	1.8352279204533717
g55	g48	1.8352279204533717
g46	g47	1.834798034773671
g47	g46	1.834798034773671
g0	g24	1.832265982685404
g24	g0	1.832265982685404
g6	g63	1.8321016407860204
g63	g6	1.8321016407860204
g61	g9	1.8313821841936544
g9	g61	1.8313821841936544
g1	g48	1.8311875522334693
g48	g1	1.8311875522334693
g28	g35	1.8311581591955572
g35	g28	1.8311581591955572
g15	g48	1.829385218155689
g48	g15	1.829385218155689
g22	g47	1.8292485727679104
g47	g22	1.8292485727679104
g55	g6	1.828473630269306
g6	g55	1.828473630269306
g13	g17	1.8277213193627495
g17	g13	1.8277213193627495
g30	g50	1.8231872584759945
g50	g30	1.8231872584759945
g48	g8	1.8231606939040383
g8	g48	1.8231606939040383
g25	g41	1.822695487338632
g41	g25	1.822695487338632
g28	g60	1.8219116961369108
g60	g28	1.8219116961369108
g13	g22	1.820193549176809
g22	g13	1.820193549176809
g18	g25	1.8195363475718456
g25	g18	1.8195363475718456
g36	g47	1.8181808644331787
g47	g36	1.8181808644331787
g24	g28	1.8175006278844523
