,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000009779,0.001078166,0.999737975,-1.249104844,mcl1a,FALSE
ENSDARG00000027249,0.005048025,0.999737975,-0.9293153,btg1,FALSE
ENSDARG00000035622,0.007194878,0.999737975,-1.129832348,xbp1,FALSE
ENSDARG00000006399,0.008984628,0.999737975,-1.312939035,ywhae1,FALSE
ENSDARG00000099411,0.009420616,0.999737975,-0.694719745,zgc:158343,FALSE
ENSDARG00000027699,0.015913055,0.999737975,-1.951371988,FUT9 (1 to many),FALSE
ENSDARG00000018491,0.017091863,0.999737975,-1.304571394,pdia4,FALSE
ENSDARG00000068760,0.017737581,0.999737975,-1.617921541,tnks1bp1,FALSE
ENSDARG00000104279,0.019236501,0.999737975,-1.674567221,appa,FALSE
ENSDARG00000041811,0.019242527,0.999737975,-0.566951012,rps25,FALSE
ENSDARG00000056583,0.020018279,0.999737975,1.774563529,ndufs6,FALSE
ENSDARG00000054560,0.024417101,0.999737975,-1.361781902,her15.2,FALSE
ENSDARG00000088315,0.024984671,0.999737975,-0.904787005,si:ch211-103f14.3,FALSE
ENSDARG00000043531,0.029075987,0.999737975,-1.153956409,jun,FALSE
ENSDARG00000009978,0.03364834,0.999737975,-1.074130742,icn,FALSE
ENSDARG00000091996,0.034149549,0.999737975,-1.357334676,si:ch211-117m20.5,FALSE
ENSDARG00000105037,0.034398746,0.999737975,-1.057487611,snrpf,FALSE
ENSDARG00000102640,0.035546703,0.999737975,-0.83320188,pdia3,FALSE
ENSDARG00000054562,0.035789847,0.999737975,-1.694967086,her15.1,TRUE
ENSDARG00000053395,0.039812596,0.999737975,-1.255307304,cdkn2aipnl,FALSE
ENSDARG00000039269,0.040504982,0.999737975,-1.493227302,arg2,FALSE
ENSDARG00000099663,0.041201353,0.999737975,-1.123401043,cox5ab,FALSE
ENSDARG00000012688,0.041332251,0.999737975,-0.910118849,eif1b,FALSE
ENSDARG00000059906,0.042724279,0.999737975,-0.635568084,sdc4,FALSE
ENSDARG00000030896,0.044147838,0.999737975,-1.708184408,foxq1a,FALSE
