,waldStat,df,pvalue,gene_name
ENSDARG00000001785,40.96331898925727,3.0,6.65739730010273e-09,irx2a
ENSDARG00000002445,70.8322469423716,3.0,2.886579864025407e-15,prdm1a
ENSDARG00000002937,88.94113918761347,3.0,0.0,meis1a
ENSDARG00000004588,98.65259234366454,3.0,0.0,sox4a
ENSDARG00000004757,37.995310018360115,3.0,2.832944423492023e-08,ybx1
ENSDARG00000005559,35.75021034979146,3.0,8.456581834792587e-08,pou4f1
ENSDARG00000008131,29.441077481721628,3.0,1.808973531081115e-06,sox1b
ENSDARG00000009094,80.32758990683041,3.0,0.0,gata2b
ENSDARG00000012656,27.425411918995962,3.0,4.794157821730316e-06,atf6
ENSDARG00000014463,29.04503086613995,3.0,2.191163451015221e-06,usf1l
ENSDARG00000014626,98.66063817937601,3.0,0.0,dlx3b
ENSDARG00000015355,39.163589609193814,3.0,1.602538879375004e-08,fosl1a
ENSDARG00000015793,47.38315601243997,3.0,2.880859995002538e-10,creb3l1
ENSDARG00000016858,28.18213114620608,3.0,3.3259669628415978e-06,smad7
ENSDARG00000018757,98.60960526833756,3.0,0.0,klf5l
ENSDARG00000019335,71.0697720828505,3.0,2.55351295663786e-15,hes6
ENSDARG00000019810,56.46597620712958,3.0,3.3412161926094086e-12,nfe2l3
ENSDARG00000020746,31.209153579956595,3.0,7.680696658685093e-07,gfi1aa
ENSDARG00000021443,235.5425201189056,3.0,0.0,zfp36l1b
ENSDARG00000026473,82.86881000860046,3.0,0.0,six1b
ENSDARG00000026489,33.125410129518656,3.0,3.0303443632195837e-07,khsrp
ENSDARG00000028335,244.00663388558164,3.0,0.0,hmga1a
ENSDARG00000029722,229.3057592709729,3.0,0.0,hmgb2a
ENSDARG00000030479,36.06878499897464,3.0,7.241765243026776e-08,hmgb1b
ENSDARG00000031664,65.52435697019207,3.0,3.8746783559417963e-14,sox21a
ENSDARG00000031683,68.68932195631535,3.0,8.104628079763643e-15,fosab
ENSDARG00000032317,38.68392917106367,3.0,2.024964851354838e-08,tox
ENSDARG00000034293,48.890563011155244,3.0,1.3763434836278066e-10,hif1ab
ENSDARG00000034785,25.988392794101035,3.0,9.590926003721911e-06,dachb
ENSDARG00000034956,112.61158939440965,3.0,0.0,myclb
