Ensembl_id,gene_name
ENSDARG00000112884,BX510909.2
ENSDARG00000039095,nkx2
ENSDARG00000102994,znf1034
ENSDARG00000088084,si:dkey-66i24
ENSDARG00000094242,znf1171
ENSDARG00000112302,CR352245.2
ENSDARG00000056292,vsx1
ENSDARG00000104243,eomesb
ENSDARG00000040141,si:ch73-138e16
ENSDARG00000019658,pou2f2a
ENSDARG00000110454,BX005380.2
ENSDARG00000102673,si:dkey-26i24
ENSDARG00000020746,gfi1aa
ENSDARG00000031683,fosab
ENSDARG00000061147,zfp64
ENSDARG00000014626,dlx3b
ENSDARG00000102756,nr0b2b
ENSDARG00000116441,BX324116.3
ENSDARG00000014181,foxp1b
ENSDARG00000109672,CR388055.2
ENSDARG00000104584,CT027578.1
ENSDARG00000113871,CR388188.1
ENSDARG00000003965,tlx1
ENSDARG00000110922,CR847936.6
ENSDARG00000116300,zgc:165515
ENSDARG00000096528,si:ch73-236c18
ENSDARG00000094684,si:dkey-149i17
ENSDARG00000095708,si:dkey-7i4
ENSDARG00000075713,shox2
ENSDARG00000054683,prdm8b
ENSDARG00000053097,hsf2
ENSDARG00000061549,foxo1b
ENSDARG00000073988,mntb
ENSDARG00000003877,pbrm1
ENSDARG00000103316,si:ch211-212k18
ENSDARG00000110771,BX088692.2
ENSDARG00000108812,zgc:113886
ENSDARG00000017953,tp73
ENSDARG00000086892,erfl1
ENSDARG00000028159,tead1a
ENSDARG00000114349,si:dkey-20i20
ENSDARG00000052893,rx3
ENSDARG00000079613,sall3a
ENSDARG00000075113,nanog
ENSDARG00000090814,si:dkey-18a10
ENSDARG00000071413,mier2
ENSDARG00000001015,znf384l
ENSDARG00000009473,ppardb
ENSDARG00000110016,msc
ENSDARG00000007097,her13
ENSDARG00000115318,BX255931.1
ENSDARG00000095605,CR846087.3
ENSDARG00000095993,znf1073
ENSDARG00000110085,nfil3
ENSDARG00000112303,BX248097.4
ENSDARG00000094214,si:dkeyp-117b8
ENSDARG00000100560,zfpm2b
ENSDARG00000100097,mafgb
ENSDARG00000074293,adnpb
ENSDARG00000104034,arid3b
ENSDARG00000104894,si:ch73-138e16
ENSDARG00000070343,hoxc6a
ENSDARG00000109712,AL845168.1
ENSDARG00000115572,CU896567.1
ENSDARG00000023031,hoxa2b
ENSDARG00000105013,hoxa9a
ENSDARG00000095126,si:dkey-82i20
ENSDARG00000102976,uncx
ENSDARG00000019265,zbtb39
ENSDARG00000074125,znf1161
ENSDARG00000075891,sall1b
ENSDARG00000116814,CU570894.2
ENSDARG00000090998,si:cabz01071911
ENSDARG00000101986,irf6
ENSDARG00000104892,znf1108
ENSDARG00000010770,sox19a
ENSDARG00000114353,hmgb1a
ENSDARG00000019392,stat5a
ENSDARG00000055926,foxi3a
ENSDARG00000018765,pknox1
ENSDARG00000009094,gata2b
ENSDARG00000023537,ahr1b
ENSDARG00000031198,hmg20a
ENSDARG00000097394,si:dkey-77f5
ENSDARG00000068428,si:ch211-153j24
ENSDARG00000113014,prox1b
ENSDARG00000061424,znf646
ENSDARG00000039843,znf800b
ENSDARG00000093665,si:dkey-285e18
ENSDARG00000090449,sp100
ENSDARG00000087483,si:dkey-226l10
ENSDARG00000070929,sox14
ENSDARG00000090304,CU929391.2
ENSDARG00000099761,vox
ENSDARG00000103450,BX005085.3
ENSDARG00000095635,si:dkey-261j4
ENSDARG00000079201,tshz2
ENSDARG00000015072,dmrt2a
ENSDARG00000061391,grhl1
ENSDARG00000058924,pou1f1
ENSDARG00000042824,nfe2l2a
ENSDARG00000115017,znf1033
ENSDARG00000012078,meis1b
ENSDARG00000100673,znf974
ENSDARG00000045911,tulp4a
ENSDARG00000098613,si:dkey-15h8
ENSDARG00000071819,znf1180
ENSDARG00000008209,myt1la
ENSDARG00000097091,si:dkey-7j22
ENSDARG00000039458,lhx4
ENSDARG00000102401,znf1001
ENSDARG00000113012,CABZ01112050.1
ENSDARG00000094992,otx1
ENSDARG00000042667,klf2a
ENSDARG00000103923,tfap4
ENSDARG00000116957,BX323465.2
ENSDARG00000052150,pbx4
ENSDARG00000079233,E2F2
ENSDARG00000090817,si:dkey-85k15
ENSDARG00000109255,si:ch211-234c11
ENSDARG00000011298,atf7a
ENSDARG00000103850,si:cabz01021426
ENSDARG00000094888,znf1061
ENSDARG00000040917,cbfb
ENSDARG00000114883,CU655961.4
ENSDARG00000057238,si:dkey-30k6
ENSDARG00000078066,elk1
ENSDARG00000018303,etv4
ENSDARG00000069335,bcl6b
ENSDARG00000104065,znf1154
ENSDARG00000103589,gata6
ENSDARG00000075928,hivep3a
ENSDARG00000097842,znf1134
ENSDARG00000011956,dlx4a
ENSDARG00000104605,si:ch73-299h12
ENSDARG00000106808,CU856622.1
ENSDARG00000092000,znf1020
ENSDARG00000018773,hivep2b
ENSDARG00000114536,si:dkey-149m13
ENSDARG00000113443,BX004880.4
ENSDARG00000109604,znf1026
ENSDARG00000013057,hoxb5a
ENSDARG00000089875,zgc:173705
ENSDARG00000088640,znf1115
ENSDARG00000059707,ZNF423
ENSDARG00000093833,si:ch73-382f3
ENSDARG00000117149,neurod4
ENSDARG00000045611,nfybb
ENSDARG00000102999,si:dkey-246j6
ENSDARG00000030058,tbx4
ENSDARG00000117132,BX663613.1
