Timepoints (min),Intensity/pixel (AU),Normalized (AU)
0,,
5,,
10,,
15,,
20,,
25,,
30,,
35,,
40,,
45,,
50,,
55,,
60,,
65,,
70,,
75,,
80,,
85,,
90,,
95,,
100,,
105,,
110,,
115,,
120,,
125,,
130,,
135,,
140,,
145,,
150,,
155,,
160,,
165,,
170,,
175,,
180,,
185,,
190,,
195,,
200,,
205,,
210,,
215,,
220,,
225,,
230,,
235,,
240,,
245,,
250,,
255,,
260,,
265,,
270,,
275,,
280,,
285,,
290,,
295,,
300,,
305,,
310,,
315,,
320,,
325,,
330,,
335,,
340,,
345,,
350,,
355,,
360,,
365,,
370,,
375,,
380,,
385,,
390,,
395,,
400,,
405,,
410,,
415,,
420,120.32861002701891,0.745707875963995
425,,
430,,
435,,
440,,
445,,
450,,
455,,
460,,
465,,
470,,
475,,
480,,
485,,
490,,
495,,
500,,
505,,
510,,
515,,
520,,
525,,
530,,
535,,
540,,
545,,
550,,
555,,
560,,
565,,
570,,
575,,
580,,
585,,
590,,
595,,
600,,
605,,
610,,
615,,
620,,
625,,
630,,
635,,
640,,
645,,
650,,
655,,
660,,
665,,
670,,
675,,
680,,
685,,
690,,
695,,
700,,
705,,
710,,
715,,
720,,
725,,
730,,
735,,
740,,
745,,
750,,
755,,
760,,
765,,
770,,
775,,
780,,
785,,
790,,
795,,
800,,
805,,
810,,
815,,
820,133.2618695008276,0.8161793194839775
825,,
830,,
835,130.35749314271465,0.8075272194797324
840,,
845,,
850,,
855,,
860,,
865,,
870,,
875,132.33721769047222,0.8238238621421248
880,133.59163628448604,0.8288544475890777
885,132.96745409999698,0.825070980778409
890,133.27296082209378,0.8225141481694915
895,134.0436140743797,0.8208728737854318
900,133.80555470261308,0.836198213488909
905,135.50420685409398,0.8369442624223598
910,135.26126324645927,0.825955631230387
915,136.49886855017587,0.8300750050112222
920,135.49552929547087,0.8331871071884264
925,136.02479705567592,0.8450125566506334
930,137.11165572232645,0.8427487085961816
935,136.6982621032098,0.8474884024942858
940,137.53062766103557,0.8530907427894568
945,136.92553112739654,0.8545404391155238
950,,
955,136.1528065210964,0.8607775681995122
960,,
965,136.37333296441813,0.868811324555762
970,134.94869290286096,0.8606482692296471
975,135.67313395946613,0.8685102599730227
980,136.38968407780138,0.8780772113525277
985,136.90004655011896,0.8755285908773369
990,,
995,137.57943701576477,0.8780405112658647
1000,,
1005,,
1010,134.7457091857751,0.8879858872050379
1015,,
1020,135.66815673674654,0.87880696998631
1025,134.97741031584044,0.8824304040936234
1030,,
1035,,
1040,,
1045,136.8689930792475,0.8767964852252733
1050,137.04517184942716,0.8838349028309274
1055,136.69243224590556,0.8715990079070859
1060,,
1065,137.04814365608786,0.9611438282285952
1070,136.85846351091467,0.8582928171061861
1075,137.56983648198127,0.8764048529988988
1080,136.96868811881188,0.8763991848564827
1085,137.64054367929805,0.8722085517053638
1090,,
1095,,
1100,,
1105,137.315752811225,0.863287167205159
1110,,
1115,,
1120,137.0760689164625,0.8717589475460996
1125,,
1130,,
1135,,
1140,138.3082077785564,0.8900681788198879
1145,,
1150,,
1155,136.15204583316404,0.8708033081241934
1160,134.7008356545961,0.8830202035756821
1165,136.37153127246586,0.8878527779199725
1170,137.0539763820671,0.8886563637673934
1175,,
1180,,
1185,,
1190,,
1195,,
1200,134.35509942270687,0.8836002569622453
1205,134.65070202808113,0.8758846495742989
1210,137.01820728291315,0.9010536628862668
1215,135.98566649173446,0.9526512721798386
1220,137.17027596449418,0.9136407892491644
1225,136.37864077669903,0.9137591395107034
1230,136.66734030124096,0.9059306560296339
1235,,
1240,138.97327586206896,0.9223365090443719
1245,135.01690659524607,0.902722934682136
1250,135.25089096949563,0.8536964132493267
1255,136.425169126083,0.9031385437007898
1260,135.32012968120037,0.8924521114609003
1265,136.2586435693279,0.9000974727384832
1270,134.2719332721953,0.8926862824616216
1275,135.37901636859655,0.8929402164995167
1280,135.15880768780423,0.888854032194971
1285,133.79885725675183,0.8836822357166623
1290,136.50515908749813,0.9086394035151909
1295,136.57528070951568,0.9480945184080156
1300,,
1305,137.0829393843891,0.9554421669060223
1310,137.10033389533538,0.8776020350990877
1315,137.98903444455306,0.9402042725444558
1320,138.25479658807657,0.9089587080541811
1325,,
1330,138.61253244978823,0.888716367723725
1335,138.66984685794753,0.9033638644632883
1340,137.40922118562278,0.9257906433691553
1345,137.70674725402452,0.8851307192333104
1350,138.19663456954905,0.8929138682139005
1355,137.24621992116255,0.8879968454618263
