Ensembl Gene ID,Associated Gene Name
ENSDARG00000063905,mt-Co1
ENSDARG00000100232,Glis2
ENSDARG00000045443,Agtr1a
ENSDARG00000102822,Pam16
ENSDARG00000021369,Mc3r
ENSDARG00000016514,Gtf2h2
ENSDARG00000091241,Glt1d1
ENSDARG00000075327,Dock10
ENSDARG00000028098,Fut9
ENSDARG00000102554,Fut9
ENSDARG00000076142,Trib1
ENSDARG00000057245,Fam98c
ENSDARG00000104587,Srl
ENSDARG00000013492,Zbtb34
ENSDARG00000058871,Fbxw17
ENSDARG00000009313,Napsa
ENSDARG00000104401,Yme1l1
ENSDARG00000086603,Fut9
ENSDARG00000075034,Raver2
ENSDARG00000060187,1700067K01Rik
ENSDARG00000063914,mt-Nd3
ENSDARG00000042643,Fut9
ENSDARG00000100247,Fut9
ENSDARG00000088423,Nlrp14
ENSDARG00000063908,mt-Co2
ENSDARG00000095634,Nlrp14
ENSDARG00000073696,Frmd8
ENSDARG00000063924,mt-Cytb
ENSDARG00000058299,Fut9
ENSDARG00000016460,Fut9
ENSDARG00000004782,Fgfr3
ENSDARG00000061240,Cbln4
ENSDARG00000098090,Dync1i1
ENSDARG00000001817,Gm21425
ENSDARG00000102233,Oxld1
ENSDARG00000088955,Nlrp14
ENSDARG00000078762,Tmem169
ENSDARG00000027699,Fut9
ENSDARG00000013802,Pcid2
ENSDARG00000059056,Fut9
ENSDARG00000101984,Pde6g
ENSDARG00000061621,Them4
ENSDARG00000105187,Gcsh
ENSDARG00000102426,Fut9
ENSDARG00000067524,Fut9
ENSDARG00000104864,Klhdc2
ENSDARG00000063899,mt-Nd2
ENSDARG00000063922,mt-Nd6
ENSDARG00000068738,Gm11273
ENSDARG00000104094,Adrbk2
ENSDARG00000018616,Agtr1a
ENSDARG00000101462,Setdb2
ENSDARG00000063912,mt-Co3
ENSDARG00000100513,Rps27l
ENSDARG00000091655,Gcsh
ENSDARG00000063895,mt-Nd1
ENSDARG00000104356,Srl
ENSDARG00000060948,Dync1i1
ENSDARG00000061204,Ddx20
ENSDARG00000070979,Fut9
ENSDARG00000039626,Nrgn
ENSDARG00000059055,Fut9
ENSDARG00000063921,mt-Nd5
ENSDARG00000074362,Fut9
ENSDARG00000102612,Slc15a4
ENSDARG00000055138,Tmbim7
ENSDARG00000035697,Gm21425
ENSDARG00000075192,Yme1l1
ENSDARG00000105141,Nlrp14
ENSDARG00000090699,Nlrp14
ENSDARG00000103019,Gstp2
ENSDARG00000103019,BC021614
ENSDARG00000005320,Nipsnap1
ENSDARG00000078388,Glis2
ENSDARG00000027131,Tmem169
ENSDARG00000010248,Wdr54
ENSDARG00000058949,Gm21425
ENSDARG00000063911,mt-Atp6
ENSDARG00000104068,Gstp2
ENSDARG00000104068,BC021614
ENSDARG00000008020,Med31
ENSDARG00000063917,mt-Nd4
ENSDARG00000068601,Atmin
ENSDARG00000063916,mt-Nd4l
ENSDARG00000054575,Tpbgl
ENSDARG00000074337,Cbfa2t2
ENSDARG00000103052,Pcyox1
ENSDARG00000092204,Ms4a4a
ENSDARG00000075616,Polr2k
ENSDARG00000101175,Mcu
ENSDARG00000093546,Ms4a4a
ENSDARG00000020625,Jak1
ENSDARG00000094854,Ms4a4a
ENSDARG00000079912,Rapgefl1
ENSDARG00000057853,Atp6v0c
ENSDARG00000053563,Ms4a4a
ENSDARG00000097772,2700049A03Rik
ENSDARG00000103736,Gramd2
ENSDARG00000004754,Hspa4
ENSDARG00000002830,Trmt2a
ENSDARG00000069733,Mavs
ENSDARG00000014024,Ms4a4a
ENSDARG00000029239,Syt9
ENSDARG00000003021,Hdac8
ENSDARG00000032990,Plxnb3
ENSDARG00000076176,Ptcd1
ENSDARG00000089404,Siglecg
ENSDARG00000004211,Ccdc106
ENSDARG00000070621,Fam72a
ENSDARG00000043666,Abt1
ENSDARG00000071150,Cic
ENSDARG00000061131,Kif21b
ENSDARG00000043802,Ms4a4a
ENSDARG00000104024,Ccdc137
ENSDARG00000043796,Ms4a4a
ENSDARG00000092305,Poldip2
ENSDARG00000091890,Aurka
ENSDARG00000014825,Zfp865
ENSDARG00000056395,Onecut3
ENSDARG00000001817,Gm21440
ENSDARG00000059743,Tmem98
ENSDARG00000028659,Ms4a4a
ENSDARG00000036698,Zfp865
ENSDARG00000017037,Ikbkg
ENSDARG00000045694,Prickle1
ENSDARG00000017929,Ncoa2
ENSDARG00000052638,Fam210b
ENSDARG00000074996,Tbrg1
ENSDARG00000100420,Tpcn2
ENSDARG00000062024,Kif1a
ENSDARG00000054898,Ms4a4a
ENSDARG00000045513,Taf3
ENSDARG00000003994,Syt9
ENSDARG00000059498,Arl16
ENSDARG00000055502,Cic
ENSDARG00000057027,Rtn2
ENSDARG00000091970,Ms4a4a
ENSDARG00000014244,Rbmxl2
ENSDARG00000043798,Ms4a4a
ENSDARG00000093512,Ms4a4a
ENSDARG00000020548,Ms4a4a
ENSDARG00000033757,Ncaph2
ENSDARG00000061377,1700109H08Rik
ENSDARG00000102923,Senp6
ENSDARG00000040649,Prickle1
ENSDARG00000100791,Tril
ENSDARG00000052016,Cabp2
ENSDARG00000040527,Siae
ENSDARG00000002790,Ap2m1
ENSDARG00000098904,Pex1
ENSDARG00000095695,Ms4a4a
ENSDARG00000092593,Ms4a4a
ENSDARG00000100296,Pja1
ENSDARG00000009733,Kif21b
ENSDARG00000063056,Tulp4
ENSDARG00000008098,Ifit1bl2
ENSDARG00000008098,Ifit1
ENSDARG00000039350,Ssbp1
ENSDARG00000076748,Tbc1d24
ENSDARG00000052277,Cabp2
ENSDARG00000036577,Atp6v0c
ENSDARG00000033899,Ap2m1
ENSDARG00000061817,Kif1a
ENSDARG00000021336,Pax4
ENSDARG00000007018,Ms4a4a
ENSDARG00000104441,Hspb7
ENSDARG00000059003,Strip2
ENSDARG00000045911,Tulp4
ENSDARG00000053561,Ms4a4a
ENSDARG00000087983,Igsf5
ENSDARG00000044820,Cstf1
ENSDARG00000017757,Pik3cg
ENSDARG00000035697,Gm21440
ENSDARG00000094643,Ms4a4a
ENSDARG00000099425,Cfi
ENSDARG00000091059,Onecut3
ENSDARG00000018989,Hspa4
ENSDARG00000058578,Ccdc106
ENSDARG00000016088,Rtn2
ENSDARG00000015495,Klf3
ENSDARG00000105370,Zfp784
ENSDARG00000094809,Ms4a4a
ENSDARG00000058949,Gm21440
ENSDARG00000021439,Ncoa4
ENSDARG00000017084,Bud31
ENSDARG00000097527,Ms4a4a
ENSDARG00000063051,Bap1
ENSDARG00000073900,Fam212b
ENSDARG00000057395,Ssbp2
ENSDARG00000101703,Fam47e
ENSDARG00000093630,Gm7168
ENSDARG00000093630,Gm7356
ENSDARG00000089372,Clk1
ENSDARG00000016904,Bckdk
ENSDARG00000093453,Ahdc1
ENSDARG00000055839,4-Mar
ENSDARG00000067507,Kctd8
ENSDARG00000045695,Myc
ENSDARG00000053130,Pcp4
ENSDARG00000069865,Grxcr1
ENSDARG00000077726,Noct
ENSDARG00000069339,Gm43796
ENSDARG00000046141,2210016L21Rik
ENSDARG00000074179,Calhm2
ENSDARG00000007745,Uqcrfs1
ENSDARG00000060152,Tmem28
ENSDARG00000034943,Gm364
ENSDARG00000063186,Bend7
ENSDARG00000101919,Foxj1
ENSDARG00000101214,Pkd1l2
ENSDARG00000102068,Shcbp1
ENSDARG00000086107,Mterf1b
ENSDARG00000060687,Chd2
ENSDARG00000061040,Pum2
ENSDARG00000014817,Ranbp1
ENSDARG00000006712,Wipf2
ENSDARG00000032859,Fam84b
ENSDARG00000001817,Gm20773
ENSDARG00000103452,Gm7168
ENSDARG00000103452,Gm7356
ENSDARG00000009470,Hnf1a
ENSDARG00000025824,Dmtf1
ENSDARG00000067520,Slc27a2
ENSDARG00000054534,Acot12
ENSDARG00000061621,Them5
ENSDARG00000100620,Taok2
ENSDARG00000077489,Lrfn2
ENSDARG00000060506,Sos2
ENSDARG00000105344,Pkd1l2
ENSDARG00000076611,Fbxo21
ENSDARG00000098816,Kcnc3
ENSDARG00000074899,Taok2
ENSDARG00000103111,Gm7168
ENSDARG00000103111,Gm7356
ENSDARG00000017355,Rsph9
ENSDARG00000089885,Slc16a12
ENSDARG00000003903,Hapln2
ENSDARG00000028848,Lsm12
ENSDARG00000071065,G6pdx
ENSDARG00000034007,Prom1
ENSDARG00000032317,Tox
ENSDARG00000099776,Glul
ENSDARG00000013856,Amy2a5
ENSDARG00000090953,Igsf5
ENSDARG00000051957,Selm
ENSDARG00000078525,Noct
ENSDARG00000062374,Leng9
ENSDARG00000006775,Cass4
ENSDARG00000008407,Tspan7
ENSDARG00000063213,Mtif2
ENSDARG00000055855,Kcnc3
ENSDARG00000035697,Gm20773
ENSDARG00000004627,Panx3
ENSDARG00000078433,Spc25
ENSDARG00000015445,Lim2
ENSDARG00000059596,Clip2
ENSDARG00000058949,Gm20773
ENSDARG00000040812,Ncf4
ENSDARG00000036424,Pcdh20
ENSDARG00000076867,Mkl2
ENSDARG00000094927,Gm7168
ENSDARG00000094927,Gm7356
ENSDARG00000077089,Blm
ENSDARG00000101629,Sis
ENSDARG00000036237,Slc27a2
ENSDARG00000068759,Cdca2
ENSDARG00000030357,Amy2a5
ENSDARG00000087386,Pcp4
